coordinateprecision	standard	vetted
0.00000001	0.00000001	1
0.0000001	0.0000001	1
0.000001	0.000001	1
0.00001	0.00001	1
0.00001 DEGREES	0.00001	1
0.0001	0.0001	1
0.0002778	0.0002778	1
0.001	0.001	1
0.001 DEGREES	0.001	1
0.01	0.01	1
0.01 DEGREES	0.01	1
0.0166667	0.0166667	1
0.1	0.1	1
1	0.1	1
2	0.01	1
3	0.001	1
4	0.0001	1
5	0.00001	1
6	0.000001	1
7	0.0000001	1
8	0.00000001	1
DEGREES	1	1
EXACT		1
MINUTES	0.0166667	1
NEAREST DEGREE	1	1
NEAREST MINUTE	0.0166667	1
NEAREST SECOND	0.0002778	1
SECONDS	0.0002778	1
