day	standard	vetted
01	1	1
02	2	1
03	3	1
04	4	1
05	5	1
06	6	1
07	7	1
08	8	1
09	9	1
1	1	1
10	10	1
11	11	1
12	12	1
13	13	1
14	14	1
15	15	1
16	16	1
17	17	1
17-	17	1
18	18	1
19	19	1
1941		1
1977		1
1989		1
2	2	1
20	20	1
21	21	1
22	22	1
23	23	1
24	24	1
25	25	1
26	26	1
27	27	1
28	28	1
29	29	1
3	3	1
30	30	1
31	31	1
4	4	1
5	5	1
6	6	1
7	7	1
8	8	1
9	9	1
APPROX		1
BEFORE		1
BETWEEN		1
EARLY		1
END		1
FALL		1
FEB		1
JULY		1
LAST		1
LATE		1
MAR		1
MAY		1
MID		1
MIDDLE		1
NECROPCIED		1
NO		1
NOV		1
OCT		1
SPRING		1
WK		1
