geodeticdatum	standard	vetted
'	not recorded	1
 WGS84	WGS 84	1
 WGS84	WGS 84	1

WGS84	WGS 84	1
!196	not recorded	1
""ZAIRE""	not recorded	1
"INTERNATIONAL SPHEROID"	Unknown datum based upon the International 1924 ellipsoid	1
#D50	not recorded	1
(+/- 30 METERS)	not recorded	1
(ATLAS FL. EUR.): MH2	not recorded	1
(GPS)	not recorded	1
(GPS, WGS 84)	WGS 84	1
(NAD 27)	NAD27	1
(NAD 83)	NAD83	1
(NAD 84)	not recorded	1
(NAD27 CONUS)	NAD27	1
(NAD27)	NAD27	1
(NAD27) NORTH AMERICAN 1927	NAD27	1
(NAD83)	NAD83	1
(NAD84)	not recorded	1
(WGS 84)	WGS 84	1
(WGS66) WORLD GEODETIC SYSTEM 1966	WGS 66	1
(WGS72) WORLD GEODETIC SYSTEM 1972	WGS 72	1
(WGS84)	WGS 84	1
(WGS84) WORLD GEOD	WGS 84	1
(WGS84) WORLD GEODETIC SYSTEM 1984	WGS 84	1
(WSG 84)	WGS 84	1
.	not recorded	1
/QFA84	not recorded	1
?	not recorded	1
?WAY OFF	not recorded	1
[ORNIS]GEODETICDATUM]	not recorded	1
[WGS 84] CA 1132 M (ESTIMATE)	WGS 84	1
[WGS 84] CA 1157 M (ESTIMATE)	WGS 84	1
`	not recorded	1
`1Q	not recorded	1
=	not recorded	1
± 100 M	not recorded	1
±10 M	not recorded	1
±100 M	not recorded	1
±1000 M	not recorded	1
±10M	not recorded	1
0	not recorded	1
0.00001	not recorded	1
-0.32883	not recorded	1
-0.444	not recorded	1
-0.48205	not recorded	1
-0.53115	not recorded	1
-0.6057695	not recorded	1
0.6289889	not recorded	1
0.6339	not recorded	1
0.7333333	not recorded	1
-0.996812218	not recorded	1
-0.9992	not recorded	1
1	not recorded	1
1.145875	not recorded	1
1.176619	not recorded	1
1.203175	not recorded	1
1.253103	not recorded	1
1.284692	not recorded	1
-1.37898723	not recorded	1
-1.5971	not recorded	1
-1.7022	not recorded	1
10	not recorded	1
10 MILES OF CARTERSVILLE	not recorded	1
10.03448	not recorded	1
-10.06333	not recorded	1
-10.0925	not recorded	1
-10.10892	not recorded	1
-10.12839	not recorded	1
10.25088	not recorded	1
10.26667	not recorded	1
10.383333	not recorded	1
10.42667	not recorded	1
10.433333	not recorded	1
-10.46667	not recorded	1
10.5	not recorded	1
10.52	not recorded	1
-10.605	not recorded	1
10.75	not recorded	1
10.78333	not recorded	1
-10.8078333333333	not recorded	1
100.739069	not recorded	1
1000	not recorded	1
10000	not recorded	1
100M	not recorded	1
101.25	not recorded	1
1014	not recorded	1
102	not recorded	1
102.814778	not recorded	1
1037	not recorded	1
-107.3434	not recorded	1
108	not recorded	1
108.4	not recorded	1
10S	not recorded	1
10SDQ8678	not recorded	1
10SEN4882	not recorded	1
10SEN6659	not recorded	1
10SEP5004	not recorded	1
10SFN7488	not recorded	1
10SFN8905	not recorded	1
10SFP8956	not recorded	1
10SFQ2109	not recorded	1
10T	not recorded	1
-11.025705	not recorded	1
-11.04347	not recorded	1
11.05283	not recorded	1
-11.0585	not recorded	1
11.066667	not recorded	1
11.06917	not recorded	1
11.083333	not recorded	1
11.1	not recorded	1
11.1023333	not recorded	1
-11.104888	not recorded	1
11.11666	not recorded	1
11.11667	not recorded	1
-11.126863	not recorded	1
-11.126925	not recorded	1
-11.126935	not recorded	1
-11.126938	not recorded	1
-11.127013	not recorded	1
11.1338333333333	not recorded	1
-11.21667	not recorded	1
11.22413	not recorded	1
-11.39867	not recorded	1
-11.40211	not recorded	1
-11.402123	not recorded	1
-11.402248	not recorded	1
-11.402335	not recorded	1
-11.40238	not recorded	1
-11.402538	not recorded	1
-11.403533	not recorded	1
-11.403778	not recorded	1
-11.403938	not recorded	1
-11.405088	not recorded	1
-11.405235	not recorded	1
-11.405293	not recorded	1
-11.405632	not recorded	1
-11.405967	not recorded	1
-11.406167	not recorded	1
-11.41667	not recorded	1
-11.55	not recorded	1
-11.59299	not recorded	1
-11.8	not recorded	1
-11.83667	not recorded	1
-11.85	not recorded	1
-110.854167	not recorded	1
1121 M	not recorded	1
1127	not recorded	1
1129	not recorded	1
114	not recorded	1
115.106995	not recorded	1
1155	not recorded	1
11595	not recorded	1
116	not recorded	1
119	not recorded	1
11S	not recorded	1
12	not recorded	1
-12.06325	not recorded	1
-12.3525	not recorded	1
-12.36267	not recorded	1
12.41861	not recorded	1
-12.722	not recorded	1
-12.7667	not recorded	1
-12.77167	not recorded	1
-12.77216834	not recorded	1
-12.9916666666667	not recorded	1
1200	not recorded	1
124	not recorded	1
-13.005	not recorded	1
-13.01	not recorded	1
-13.07916667	not recorded	1
-13.11667	not recorded	1
-13.16425	not recorded	1
-13.25	not recorded	1
-13.25433	not recorded	1
-13.25789	not recorded	1
-13.25986	not recorded	1
-13.274583	not recorded	1
-13.274978	not recorded	1
-13.275472	not recorded	1
-13.276283	not recorded	1
-13.27647	not recorded	1
-13.276503	not recorded	1
-13.276505	not recorded	1
-13.3167	not recorded	1
-13.357461	not recorded	1
-13.3833	not recorded	1
-13.4	not recorded	1
-13.405408	not recorded	1
-13.4333	not recorded	1
-13.487613	not recorded	1
-13.5105	not recorded	1
-13.55	not recorded	1
13.71667	not recorded	1
13.7433333333333	not recorded	1
-13.831667	not recorded	1
-13.83333	not recorded	1
-13.9538496	not recorded	1
