georeferenceverificationstatus	standard	vetted
 GEOREFERENCING QUICK REFERENCE GUIDE VERSION 2012-10-08.	Georeferencing Quick Reference Guide Version 2012-10-08	1
	GEOREFERENCING QUICK REFERENCE GUIDE VERSION 2012-10-08	Georeferencing Quick Reference Guide Version 2012-10-08	1

GEOREFERENCING QUICK REFERENCE GUIDE VERSION 2012-10-08	Georeferencing Quick Reference Guide Version 2012-10-08	1
"GEOREFERENCING QUICK REFERENCE GUIDE VERSION 2012-10-08."	Georeferencing Quick Reference Guide Version 2012-10-08	1
"MANIS/HERPNET/ORNIS GEOREFERENCING GUIDELINES, GBIF BEST PRACTICES"	VertNet Georeferencing Guidelines	1
[ORNIS]GEOREFERENCEPROTOCOL	VertNet Georeferencing Guidelines	1
`		1
0914		1
1986 RAND MCNALLY ROAD ATLAS (LOCATION OF MOUNTAINS), TOPOZONE.COM 1:250,000 (COORDINATES)		1
2014-01-05		1
2014-01-06		1
2014-01-07		1
2014-01-13		1
2014-09-23		1
2014-09-25		1
2014-09-26		1
2014-10-01		1
2014-10-02		1
2014-10-13		1
2014-11-05		1
2014-11-20		1
2014-11-24		1
2014-12-08		1
2014-12-12		1
2014-12-15		1
2014-12-16		1
2014-12-18		1
2014-12-19		1
2014-12-22		1
2015-01-02		1
2015-01-05		1
2015-01-08		1
2015-01-13		1
2015-02-04		1
2015-02-10		1
2015-02-17		1
2015-09-09		1
2015-09-16		1
2015-09-17		1
2015-11-30		1
2016 U.S. CENSUS NATIONAL COUNTIES GAZETTEER		1
2016-02-08		1
2016-02-16		1
2016-02-17		1
2016-02-18		1
2016-02-19		1
2016-02-26		1
2016-03-02		1
2016-03-04		1
2016-03-16		1
2016-03-25		1
2016-04-05		1
2016-04-06		1
2016-04-08		1
2016-04-13		1
2016-04-15		1
2016-04-16		1
2016-04-20		1
2016-04-22		1
2016-04-27		1
2016-04-29		1
2016-05-03		1
2016-05-04		1
2016-05-06		1
2016-05-09		1
2016-05-10		1
2016-05-11		1
2016-05-12		1
2016-05-16		1
2016-05-17		1
2016-05-23		1
2016-05-24		1
2016-06-01		1
2016-06-10		1
2016-06-14		1
2016-06-15		1
2016-06-16		1
2016-06-17		1
2016-06-21		1
2016-08-09		1
2016-08-10		1
2016-08-15		1
2016-08-16		1
2016-08-17		1
2016-08-18		1
2016-08-19		1
2016-08-23		1
2016-08-24		1
2016-08-29		1
2016-09-06		1
2016-09-07		1
2016-09-12		1
2016-09-13		1
2016-09-14		1
2016-09-17		1
2016-09-19		1
2016-09-26		1
2016-09-27		1
2016-09-29		1
2016-10-01		1
2016-10-03		1
2016-10-28		1
2016-11-01		1
2016-11-10		1
2016-11-30		1
2016-12-07		1
2017-04-14		1
2017-05-11		1
2017-05-16		1
2017-05-17		1
2017-06-04		1
2017-06-06		1
2017-06-08		1
2017-06-09		1
2017-06-12		1
2017-06-13		1
2017-06-14		1
2017-06-15		1
2017-06-16		1
2017-06-19		1
