lifestage	standard	vetted
 		1
-		1
--		1
---		1
-----		1
  JUV.	juvenile	1
 ?  JUV.	juvenile	1
 1/4		1
 ADULT	adult	1
 IMMATURE	immature	1
 NO DATA GIVEN	unknown	1
 NOT INDICATED	unknown	1
 NOT RECORDED	unknown	1
 ONE FOURTH		1
 OR JUV.	juvenile	1
 SHOWING BLOOD, SMALL  EMBRYO	embro	1
 SMALL EMBRYOS	embro	1

		1
"	unknown	1
"AD"	adult	1
"AD." [= IM.]	adult	1
"ADULT?"	adult	1
"BIRD MATURE"	adult	1
"CHECK"	unknown	1
"IM"	immature	1
"IM"[AD?]	immature	1
"IM."	immature	1
"IMMATURE" ON TAG; ADULT	immature	1
"INCUB."	incubated	1
"INCUBATED EGGS"	incubated	1
"INCUBATED"	incubated	1
"JUV"	juvenile	1
"JUV. BY PLUMAGE"	juvenile	1
"JUV."	juvenile	1
"JUV." FIRST WINTER OF JUV.	juvenile	1
"MATURE OR NEARLY SO, AT LEAST 2	adult	1
"MATURE"	adult	1
"YG"	young	1
"YG"[?]	young	1
"YNG OF YEAR"	young	1
"YNG"	young	1
#NAME?		1
(AD ?)	adult	1
(AD)	adult	1
(AD. ?)	adult	1
(AD.)	adult	1
(AD.?)	adult	1
(AD?)	adult	1
(BREEDING)	adult	1
(CHECK MARK)		1
(CHICK)	chick	1
(IM ?)	immature	1
(IM)	immature	1
(IM. ?)	immature	1
(IM.)	immature	1
(IM?)	immature	1
(IMM)	immature	1
(IMM.)	immature	1
(J?)	juvenile	1
(JH)	juvenile	1
(JUV)	juvenile	1
(JUV. ?)	juvenile	1
(JUV.)	juvenile	1
(JUV?)	juvenile	1
(JUVENAL X 1ST WINTER)	juvenile	1
(LAYING)	adult	1
(NESTL.)	nestling	1
(NESTLING)	nestling	1
(SEE CARD)		1
(SEE ORIGINAL DATA CARD)		1
*	unknown	1
.	unknown	1
..		1
?	unknown	1
-?	unknown	1
? - HY		1
? 1971HY		1
? 2ND YR.		1
? ADULT	adult	1
? AGE 2 DAYS		1
? AGE 6 DAYS		1
? CHICK	chick	1
? CHICK 3 DAYS OLD	chick	1
? CHICK, 3 DAYS OLD	chick	1
? CHICK, ALMOST FLEDGED	chick	1
? IMM.	immature	1
? YOUNG	young	1
?/5 DAYS OLD		1
?/IMM.	immature	1
?/JUV.	juvenile	1
??	unknown	1
@ 2 YRS		1
@ 3 YRS		1
[ADULT ?] [FEMALE ?]	adult	1
[ADULT ?] FEMALE	adult	1
[ADULT ?] MALE	adult	1
[ADULT FEMALE ?]	adult	1
[ADULT]	adult	1
[ADULT] FEMALE	adult	1
[AGE ?] [SEX ?]	unknown	1
[AGE ?] MALE	unknown	1
[FEMALE ?]		1
[IMMATURE ?] [SEX ?]	immature	1
[IMMATURE ?] FEMALE	immature	1
[IMMATURE ?] MALE	immature	1
[IMMATURE MALE ?]	immature	1
[IMMATURE]	immature	1
[JUVENILE ?] FEMALE	juvenile	1
[JUVENILE ?] MALE	juvenile	1
[JUVENILE]	juvenile	1
[MALE ?]		1
