month	standard	vetted
   		1
-		1
--		1
---		1
  9		1
  JAN	1	1
  MAY 	5	1
  OCT	10	1
  VIII	8	1
 & NOV 		1
 / 1915 		1
 / 29 NOV	11	1
 02 AUG	8	1
 03		1
 05 MAY	5	1
 08 JUL	7	1
 09 JUL	7	1
 1	1	1
 1 APR	8	1
 1 FEB 	2	1
 1 MAY	5	1
 1(?)		1
 10	10	1
 10 APRIL	4	1
 10 AUGUST	8	1
 10 CA		1
 10 JAN	1	1
 10 MAR	3	1
 11		1
 11 CA		1
 11TH		1
 12	12	1
 12 CA		1
 12TH		1
 13		1
 13(?)		1
 13TH		1
 14		1
 14?		1
 15		1
 15 CA		1
 15 JAN	1	1
 15 OR SEP 23		1
 15TH		1
 16		1
 16 CA		1
 16TH		1
 17		1
 17 CA		1
 17 NOV	11	1
 17TH		1
 18		1
 1827 AND		1
 1856 TO		1
 1876 AND		1
 1880 		1
 18TH		1
 19		1
 1912		1
 1915		1
 1936 		1
 1939 		1
 1968		1
 1969 		1
 1971		1
 1973 		1
 1991		1
 1996 AND 1-MAY		1
 2	2	1
 2-		1
 2 AND 3		1
 2 DEC	12	1
 2 OR 3		1
 2?		1
 20		1
 20 APR	4	1
 20 APRIL	4	1
 20 CA		1
 20 JAN	1	1
 21		1
 21ST		1
 22		1
 22 D		1
 23		1
 24		1
 25		1
 25 AUG 	8	1
 25 MAY	5	1
 25TH		1
 26		1
 26 MARCH	3	1
 27		1
 28		1
 28 CA		1
 29		1
 29 JAN	1	1
 29TH		1
 3	3	1
 3-		1
 3 AUG	8	1
 3 MAR	3	1
 30		1
 30 AUG	8	1
 30 MAR	3	1
 30 SEPTEMBER	9	1
 31		1
 4	4	1
 4 JULY	7	1
 4 SEPT	9	1
 5	5	1
 5 MAY	5	1
 6	6	1
 6 CA		1
 6 OCT	10	1
 '68		1
 '69		1
 6TH		1
 7	7	1
 7 CA		1
 8	8	1
 9	9	1
 9 CA		1
 9 OCT	10	1
 AND APR 		1
 AND FEB	2	1
 APR	4	1
 APRIL	4	1
 AUG	8	1
 AUGUST	8	1
 BLUNTSCHLI		1
 BY / C F B  / MAR  4		1
 C		1
 CA		1
 DEC	12	1
 DEC 22	12	1
 DECARY		1
 DECARY /		1
 DECARY / 10 JULY		1
 DECARY / APRIL		1
 DECARY / APRIL 4		1
 DECARY / JULY		1
 DECARY / MARCH		1
 DECARY / MAY		1
 DECARY / MAY 28		1
 DROUHARD / MAY		1
 F1		1
 F24		1
 FEB	2	1
 FROM DR  MARZIERES /		1
 I	1	1
 IV	4	1
 IX	9	1
 JAN 	1	1
 JAN-	1	1
 JANUARY	1	1
 JUL	7	1
 JUL 1970	7	1
 JULY	7	1
 JULY 1	7	1
 JUN	6	1
 JUN 1874	6	1
 JUNE	6	1
 JUNE 1943 & JULY		1
 MAR	3	1
 MARCH	3	1
 MAY	5	1
 MAZIERER /		1
 MAZIERES /		1
 NOV 	11	1
 OCT 	10	1
 OCTOBER	10	1
 OR 2ND  WEEK		1
 OR DEC 		1
