taxonrank	standard	vetted
(DUMÉRIL & BIBRON, 1836)		1
(MERREM, 1820)		1
BICOLOR		1
CLASS	class	1
FAMILY	family	1
GENUS	genus	1
GIGAS		1
HYBRID SP	species	1
HYBRID SPECIES	species	1
HYBRID SUBSPECIES	subspecies	1
INDICUS		1
INFRAFRENATA		1
INFRAORDER	infraorder	1
ORDER	order	1
PAPUENSIS		1
PHYLUM	phylum	1
SPECIES	species	1
SUBCLASS	subclass	1
SUBESPECIE	subspecies	1
SUBFAMILY	subfamily	1
SUBORDER	suborder	1
SUBPHYLUM	subphylum	1
SUBSPECIES	subspecies	1
SUPERFAMILY	superfamily	1
TRANK		1
TRIBE	tribe	1
UNDEFINABLE		1
UNSPECIFIED		1
VAR.	variety	1
