exampleID	verbatimEventDate	eventDate	year	month	day	startDayOfYear	endDayOfYear	EarliestDateCollected	LatestDateCollected	beginYear	beginMonth	beginDay	endyear	endmonth	endday	expectedeventDate	expectedYear	expectedMonth	expectedDay	expectedStartDayOfYear	expectedEndDayOfYear
1			2000	2												2000-02	2000	2			
2		2000-12-31														2000-12-31	2000	12	31	366	366
3	31 Dec 2000															2000-12-31	2000	12	31	366	366
4			2000	12	31											2000-12-31	2000	12	31	366	366
5								31 Dec 2000	31 Dec 2000							2000-12-31	2000	12	31	366	366
6								31 Dec 2000	31 Dec 2001							2000-12-31/2001-12-31					
7			2001	2	29												2001	2			
8			2001	2	28											2001-02-28	2001	2	28	59	59
9			2000	2	29												2000	2			
10			2000	2	30												2000	2			
11			2000	feb	29												2000	2			
12										2000	feb	29	2000	mar	1	2000-02-29/2000-03-01	2000			60	61
13			2000	february	1											2000-02-01	2000	2	1	32	32
14			2000	3	1											2000-03-01	2000	3	1	61	61
15			2001	3	1											2001-03-01	2001	3	1	60	60
16									31 Dec 2001							2001-12-31	2001	12	31	365	365
17								31 Dec 2001								2001-12-31	2001	12	31	365	365
18		9/07/1889															1889				
19	31 August 1941															1941-08-31	1941	8	31	243	243
20	19010000															1901	1901				
21	19630308															1963-03-08	1963	3	8	66	66
22	XX NOV 1947															1947-11	1947	11			
23	23 XXX 1947															1947	1947				
24	XX XXX 1974															1974	1974				
25	1980s															1980-01-01/1989-12-31					
26	19-21.vii.1990															1990-07-19/1990-07-21	1990	7		200	202
27	9.ii-10.iii.2000															2000-02-09/2000-03-10	2000			40	68
28	xi.1996															1996-11	1996	11			
29	12.i.2000															2000-01-12	2000	1	12	12	12
30	15.x.1993															1993-10-15	1993	10	15	288	288
31	193-		1930													1930/1939					
32	27-28 xi[no year]																	11			
33	29 vi-13 vii-2001															2001-06-29/2001-07-13	2001			180	194
34	[no date] 1988															1988	1988				
35	purchased Dec 1997															1997-12	1997	12			
36	18 x 1984,em 5 xi 84															1984-10-18/1984-11-05	1984				
37	21 vii																	7	21		
38	4 May																	5	4		
39		1929														1929	1929				
40	1930	1930														1930	1930				
41	17 Oct., 1993															1993-10-17	1993	10	17	290	290
42	Aug. 1987															1987-08	1987	8			
43	Jan 1 1986															1986-01-01	1986	1	1	1	1
44	jan 19 1985															1985-01-19	1985	1	19	19	19
45	Dec 2 1984															1984-12-02	1984	12	2	337	337
46	Sept.-Oct. 1982															1982-09/1982-10	1982				
47	2011-08/2012-06															2011-08/2012-06					
48	5/9/1985																1985				
