"Genus","standardGenus","Family","Order","Class","Phylum","Kingdom","authority","standard","checked","error","resolvelater"
"",,"Caeciliidae?","Gymnophiona","Amphibia","Chordata","Animalia",,0,0,,1
"-",,,,,,,,0,1,"Not a genus.",0
" = Conothraupis","Conothraupis","Thraupidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
" Blank",,,,,,,,0,1,"Not a genus.",0
"- Blank",,,,,,,,0,1,"Not a genus.",0
" Chlorostilbon","Chlorostilbon","Trochilidae","Apodiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
" Flycatcher",,,"Passeriformes","Aves","Chordata","Animalia",,0,1,"Genus is a common name.",0
" Monarcha ?","Monarcha","Monarchidae","Passeriformes","Aves","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: April 2013",0,1,"Not a genus.",0
" Myrmotherula","Myrmotherula","Thamnophilidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
" Pomarea ?","Pomarea","Monarchidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
" Rhipidura","Rhipidura","Rhipiduridae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
" Thamnophilus","Thamnophilus","Thamnophilidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
" Urolonda",,,,,,,,0,1,"Genus not found.",0
"""Anas""","Anas","Anatidae","Anseriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"""FROGS""",,,,"Amphibia","Chordata","Animalia",,0,1,"Genus is a common name.",0
"""INSECT""",,,,"Insecta","Arthropoda","Animalia",,0,1,"Genus is a common name.",1
"""Oreothlypis""","Oreothlypis","Parulidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"""Scaled Finch"" (Weaver)",,"Ploceidae","Passeriformes","Aves","Chordata","Animalia",,0,1,"Genus is a common name.",0
"""SILAS TOAD""",,,,"Amphibia","Chordata","Animalia",,0,1,"Genus is a common name.",0
"""Sturnus""","Sturnus","Sturnidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"(Balearica)","Balearica","Gruidae","Gruiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"(Blank entry)",,,,,,,,0,1,"Not a genus.",0
"(Blank)",,,,,,,,0,1,"Not a genus.",0
"(Bokara Trumpeter Pigeon)","Columba","Columbidae","Columbiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus is a common name.",0
"(Bothrodon)",,,,"[MOLLUSC]",,"Animalia",,0,0,,1
"(COLUMBIDAE)",,"Columbidae","Columbiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus is a family.",0
"(Flycatcher)Phainapepla","Phainopepla","Ptilogonatidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"(Hypolophus)","Pastinachus","Dasyatidae","Myliobatiformes","Elasmobranchii","Chordata","Animalia","Froese, R. and D. Pauly. Editors. 2012. FishBase.",0,1,"Genus misspelled.",0
"(Icterus VOID","Icterus","Icteridae","Passeriformes","Aves","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: April 2013",0,1,"Not a genus.",0
"(Kingfisher)",,"Alcedinidae","Coraciiformes","Aves","Chordata","Animalia",,0,1,"Genus is a common name.",0
"(Muscovy X Pekin ?)",,"Anatidae","Anseriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus is a hybrid.",0
"(Parrot)",,,,"Aves","Chordata","Animalia",,0,1,"Genus is a common name.",0
"(Parrot) Amazona","Amazona","Psittacidae","Psittaciformes","Aves","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: April 2013",0,1,"Not a genus.",0
"(Parrot) Conurus","Conurus","Psittacidae","Psittaciformes","Aves","Chordata","Animalia","Paleobiology Database",0,1,"Not a genus.",0
"(See 6513)",,,,,,,,0,1,"Not a genus.",0
"*1",,,,,,,,0,1,"Not a genus.",0
"*2",,,,,,,,0,1,"Not a genus.",0
".0",,,,,,,,0,1,"Not a genus.",0
"[Blank]",,,,,,,,0,1,"Not a genus.",0
"[Illeg.]",,,,,,,,0,1,"Not a genus.",0
"[illeg]",,,,,,,,0,1,"Not a genus.",0
"[illeg]achyrhamphus","Brachyramphus","Alcidae","Charadriiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"[illeg]eisna",,,,,,,,0,1,"Not a genus.",0
"[illeg]ellow [illeg]eaver",,"Ploceidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Not a genus.",0
"[illeg]hrysolophus","Chrysolophus","Phasianidae","Galliformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"[illeg]Sterna","Sterna","Laridae","Charadriiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"[illeg]uida",,,,,,,,0,1,"Not a genus.",0
"[illeg]ynx",,,,,,,,0,1,"Not a genus.",0
"[not recorded]",,,,,,,,0,1,"Not a genus.",0
"[Platyrhinops] [Amphibamus]",,,"AMPHIBAMID",,,"Animalia",,0,0,,1
"[Rail ?]",,"Rallidae","Gruiformes","Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"[unknown]",,,,,,,,0,1,"Not a genus.",0
"[Zonotricia","Zonotrichia","Emberizidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"\",,,,,,,,0,1,"Genus is empty.",0
"=Agelaius","Agelaius","Icteridae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"1031",,,,,,,,0,1,"Not a genus.",0
"114",,,,,,,,0,1,"Not a genus.",0
"1272",,,,,,,,0,1,"Not a genus.",0
"1310",,,,,,,,0,1,"Not a genus.",0
"13485",,,,,,,,0,1,"Not a genus.",0
"1560",,,,,,,,0,1,"Not a genus.",0
"160",,,,,,,,0,1,"Not a genus.",0
"1627",,,,,,,,0,1,"Not a genus.",0
"165",,,,,,,,0,1,"Not a genus.",0
"1671",,,,,,,,0,1,"Not a genus.",0
"172",,,,,,,,0,1,"Not a genus.",0
"17617",,,,,,,,0,1,"Not a genus.",0
"239",,,,,,,,0,1,"Not a genus.",0
"2559",,,,,,,,0,1,"Not a genus.",0
"340",,,,,,,,0,1,"Not a genus.",0
"4",,,,,,,,0,1,"Not a genus.",0
"4/14/2008",,,,,,,,0,1,"Not a genus.",0
"41",,,,,,,,0,1,"Not a genus.",0
"5216",,,,,,,,0,1,"Not a genus.",0
"5652",,,,,,,,0,1,"Not a genus.",0
"6/30/2010",,,,,,,,0,1,"Not a genus.",0
"6+",,,,,,,,0,1,"Not a genus.",0
"8678",,,,,,,,0,1,"Not a genus.",0
"9647",,,,,,,,0,1,"Not a genus.",0
"98",,,,,,,,0,1,"Not a genus.",0
"A gray pigeon unnamed as yet",,"Columbidae","Columbiformes","Aves","Chordata","Animalia","ITIS",0,1,"Not a genus.",0
"A.",,,,,,,,0,1,"Not a genus.",0
"A[illeg]stur",,,,,,,,0,1,"Not a genus.",0
"Aaptus",,,,,,,,0,1,"Not a genus.",0
"Abastor","Farancia","Colubridae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a synonym.",0
"Abavus",,,,"Aves",,"Animalia",,0,0,,1
"Abbotornis",,,,,,,,0,1,"Not a genus.",0
"Abbottina","Abbottina","Cyprinidae","Cypriniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Abbottornis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Abderites",,"Caenolestidae","Paucituberculata","Mammalia",,"Animalia",,0,0,,1
"Abdimia",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Abeillea","Abeillia","Trochilidae","Apodiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Abeillia","Abeillia","Trochilidae","Apodiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Abeomelomys","Abeomelomys","Muridae","Rodentia","Mammalia","Chordata","Animalia","The Catalogue of Life, 3rd January 2011",1,1,,0
"Abeona","Micrometrus","Embiotocidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",0,1,"Genus is a synonym.",0
"Abiadisaurus",,,,"Amphibia",,"Animalia",,0,0,,1
"Abida",,"CHONDRINIDAE",,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Ablabes",,"COLUBRIDAE","Squamata","Reptilia","Chordata","Animalia",,0,0,,1
"Ablabophis",,"COLUBRIDAE","Squamata","Reptilia","Chordata","Animalia",,0,0,,1
"Ablabys","Ablabys","Scorpaenidae","Scorpaeniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Ablennes","Ablennes","Belonidae","Beloniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Ablepharus","Ablepharus","Scincidae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"Abramis","Abramis","Cyprinidae","Cypriniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Abramis x Leuciscus",,"CYPRINIDAE","PHYSOSTOMI",,,"Animalia",,0,0,,1
"Abramites","Abramites","Anostomidae","Characiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"ABROCOMA","Abrocoma","Hystricognathi","Rodentia","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Abronia","Abronia","Anguidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Abrornis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Abroscopus","Abroscopus","Sylviidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"ABROTHRIX","Abrothrix","Cricetidae","Rodentia","Mammalia","Chordata","Animalia","Mammal Species of the World. 2005.",1,1,,0
"Absarokius",,"Omomyidae","Primates","Mammalia",,"Animalia",,0,0,,1
"Abudefduf","Abudefduf","Pomacentridae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Aburria","Aburria","Cracidae","Craciformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Abyla",,,,"HYDROZOA","COELENTERATA","Animalia",,0,0,,1
"Abythites","Cataetyx","Bythitidae","Ophidiiformes","Actinopterygii","Chordata","Animalia","Froese, R. and D. Pauly. Editors. 2012. FishBase.",0,1,"Genus is a synonym.",0
"ACACANDORUS (SP?)",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Acaenasuchus",,"Stagonolepididae","Pseudosuchia","Reptilia",,"Animalia",,0,0,,1
"Acallosuchus",,,,"Reptilia",,"Animalia",,0,0,,1
"Acalyptophis","Acalyptophis","Elapidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Acamptogorgia",,,"GORGONACEA","ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"Acanthagenys","Acanthagenys","Meliphagidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Acantharchus","Acantharchus","Centrarchidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthasaura","Acanthosaura","Agamidae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus misspelled.",0
"Acanthascus",,"ROSSELLIDAE",,"HEXACTINELLIDA","PORIFERA","Animalia",,0,0,,1
"Acanthaster","Acanthaster","Acanthasteridae","Valvatida","Asteroidea","Echinodermata","Animalia","The Catalogue of Life, 3rd January 2011",1,1,,1
"Acanthella",,,,"HYDROZOA","COELENTERATA","Animalia",,0,0,,1
"Acanthemblemaria","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthephyra",,"?Acanthephyridae","MACRURA (CARIDEA)","CRUSTACEA","ARTHROPODA","Animalia",,0,0,,1
"Acanthias","Squalus","Squalidae","Squaliformes","Elasmobranchii","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a synonym.",0
"Acanthicus","Acanthicus","Loricariidae","Siluriformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthidops","Acanthidops","Emberizidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Acanthidositta",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
