verbatimFieldName	standardFieldName	namespace	standard	checked	source	comment
acceptednameusage	acceptedNameUsage	dwc	1	1		
acceptednameusageid	acceptedNameUsageID	dwc	1	1		
accessrights	accessRights	dcterms	1	1		
associatedmedia	associatedMedia	dwc	1	1		
associatedoccurrences	associatedOccurrences	dwc	1	1		
associatedorganisms	associatedOrganisms	dwc	1	1		
associatedreferences	associatedReferences	dwc	1	1		
associatedsequences	associatedSequences	dwc	1	1		
associatedtaxa	associatedTaxa	dwc	1	1		
basisofidentification			0	1	FIMS	
basisofrecord	basisOfRecord	dwc	1	1		
bcid			0	1	FIMS	
bed	bed	dwc	1	1		
behavior	behavior	dwc	1	1		
bibliographiccitation	bibliographicCitation	dcterms	1	1		
catalognumber	catalogNumber	dwc	1	1		
catnum	catalogNumber	dwc	0	1		
class	class	dwc	1	1		
collectioncode	collectionCode	dwc	1	1		
collectionid	collectionID	dwc	1	1		
collector	recordedBy	dwc	0	1		
continent	continent	dwc	1	1		
continent/ocean		dwc	0	1		Maps to continent for continents and waterBody for oceans.
coordinateprecision	coordinatePrecision	dwc	1	1		
coordinates	verbatimCoordinates	dwc	0	1		
coordinateuncertaintyinmeters	coordinateUncertaintyInMeters	dwc	1	1		
country	country	dwc	1	1		
countrycode	countryCode	dwc	1	1		
county	county	dwc	1	1		
datageneralizations	dataGeneralizations	dwc	1	1		
datasetid	datasetID	dwc	1	1		
datasetname	datasetName	dwc	1	1		
date			0	1		Could be one of many fields.
dateidentified	dateIdentified	dwc	1	1		
day	day	dwc	1	1		
daycollected	day	dwc	0	1		
dayidentified	dayIdentified	dwcloud	1	1		Contributes to dwc:dateIdentified
dcterms:accessrights	accessRights	dcterms	0	1		
dcterms:bibliographiccitation	bibliographicCitation	dcterms	0	1		
dcterms:language	language	dcterms	0	1		
dcterms:license	license	dcterms	0	1		
dcterms:modified	modified	dcterms	0	1		
dcterms:references	references	dcterms	0	1		
dcterms:rightsholder	rightsHolder	dcterms	0	1		
dcterms:type	type	dcterms	0	1		
decimallatitude	decimalLatitude	dwc	1	1		
decimallongitude	decimalLongitude	dwc	1	1		
determined by	identifiedBy	dwc	0	1		
disposition	disposition	dwc	1	1		
dwc:acceptednameusage	acceptedNameUsage	dwc	0	1		
dwc:acceptednameusageid	acceptedNameUsageID	dwc	0	1		
dwc:associatedmedia	associatedMedia	dwc	0	1		
dwc:associatedoccurrences	associatedOccurrences	dwc	0	1		
dwc:associatedorganisms	associatedOrganisms	dwc	0	1		
dwc:associatedreferences	associatedReferences	dwc	0	1		
dwc:associatedsequences	associatedSequences	dwc	0	1		
dwc:associatedtaxa	associatedTaxa	dwc	0	1		
dwc:basisofrecord	basisOfRecord	dwc	0	1		
dwc:bed	bed	dwc	0	1		
dwc:behavior	behavior	dwc	0	1		
dwc:catalognumber	catalogNumber	dwc	0	1		
dwc:class	class	dwc	0	1		
dwc:collectioncode	collectionCode	dwc	0	1		
dwc:collectionid	collectionID	dwc	0	1		
dwc:continent	continent	dwc	0	1		
dwc:coordinateprecision	coordinatePrecision	dwc	0	1		
dwc:coordinateuncertaintyinmeters	coordinateUncertaintyInMeters	dwc	0	1		
dwc:country	country	dwc	0	1		
dwc:countrycode	countryCode	dwc	0	1		
dwc:county	county	dwc	0	1		
dwc:datageneralizations	dataGeneralizations	dwc	0	1		
dwc:datasetid	datasetID	dwc	0	1		
dwc:datasetname	datasetName	dwc	0	1		
dwc:dateidentified	dateIdentified	dwc	0	1		
dwc:day	day	dwc	0	1		
dwc:decimallatitude	decimalLatitude	dwc	0	1		
dwc:decimallongitude	decimalLongitude	dwc	0	1		
dwc:disposition	disposition	dwc	0	1		
dwc:dynamicproperties	dynamicProperties	dwc	0	1		
dwc:earliestageorloweststage	earliestAgeOrLowestStage	dwc	0	1		
dwc:earliesteonorlowesteonothem	earliestEonOrLowestEonothem	dwc	0	1		
dwc:earliestepochorlowestseries	earliestEpochOrLowestSeries	dwc	0	1		
dwc:earliesteraorlowesterathem	earliestEraOrLowestErathem	dwc	0	1		
dwc:earliestperiodorlowestsystem	earliestPeriodOrLowestSystem	dwc	0	1		
dwc:enddayofyear	endDayOfYear	dwc	0	1		
dwc:establishmentmeans	establishmentMeans	dwc	0	1		
dwc:eventdate	eventDate	dwc	0	1		
dwc:eventid	eventID	dwc	0	1		
dwc:eventremarks	eventRemarks	dwc	0	1		
dwc:eventtime	eventTime	dwc	0	1		
dwc:family	family	dwc	0	1		
dwc:fieldnotes	fieldNotes	dwc	0	1		
dwc:fieldnumber	fieldNumber	dwc	0	1		
dwc:footprintspatialfit	footprintSpatialFit	dwc	0	1		
dwc:footprintsrs	footprintSRS	dwc	0	1		
dwc:footprintwkt	footprintWKT	dwc	0	1		
dwc:formation	formation	dwc	0	1		
dwc:genus	genus	dwc	0	1		
dwc:geodeticdatum	geodeticDatum	dwc	0	1		
dwc:geologicalcontextid	geologicalContextID	dwc	0	1		
dwc:georeferencedby	georeferencedBy	dwc	0	1		
dwc:georeferenceddate	georeferencedDate	dwc	0	1		
dwc:georeferenceprotocol	georeferenceProtocol	dwc	0	1		
dwc:georeferenceremarks	georeferenceRemarks	dwc	0	1		
dwc:georeferencesources	georeferenceSources	dwc	0	1		
dwc:georeferenceverificationstatus	georeferenceVerificationStatus	dwc	0	1		
dwc:group	group	dwc	0	1		
dwc:habitat	habitat	dwc	0	1		
dwc:higherclassification	higherClassification	dwc	0	1		
dwc:highergeography	higherGeography	dwc	0	1		
dwc:highergeographyid	higherGeographyID	dwc	0	1		
dwc:highestbiostratigraphiczone	highestBiostratigraphicZone	dwc	0	1		
dwc:identificationid	identificationID	dwc	0	1		
dwc:identificationqualifier	identificationQualifier	dwc	0	1		
dwc:identificationreferences	identificationReferences	dwc	0	1		
dwc:identificationremarks	identificationRemarks	dwc	0	1		
dwc:identificationverificationstatus	identificationVerificationStatus	dwc	0	1		
dwc:identifiedby	identifiedBy	dwc	0	1		
dwc:individualcount	individualCount	dwc	0	1		
dwc:informationwithheld	informationWithheld	dwc	0	1		
dwc:infraspecificepithet	infraspecificEpithet	dwc	0	1		
dwc:institutioncode	institutionCode	dwc	0	1		
dwc:institutionid	institutionID	dwc	0	1		
dwc:island	island	dwc	0	1		
dwc:islandgroup	islandGroup	dwc	0	1		
dwc:kingdom	kingdom	dwc	0	1		
dwc:latestageorhigheststage	latestAgeOrHighestStage	dwc	0	1		
dwc:latesteonorhighesteonothem	latestEonOrHighestEonothem	dwc	0	1		
dwc:latestepochorhighestseries	latestEpochOrHighestSeries	dwc	0	1		
dwc:latesteraorhighesterathem	latestEraOrHighestErathem	dwc	0	1		
dwc:latestperiodorhighestsystem	latestPeriodOrHighestSystem	dwc	0	1		
dwc:lifestage	lifeStage	dwc	0	1		
dwc:lithostratigraphicterms	lithostratigraphicTerms	dwc	0	1		
dwc:locality	locality	dwc	0	1		
dwc:locationaccordingto	locationAccordingTo	dwc	0	1		
dwc:locationid	locationID	dwc	0	1		
dwc:locationremarks	locationRemarks	dwc	0	1		
