"country","continent","records resolved","total records","percent complete"
"[none]",,4216,4216,100.00
"Afghanistan","Asia",77,87,88.50
"Åland Islands","Europe",1,1,100.00
"Albania","Europe",18,19,94.70
"Algeria","Africa",158,228,69.20
"American Samoa","Oceania",89,101,88.10
"Andorra","Europe",4,11,36.30
"Angola","Africa",118,218,54.10
"Anguilla","North America",25,27,92.50
"Antarctica","Antarctica",210,245,85.70
"Antigua and Barbuda","North America",92,95,96.80
"Argentina","South America",11783,17341,67.90
"Armenia","Asia",31,63,49.20
"Aruba","South America",24,38,63.10
"Australia","Oceania",1454,1787,81.30
"Australia, Samoa, Tonga",,1,1,100.00
"Austria","Europe",188,300,62.60
"Azerbaijan","Asia",75,76,98.60
"Bahamas","North America",233,782,29.70
"Bahrain","Asia",13,14,92.80
"Bangladesh","Asia",27,82,32.90
"Barbados","North America",25,100,25.00
"Belarus","Europe",9,11,81.80
"Belgium","Europe",77,180,42.70
"Belize","North America",166,220,75.40
"Benin","Africa",41,47,87.20
"Bermuda","North America",45,117,38.40
"Bhutan","Asia",3,13,23.00
"Bolivia","South America",620,693,89.40
"Bonaire, Sint Eustatius and Saba","South America",31,54,57.40
"Bosnia and Herzegovina","Europe",30,42,71.40
"Botswana","Africa",61,129,47.20
"Brazil","South America",4046,4407,91.80
"British Indian Ocean Territory",,3,12,25.00
"British Virgin Islands","North America",55,109,50.40
"Brunei Darussalam","Asia",8,29,27.50
"Bulgaria","Europe",60,60,100.00
"Burkina Faso","Africa",3,37,8.10
"Burundi","Africa",30,47,63.80
"Cabo Verde","Africa",39,83,46.90
"Cambodia","Asia",27,77,35.00
"Cameroon","Africa",342,483,70.80
"Canada","North America",5479,5479,100.00
"Cayman Islands","North America",15,95,15.70
"Central African Republic","Africa",15,85,17.60
"Chad","Africa",24,59,40.60
"Chile","South America",5872,8620,68.10
"China","Asia",172,2231,7.70
"Christmas Island","Asia",10,11,90.90
"Cocos (Keeling) Islands","Asia",17,17,100.00
"Colombia","South America",1486,1605,92.50
"Comoros","Africa",39,70,55.70
"Congo","Africa",45,45,100.00
"Cook Islands","Oceania",26,61,42.60
"Costa Rica","North America",477,952,50.10
"Côte d'Ivoire","Africa",31,121,25.60
"Croatia","Europe",32,72,44.40
"Cuba","North America",128,510,25.00
"Curaçao","South America",43,43,100.00
"Cyprus","Asia",24,38,63.10
"Czechia","Europe",71,250,28.40
"Democratic Republic of the Congo","Africa",743,743,100.00
"Denmark","Europe",30,227,13.20
"Djibouti","Africa",9,18,50.00
"Dominica","North America",51,159,32.00
"Dominican Republic","North America",571,667,85.60
"Ecuador","South America",1193,1239,96.20
"Egypt","Africa",119,404,29.40
"El Salvador","North America",71,265,26.70
"Equatorial Guinea","Africa",31,81,38.20
"Eritrea","Africa",27,40,67.50
"Estonia","Europe",8,146,5.40
"Eswatini","Africa",14,17,82.30
"Ethiopia","Africa",165,314,52.50
"Falkland Islands (Malvinas)","South America",61,112,54.40
"Faroe Islands","Europe",23,32,71.80
"Federated States of Micronesia","Oceania",63,237,26.50
"Fiji","Oceania",388,388,100.00
"Finland","Europe",42,228,18.40
"France","Europe",1361,1944,70.00
"French Guiana","South America",116,121,95.80
"French Polynesia","Oceania",53,474,11.10
"French Southern Territories","Antarctica",40,70,57.10
"Gabon","Africa",87,192,45.30
"Gambia","Africa",22,36,61.10
"Georgia","Europe",28,129,21.70
"Germany","Europe",288,1137,25.30
"Ghana","Africa",147,159,92.40
"Gibraltar","Europe",13,13,100.00
"Greece","Europe",41,251,16.30
"Greenland","North America",89,168,52.90
"Grenada","North America",37,105,35.20
"Guadeloupe","North America",31,106,29.20
"Guam","Oceania",35,79,44.30
"Guatemala","North America",357,751,47.50
"Guernsey","Europe",7,7,100.00
"Guinea","Africa",57,152,37.50
"Guinea-Bissau","Africa",18,24,75.00
"Guyana","South America",216,272,79.40
"Haiti","North America",63,247,25.50
"Heard Island and McDonald Islands","Antarctica",5,5,100.00
"Honduras","North America",316,641,49.20
"Hong Kong","Asia",11,33,33.30
"Hungary","Europe",30,146,20.50
"Iceland","Europe",144,197,73.00
"India","Asia",666,1675,39.70
"Indonesia","Asia",1206,2348,51.30
"Iran","Asia",42,285,14.70
"Iraq","Asia",17,63,26.90
"Ireland","Europe",320,320,100.00
"Isle of Man","Europe",10,14,71.40
"Israel","Asia",22,100,22.00
"Italy","Europe",448,817,54.80
"Jamaica","North America",73,421,17.30
"Japan","Asia",211,1687,12.50
"Jersey","Europe",13,13,100.00
"Jordan","Asia",13,30,43.30
"Kazakhstan","Asia",69,195,35.30
"Kenya","Africa",543,1359,39.90
"Kiribati","Oceania",32,149,21.40
"Kosovo","Europe",1,1,100.00
"Kuwait","Asia",12,33,36.30
"Kyrgyzstan","Asia",15,47,31.90
"Laos","Asia",18,90,20.00
"Latvia","Europe",8,35,22.80
"Lebanon","Asia",15,44,34.00
"Lesotho","Africa",5,13,38.40
"Liberia","Africa",55,158,34.80
"Libya","Africa",10,82,12.10
"Liechtenstein","Europe",3,3,100.00
"Lithuania","Europe",12,15,80.00
"Luxembourg","Europe",9,13,69.20
"Macao","Asia",2,3,66.60
"Macedonia","Europe",12,20,60.00
"Madagascar","Africa",428,554,77.20
"Malawi","Africa",242,242,100.00
"Malaysia","Asia",192,937,20.40
"Maldives","Asia",6,33,18.10
"Mali","Africa",18,82,21.90
"Malta","Europe",12,29,41.30
"Marshall Islands","Oceania",53,225,23.50
"Martinique","North America",20,60,33.30
"Mauritania","Africa",14,51,27.40
"Mauritius","Africa",95,95,100.00
"Mayotte","Africa",3,9,33.30
"Mexico","North America",6894,6894,100.00
"Moldova","Europe",12,18,66.60
"Monaco","Europe",2,2,100.00
"Mongolia","Asia",181,296,61.10
"Montenegro","Europe",20,21,95.20
"Montserrat","North America",16,48,33.30
"Morocco","Africa",123,369,33.30
"Morroco",,1,1,100.00
"Mozambique","Africa",150,162,92.50
"Myanmar","Asia",43,435,9.80
"Namibia","Africa",151,319,47.30
"Nauru","Oceania",3,12,25.00
"Nepal","Asia",92,158,58.20
"Netherlands","Europe",71,233,30.40
"New Caledonia","Oceania",54,187,28.80
"New Zealand","Oceania",121,626,19.30
"Nicaragua","North America",116,394,29.40
"Niger","Africa",25,67,37.30
"Nigeria","Africa",35,236,14.80
"Niue","Oceania",7,7,100.00
"Norfolk Island","Oceania",26,26,100.00
"North Korea","Asia",6,27,22.20
"Northern Mariana Islands","Oceania",26,139,18.70
"Norway","Europe",59,307,19.20
"Oman","Asia",12,57,21.00
"Pakistan","Asia",98,764,12.80
"Palau","Asia",37,144,25.60
"Palestine","Asia",23,34,67.60
"Panama","North America",410,793,51.70
"Papua New Guinea","Oceania",272,1730,15.70
"Paraguay","South America",325,436,74.50
"Peru","South America",1198,1354,88.40
"Philippines","Asia",72,2548,2.80
"Pitcairn","Oceania",45,45,100.00
"Poland","Europe",23,232,9.90
"Portugal","Europe",191,273,69.90
"Puerto Rico","North America",980,1093,89.60
"Qatar","Asia",4,7,57.10
"Republic of Vanuatu",,1,1,100.00
"Réunion","Africa",19,37,51.30
"Romania","Europe",26,220,11.80
"Russia",,1083,1643,65.90
"Rwanda","Africa",6,54,11.10
"Saint Barthélemy","North America",8,16,50.00
"Saint Helena, Ascension and Tristan da Cunha",,90,90,100.00
"Saint Kitts and Nevis","North America",40,89,44.90
"Saint Lucia","North America",100,100,100.00
"Saint Pierre and Miquelon","North America",5,5,100.00
"Saint Vincent and the Grenadines","North America",56,170,32.90
"Saint-Martin","North America",4,6,66.60
"Samoa","Oceania",42,108,38.80
"San Marino","Europe",1,1,100.00
"São Tomé and Príncipe","Africa",80,84,95.20
"Saudi Arabia","Asia",32,67,47.70
"Senegal","Africa",32,146,21.90
"Serbia","Europe",19,32,59.30
"Seychelles","Africa",195,205,95.10
"Sierra Leone","Africa",16,67,23.80
"Singapore","Asia",24,51,47.00
"Sint Maarten","North America",6,6,100.00
"Slovakia","Europe",9,39,23.00
"Slovenia","Europe",16,35,45.70
"Solomon Islands","Oceania",76,420,18.00
"Somalia","Africa",14,165,8.40
"South Africa","Africa",446,1032,43.20
"South Georgia and the South Sandwich Islands","South America",52,67,77.60
"South Korea","Asia",59,193,30.50
"South Sudan","Africa",6,10,60.00
"Spain",,1636,2048,79.80
"Sri Lanka","Asia",51,340,15.00
"Sudan","Africa",25,248,10.00
"Suriname","South America",155,172,90.10
"Svalbard and Jan Mayen","Europe",25,28,89.20
"Sweden","Europe",199,780,25.50
"Switzerland","Europe",71,305,23.20
"Syria","Asia",14,37,37.80
"Taiwan","Asia",33,378,8.70
"Tajikistan","Asia",13,47,27.60
"Tanzania","Africa",212,819,25.80
"Thailand","Asia",64,753,8.40
"Timor-Leste","Asia",19,47,40.40
"Togo","Africa",5,8,62.50
"Tokelau","Oceania",7,8,87.50
"Tonga","Oceania",52,139,37.40
"Trinidad and Tobago","South America",160,588,27.20
"Tunisia","Africa",103,207,49.70
"Turkey","Asia",69,232,29.70
"Turkmenistan","Asia",40,100,40.00
"Turks and Caicos Islands","North America",15,74,20.20
