"heading","standardHeading","checked","opinionBy","opinionDate"
"",,1,"John Wieczorek","2017-08-25"
"-",,1,"John Wieczorek","2017-08-25"
"""",,1,"John Wieczorek","2017-08-25"
"?",,1,"John Wieczorek","2017-08-25"
"0",,1,"John Wieczorek","2017-08-25"
"05′0",,1,"John Wieczorek","2017-08-25"
"06.6",,1,"John Wieczorek","2017-08-25"
"07N",,1,"John Wieczorek","2017-08-25"
"1",,1,"John Wieczorek","2017-08-25"
"10.9",,1,"John Wieczorek","2017-08-25"
"2",,1,"John Wieczorek","2017-08-25"
"22S","S",1,"John Wieczorek","2017-08-25"
"27N","N",1,"John Wieczorek","2017-08-25"
"3",,1,"John Wieczorek","2017-08-25"
"31N","N",1,"John Wieczorek","2017-08-25"
"32;",,1,"John Wieczorek","2017-08-25"
"35′4",,1,"John Wieczorek","2017-08-25"
"38.4",,1,"John Wieczorek","2017-08-25"
"4",,1,"John Wieczorek","2017-08-25"
"46.2",,1,"John Wieczorek","2017-08-25"
"48N",,1,"John Wieczorek","2017-08-25"
"5",,1,"John Wieczorek","2017-08-25"
"50S","S",1,"John Wieczorek","2017-08-25"
"54;",,1,"John Wieczorek","2017-08-25"
"57.5",,1,"John Wieczorek","2017-08-25"
"6",,1,"John Wieczorek","2017-08-25"
"7",,1,"John Wieczorek","2017-08-25"
"8",,1,"John Wieczorek","2017-08-25"
"9",,1,"John Wieczorek","2017-08-25"
"9S","S",1,"John Wieczorek","2017-08-25"
"B",,1,"John Wieczorek","2017-08-25"
"D",,1,"John Wieczorek","2017-08-25"
"deg",,1,"John Wieczorek","2017-08-25"
"degr",,1,"John Wieczorek","2017-08-25"
"dg",,1,"John Wieczorek","2017-08-25"
"dgrs",,1,"John Wieczorek","2017-08-25"
"E","E",1,"John Wieczorek","2017-08-25"
"F",,1,"John Wieczorek","2017-08-25"
"M",,1,"John Wieczorek","2017-08-25"
"N","N",1,"John Wieczorek","2017-08-25"
"N,","N",1,"John Wieczorek","2017-08-25"
"O","W",1,"John Wieczorek","2017-08-25"
"outh","S",1,"John Wieczorek","2017-08-26"
"q",,1,"John Wieczorek","2017-08-25"
"S","S",1,"John Wieczorek","2017-08-25"
"st",,1,"John Wieczorek","2017-08-25"
"W","W",1,"John Wieczorek","2017-08-25"
"X",,1,"John Wieczorek","2017-08-25"
