unit	toMeters	standard	checked
		0	1
'	0.30	0	1
-		0	1
- "F"	0.30	0	1
' (?)		0	1
' (alt)		0	1
' +	0.30	0	1
' below sea level		0	1
- F	0.30	0	1
- F?	0.30	0	1
' ft	0.30	0	1
- FT.	0.30	0	1
- IN	0.02	0	1
 m	1.00	0	1
- m	1.00	0	1
- M ?	1.00	0	1
- METERS	1.00	0	1
- MT	1.00	0	1
	2687.192		0	1

m	1.00	0	1
"		0	1
" "		0	1
" ft	0.30	0	1
"bill legs and orbit		0	1
"bill legs and orbit "b		0	1
"dehydrated		0	1
"dehydrated "d		0	1
"Houndwood"		0	1
"ovary diagram on ta		0	1
"ovary diagram on ta "o		0	1
"shallow"	0.00	0	1
