"Month","MonthNumber","DayOfYearForFirst","checked"
"",,,1
" & Nov ",,,1
" 13",,,1
" 15 Jan",1,0,1
" 1912",,,1
" 1915",,,1
" 1973 ",,,1
" 21",,,1
" 3",3,59,1
" 5",5,120,1
" and Apr ",,,1
" Dec 22",12,334,1
" FEB",2,31,1
" JUL",7,181,1
" Jun",6,151,1
" MAR",3,59,1
" March",3,59,1
" or 2nd  week",,,1
" SEP",9,243,1
" to Mid-Feb ",,,1
"""FALL""",,,1
"& 19 Nov ",,,1
"& 22 Jan ",,,1
"& 26 nov",,,1
"& 27 Nov ",,,1
"& 30 June",,,1
"?",,,1
"[no",,,1
"0",,,1
"03",3,59,1
"05",5,120,1
"06MAY",5,120,1
"08MAR",3,59,1
"09",9,243,1
"090JUN",6,151,1
"1",1,0,1
"10",10,273,1
"11",11,304,1
"11-19 Dec",12,334,1
"12",12,334,1
"13 ",,,1
"13 June",6,151,1
"14",,,1
"14JUL",7,181,1
"14OCT",10,273,1
"17",,,1
"17 & 18",,,1
"18 ",,,1
"1800's",,,1
"1915",,,1
"1932",,,1
"1949",,,1
"1970",,,1
"1971 or early",,,1
"1972 early",,,1
"1978 or",,,1
"1983",,,1
"1989",,,1
"1991",,,1
"1992",,,1
"1996",,,1
"2",2,31,1
"2 APR",4,90,1
"2 weeks of Jan",1,0,1
"20",,,1
"2002",,,1
"2004 ",,,1
"21",,,1
"210MAY",5,120,1
"21MAY",5,120,1
"22  Apr",4,90,1
"23",,,1
"24",,,1
"25",,,1
"25 June",6,151,1
"26",,,1
"27",,,1
"28",,,1
"29 ",,,1
"29 & 30",,,1
"3",3,59,1
"3 APR",4,90,1
"31",,,1
"31May",,,1
"4",4,90,1
"5",5,120,1
"55",,,1
"6",6,151,1
"7",7,181,1
"8",8,212,1
"9",9,243,1
"9-13 Sept",9,243,1
"AAPR",4,90,1
"and",,,1
"and 15 Feb",,,1
"Apr",4,90,1
"Apr-",4,90,1
"APR/MAY",,,1
"april",4,90,1
"April-",4,90,1
"ARP",4,90,1
"Aug",8,212,1
"Aug-",8,212,1
"Aug -",8,212,1
"Aug 1969 &",,,1
"Aug 6",8,212,1
"Aug;",8,212,1
"Augm",8,212,1
"August",8,212,1
"August-",8,212,1
"AUT",8,212,1
"Autumn",,,1
"before",,,1
"before 1935 or",,,1
"date]",,,1
"Dec",12,334,1
"Dec-",12,334,1
"Dec -",12,334,1
"Dec  1894 ",12,334,1
"Dec  1962",12,334,1
"December",12,334,1
"DEP",9,243,1
"early",,,1
"FAL",,,1
"Fall",,,1
"FALSE",,,1
"Feb",2,31,1
"Feb-",2,31,1
"Feb -",2,31,1
"Feb 1923; 24 May",,,1
"Feb and early Mar",,,1
"February",2,31,1
"field",,,1
"i",1,0,1
"ii",2,31,1
"iii",3,59,1
"iv",4,90,1
"ix",9,212,1
"Jan",1,0,1
"Jan-",1,0,1
"Jan -",1,0,1
"JANB",1,0,1
"January",1,0,1
"JJUL",7,181,1
"Jul",7,181,1
"Jul-",7,181,1
"July",7,181,1
"July-",7,181,1
"July 18 ",7,181,1
"July 1964",7,181,1
"Jun",6,151,1
"June",6,151,1
"June-",6,151,1
"Late",,,1
"MAAR",3,59,1
"Mar",3,59,1
"Mar-",3,59,1
"Mar -",3,59,1
"March",3,59,1
"March-",3,59,1
"MAT",,,1
"May",5,120,1
"May-",5,120,1
"May or June",,,1
"MMAR",3,59,1
"MRA",3,59,1
"MYA",5,120,1
"No",,,1
"Nov",11,304,1
"Nov 1983 ",11,304,1
"Nov/21",,,1
"NOVC",11,304,1
"November",11,304,1
"NV",11,304,1
"Oct",10,273,1
"Oct-",10,273,1
"Oct -",10,273,1
"Oct & 5 Nov",,,1
"October",10,273,1
"of March",3,59,1
"OPCT",10,273,1
"or",,,1
"or 10 May",,,1
"or 21",,,1
"or 5 Nov ",,,1
"or 7 Apr",,,1
"or 9 Jan",,,1
"or June",,,1
"or Oct ",10,273,1
"or Sept ",,,1
"POCT",10,273,1
"purchased",,,1
"SE[",9,243,1
"SEO",9,243,1
"Sep",9,243,1
"Sep-",9,243,1
"Sep-Nov",,,1
"Sept",9,243,1
"Sept -",9,243,1
"September",9,243,1
"September-",9,243,1
"SPE",9,243,1
"SPR",,,1
"SPR/SUM",,,1
"Spring",,,1
"SUM",,,1
"Summer",,,1
"to",,,1
"to mid May",,,1
"unk",,,1
"v",5,120,1
"vi",6,151,1
"vii",7,181,1
"viii",8,212,1
"week Dec ",12,334,1
"week Mar ",3,59,1
"week May",,,1
"WIN",,,1
"winter",,,1
"x",10,273,1
"x 1984",,,1
"x 1984,em 5 xi",,,1
"XCT",10,273,1
"xi",11,304,1
"xi 1994",11,304,1
"xi[no",11,304,1
"xii",12,334,1
"xii 1983",12,334,1
"XX",,,1
"XXX",,,1
"XXXZ",,,1
