"verbatimBasisOfRecord","standardBasisOfRecord","uri","checked","opinionBy","opinionDate"
"Ejemplar preservado","PreservedSpecimen","http://rs.tdwg.org/dwc/terms/PreservedSpecimen",1,"Paula Zermoglio","2017-08-26"
"Especimen preservado","PreservedSpecimen","http://rs.tdwg.org/dwc/terms/PreservedSpecimen",1,"Paula Zermoglio","2017-08-26"
"Espécimen Preservado","PreservedSpecimen","http://rs.tdwg.org/dwc/terms/PreservedSpecimen",1,"Paula Zermoglio","2017-08-26"
"fossil","FossilSpecimen","http://rs.tdwg.org/dwc/terms/FossilSpecimen",1,"John Wieczorek","2017-08-25"
"Fossil Specimen","FossilSpecimen","http://rs.tdwg.org/dwc/terms/FossilSpecimen",1,"John Wieczorek","2017-08-25"
"FossilSpecimen","FossilSpecimen","http://rs.tdwg.org/dwc/terms/FossilSpecimen",1,"John Wieczorek","2017-08-25"
"Human Observation","HumanObservation","http://rs.tdwg.org/dwc/terms/HumanObservation",1,"John Wieczorek","2017-08-25"
"HumanObservation","HumanObservation","http://rs.tdwg.org/dwc/terms/HumanObservation",1,"John Wieczorek","2017-08-25"
"Literature","HumanObservation","http://rs.tdwg.org/dwc/terms/HumanObservation",1,"John Wieczorek","2017-08-25"
"LivingSpecimen","LivingSpecimen","http://rs.tdwg.org/dwc/terms/LivingSpecimen",1,"John Wieczorek","2017-08-25"
"MachineObservation","MachineObservation","http://rs.tdwg.org/dwc/terms/MachineObservation",1,"John Wieczorek","2017-08-25"
"material sample","MaterialSample","http://rs.tdwg.org/dwc/terms/MaterialSample",1,"John Wieczorek","2017-08-25"
"MaterialSample","MaterialSample","http://rs.tdwg.org/dwc/terms/MaterialSample",1,"John Wieczorek","2017-08-25"
"MovingImage","MachineObservation","http://rs.tdwg.org/dwc/terms/MachineObservation",1,"John Wieczorek","2017-08-25"
"O",,,1,"John Wieczorek","2017-08-25"
"Observación Humana","HumanObservation","http://rs.tdwg.org/dwc/terms/HumanObservation",1,"Paula Zermoglio","2017-08-26"
"Photo","MachineObservation","http://rs.tdwg.org/dwc/terms/MachineObservation",1,"John Wieczorek","2017-12-03"
"Preserved Specimen","PreservedSpecimen","http://rs.tdwg.org/dwc/terms/PreservedSpecimen",1,"John Wieczorek","2017-08-25"
"PreservedSpecimen","PreservedSpecimen","http://rs.tdwg.org/dwc/terms/PreservedSpecimen",1,"John Wieczorek","2017-08-25"
"PreservedSpecimens","PreservedSpecimen","http://rs.tdwg.org/dwc/terms/PreservedSpecimen",1,"John Wieczorek","2017-08-25"
"S","PreservedSpecimen","http://rs.tdwg.org/dwc/terms/PreservedSpecimen",1,"John Wieczorek","2017-08-25"
"sample","MaterialSample","http://rs.tdwg.org/dwc/terms/MaterialSample",1,"John Wieczorek","2017-08-25"
"Sound","MachineObservation","http://rs.tdwg.org/dwc/terms/MachineObservation",1,"John Wieczorek","2017-08-25"
"Specimen","PreservedSpecimen","http://rs.tdwg.org/dwc/terms/PreservedSpecimen",1,"John Wieczorek","2017-08-25"
"StillImage","MachineObservation","http://rs.tdwg.org/dwc/terms/MachineObservation",1,"John Wieczorek","2017-08-25"
"Text","HumanObservation","http://rs.tdwg.org/dwc/terms/HumanObservation",1,"John Wieczorek","2017-08-25"
"Tissue","MaterialSample","http://rs.tdwg.org/dwc/terms/MaterialSample",1,"John Wieczorek","2017-12-03"
"voucher","PreservedSpecimen","http://rs.tdwg.org/dwc/terms/PreservedSpecimen",1,"John Wieczorek","2017-08-25"
"Voucher specimen(s)","PreservedSpecimen","http://rs.tdwg.org/dwc/terms/PreservedSpecimen",1,"John Wieczorek","2017-12-03"
"W",,,1,"John Wieczorek","2017-08-25"
"ZooarchaeologicalSpecimen","ZooarchaeologicalSpecimen",,1,"John Wieczorek","2017-08-25"
