verbatimBasisOfRecord	standardBasisOfRecord	standard	checked
fossil	FossilSpecimen	0	1
Fossil Specimen	FossilSpecimen	0	1
FossilSpecimen	FossilSpecimen	1	1
Human Observation	HumanObservation	0	1
HumanObservation	HumanObservation	1	1
Literature	HumanObservation	0	1
LivingSpecimen	LivingSpecimen	1	1
MachineObservation	MachineObservation	1	1
material sample	MaterialSample	0	1
MaterialSample	MaterialSample	1	1
MovingImage	MachineObservation	0	1
O		0	1
Preserved Specimen	PreservedSpecimen	0	1
PreservedSpecimen	PreservedSpecimen	1	1
PreservedSpecimens	PreservedSpecimen	0	1
S	PreservedSpecimen	0	1
sample	MaterialSample	0	1
Sound	MachineObservation	0	1
Specimen	PreservedSpecimen	0	1
StillImage	MachineObservation	0	1
Text	HumanObservation	0	1
voucher	PreservedSpecimen	0	1
W		0	1
ZooarchaeologicalSpecimen	ZooarchaeologicalSpecimen	0	1
