preparations,reps
"skeleton, partial; blood (slide smear); blood (flash-frozen); muscle (RNAlater); heart, liver, muscle (frozen)",512
bird,3072
Misc - 1,1
Muscle;Muscle;skin,1
"Element: Long Bone, Element URI: UBERON:0002495, Portion: fragment",1
"Element: Tarsometatarsal, Side: R",1
flat skin & partial skeleton | tissue,1
Leg & Wing & Tail,1
preserved,1
Skeleton Complete; Skin Partial,1
TISSUE; Fluid Alcohol; Skeleton Complete,1
Skeleton Partial; TISSUE; PARASITES; Skin Study; Fluid Stomach Contents,1
Fluid Stom & Esoph Cont; Skeleton Complete,1
Skin Wing; Skeleton Complete,1
TISSUE; PARASITES; Fluid Stomach In Alc; Skeleton Complete,1
Skin Wing; TISSUE; PARASITES; Skeleton Partial; Fluid Stomach In Alc,1
TISSUE; Skin Study; swab; Fluid Post-cran in ETOH; PARASITES; Fluid Stomach In Alc,1
TISSUE; None; Skin Study,1
swab; TISSUE; Fluid Post-cran in ETOH; Skin Study; Feathers; Fluid Stomach In Alc,1
PARASITES; TISSUE; swab; Fluid Post-cran in ETOH; Skin Study; Feathers; Fluid Stomach In Alc,1
TISSUE; Fluid Post-cran in ETOH; PARASITES; Skin Study; Fluid Stomach In Alc,1
TISSUE; PARASITES; Fluid Post-cran in ETOH; swab; Skin Study; Feathers; Fluid Stomach In Alc,1
None; TISSUE; Fluid Post-cran in ETOH; Skin Study; Blood; Feathers,1
TISSUE; Fluid Post-cran in ETOH; Skin Study; Blood; Feathers,1
TISSUE; swab; Skin Study; Blood,1
TISSUE; Blood; Skin Study; swab,1
TISSUE; swab; Blood; Skin Study; Feathers,1
Fluid Other; Skeleton Skull,1
postcranial skeleton (vertebrae and neck parts) | skull (complete),1
"postcranial skeleton (partial) | skull (complete) | Muscle, liver, heart, kidney | two wings",1
"mount (body) | muscle, liver, heart, kidney",1
"skin (head only) | muscle, liver, heart, kidney | one wing",1
"skin (round) | muscle, brain",1
skin (feet),1
Life History - 1,1
skin/whole skeleton? - 1,1
Wings/Feet/Head/Tail,1
EtOH | Tissue: 657,1
Skeleton/crown skin,1
skeleton - 1 | tail | wing,1
BirdPrep - 1 | bulla | partial skeleton | round skin | tissue | wing - 1,1
"fluid, egg",1
"skeleton, clavicle",1
default - 41,1
fossil - 3; fossil - 1,1
default - 100,1
Mounted Skin (Heads Only),1
"Spread Wing, Skin",1
Tarso-metatarsus (part),1
Skull (damaged) with jaw + skeleton,1
head; wing; foot,1
skin; wing; digestive tract; frozen: heart; liver; muscle,1
Skin/Skel(1983 1121),1
"skull; feather; skeleton, partial",1
Misc. - 1; No data - 1,1
Skull with jaw + sternum + misc. bones,1
Tibiae (right + left) + metatarsus (right) + pelvis (portion),1
Skull with jaw + sternum + shoulder girdle,1
Cast of mandible (upper),1
Casts of tarso-metatarsal (left),1
Urinogenital organs (in spirit),1
wing (2); Feet (2),1
tissue (frozen); partial skeleton (dry),1
skeleton (dry); stomach content (95% ethanol); tissue (frozen: vapor phase nitrogen),1
partial skeleton (dry); spread wing (unknown),1
tissue (frozen); RNA (frozen); tissue (frozen: vapor phase nitrogen); tissue (95% ethanol) sample,1
skin (dry); stomach content (frozen); tissue (frozen); tissue (frozen); tissue (frozen),1
skin (dry); spread wing (dry); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen),1
tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); partial skeleton (dry); tissue (frozen: vapor phase nitrogen); spread wing (dry); tissue (frozen: vapor phase nitrogen),1
Miscellaneous bones (pieces),1
"Tibio-tarsus (left, distal end)",1
"Foot (right, dried)",1
Mandible (portion) + tibio-tarsus (right) + tarso-metatarsus  (right),1
Feathers (from flanks),1
Cast of humerus (right),1
Femur + tibiotarsus (2),1
tail; wings (2),1
skin; wing; partial skeleton; frozen: liver; heart; leg muscle,1
discarded,1
Anat. prep.,1
"egg (intact, stained; parasitized by Cuculus canorus YPM 136250)",1
"egg (intact, unmarked; parasitized by Cuculus canorus YPM 136254)",1
egg (host: Erithacus rubecula YPM 145209),1
egg (parasitized by Cuculus canorus YPM 145210),1
egg (intact; parasitized by Cuculus canorus YPM 136103),1
