"u_datumstr","epsg"
"'",
"-",
" WGS84",4326
" WGS84",4326
"
WGS84",4326
"!196",
"""""ZAIRE""""",
"""54° 45' 56"""" S""",
"""54° 49' 56"""" S""",
"""INTERNATIONAL SPHEROID""",4022
"#D50",
"#N/D",
"(+/- 30 METERS)",
"(AGD84)",4203
"(ATLAS FL. EUR.): MH2",
"(COPIED FROM UCR133714)",
"(GDA94)   (WGS84)",4326
"(GDA94) (AGDA84)",4283
"(GPS - WGS84).",4326
"(GPS)",
"(GPS, WGS 84)",4326
"(NAD 27)",4267
"(NAD 83)",4269
"(NAD 84)",
"(NAD/WGS84)",4326
"(NAD27 CONUS)",4267
"(NAD27)",4267
"(NAD27) NORTH AMERICAN 1927",4267
"(NAD83)",4269
"(NAD83/WGS84)",4326
"(NAD83/WGS84))",4326
"(NAD83/WGS84).",4326
"(NAD83-WGS84)",4326
"(NAD84)",
"(UTM DATUM: NAD 27 CONUS)",4267
"(WGS 84 DATUM USED).",4326
"(WGS 84)",4326
"(WGS66) WORLD GEODETIC SYSTEM 1966",4760
"(WGS72) WORLD GEODETIC SYSTEM 1972",4322
"(WGS84",4326
"(WGS84 USED).",4326
"(WGS84)",4326
"(WGS84) WORLD GEOD",4326
"(WGS84) WORLD GEODETIC SYSTEM 1984",4326
"(WSG 84)",4326
".",
"/QFA84",
"?",
"?WAY OFF",
"@GS84",4326
"[NOT RECORDED].",
"[ORNIS]GEODETICDATUM]",
"[REDACTED]",
"[WGS 84] CA 1132 M (ESTIMATE)",4326
"[WGS 84] CA 1157 M (ESTIMATE)",4326
"\",
"`",
"`1Q",
"=",
"± 100 M",
"±10 M",
"±100 M",
"±1000 M",
"±10M",
"0",
"0.00001",
"-0.32883",
"-0.444",
"-0.48205",
"-0.53115",
"-0.6057695",
"0.6289889",
"0.6339",
"0.7333333",
"-0.996812218",
"-0.9992",
"01/10/1959",
"04/06/1949",
"04/07/1949",
"04/10/1959",
"05/09/1949",
"0588664E, 4465040N",
"06/09/1949",
"0602338E, 4533089N",
"0602368E, 4532830N",
"0623918E, 4495836N",
"07.03.2015",
"0731100 5178800",
"08/07/1935",
"08/07/1949",
"1",
"1.145875",
"1.176619",
"1.203175",
"1.253103",
"1.284692",
"-1.37898723",
"-1.5971",
"-1.7022",
"10",
"10 MILES OF CARTERSVILLE",
"10.03448",
"-10.06333",
"-10.0925",
"10.1.2009",
"-10.10892",
"-10.12839",
"10.25088",
"10.26667",
"10.383333",
"10.42667",
"10.433333",
"-10.46667",
"10.5",
"10.52",
"-10.605",
"10.75",
"10.78333",
"-10.8078333333333",
"10/07/1949",
"100",
"-100.0523890000",
"-100.1067760000",
"-100.1163970000",
"-100.1239010000",
"-100.1664260000",
"-100.1767680000",
"-100.1940350000",
"-100.1955150000",
"-100.2180100000",
"-100.2188700000",
"-100.2242780000",
"-100.2275570000",
"-100.2276710000",
"-100.2385630000",
"-100.2390050000",
"-100.2409660000",
"-100.2457280000",
"-100.2584840000",
"-100.2769700000",
"-100.2784180000",
"-100.2855830000",
"-100.2859750000",
"-100.2913440000",
"-100.3072200000",
"-100.3093480000",
"-100.3235860000",
"-100.3263710000",
"-100.3270940000",
