"verbatimDisposition","StandardDisposition","standard","checked"
" No","missing",0,1
" Yes","in collection",0,1
"""Given to National Museum & exchanged Jan. '90 for",,0,0
"""Presented to Mr. Ridgway, Curator of National Mus",,0,0
"""Sent to Mr. Ridgway, Curator of National Museum, ",,0,0
"""Sent to Mr. Rodgway, Curator of National Museum, ",,0,0
"#149015-149215 sent to Field Museum; see remarks u",,0,0
"#26290 Exchanged J.T. Nichols Feb. 1, 1907; Gift t",,0,0
"#270045-270374 sent to M.C.Z. on behalf of Mr. Sid",,0,0
"(discarded 13-10-54 JF)",,0,0
"(Exch. to Phelps - Aug. 1949)",,0,0
"(exchange) Henry K. Coale, Jan 2, 1920",,0,0
"(Gift to Hope College, Holland Mich., De. D.E. Gre",,0,0
"(Gift to Hope College, Holland, Mich., Dr. de. Gre",,0,0
"(Poor - discarded), 5 Jun 1905",,0,0
"(Poor), Discarded: 5 Jun 1905",,0,0
"(Returned by NJ Audubon 2002)",,0,0
"(Returned NJ Audubon 2002)",,0,0
"* Gift to Suffolk Museum",,0,0
"? - Princeton Museum -1951",,0,0
"[Given to Dr. E. Mayr, MCZ, Dec 1953",,0,0
"[illeg]M. Chapman [illeg], 1925",,0,0
"[Not in collection 25 Feb '92]",,0,0
"1965 - Exchange - Dr. Carlos Alberto Campas Seabra",,0,0
"1965 Exch - Dr Carlos Alberto Campos Seabra",,0,0
"1965 Exch. - Dr. Carlos Alberto Campos Seabra",,0,0
"1965 Exch. Dr. Carlos Alberti - Campos Seabia",,0,0
"1965 Exchange - Dr Carlos Alberto Campos Seabra",,0,0
"1965 Exchange - Dr. Carlos Albert Campos Seabra",,0,0
"1965 Exchange - Dr. Carlos Alberto Campos Seabra",,0,0
"1965, Exchange - Dr. Carlos Alberto Campos Seabra",,0,0
"67602 Exchanged RC Murphy July 1907",,0,0
"691",,0,0
"Alexander Mus., Neth",,0,0
"ancient DNA",,0,0
"Apparently it was this specimen sent to Cleveland.",,0,0
"Attacked by insects, 1920",,0,0
"Australian Mus. 1953",,0,0
"Australian Museum 1953",,0,0
"B.P. Biahop Mus.",,0,0
"B.P. Bishop",,0,0
"B.P. Bishop Mus.",,0,0
"B.P. Bishop Muse.",,0,0
"B.P. Bishop Museum",,0,0
"Bahia skin to LSU, 4/67",,0,0
"Bat Cart Ex.",,0,0
"Bell Jar",,0,0
"BROKEN",,0,0
"Buffalo Mus. of Sci.",,0,0
"Buffalo Museum of Sci",,0,0
"Buffalo Museum of Sci.",,0,0
"Buffalo Museum of Science",,0,0
"Buffalo, Museum of Sci.",,0,0
"By exchange with M.C.Z.",,0,0
"BYU",,0,0
"C.Z. Eustargio Menchez Exchange to Corgas Mem. Lab",,0,0
"CIBNOR",,0,0
"Cleared and Stained",,0,0
"Cleared and StainedOn Loan",,0,0
"Cleared and StainedParatype",,0,0
"Collections","in collection",0,1
"D",,0,0
"damaged for C4 sample",,0,0
"Deaccessioned",,0,0
"Dep. by L.I. Hist. Soc.",,0,0
"Dep. by L.I. Historical Soc.",,0,0
"DESTROYED",,0,0
"Destroyed by insects",,0,0
"Destroyed by insects 50017?",,0,0
"Destroyed by insects 50026?",,0,0
"Destroyed by insects 50029?",,0,0
"Destroyed by insects 50031?",,0,0
"Destroyed by insects, 13 Jul 1928",,0,0
"Destroyed by insects, 1920",,0,0
"Destroyed by insects, 1920, JPC",,0,0
"Destroyed by insects, 1924",,0,0
"Destroyed by insects, 28 Jul 1930",,0,0
"Destroyed by insects, 7 Nov 1924",,0,0
"Destroyed by insects, Aug 192[illeg]",,0,0
"Destroyed by insects, Discarded",,0,0
"Destroyed by insects, Discarded 9 May 1917",,0,0
"Destroyed by insects, Discarded: 1920",,0,0
"Destroyed by insects, Discarded: 1921",,0,0
"Destroyed by insects, J.P.C.",,0,0
"Destroyed by insects, Mar 1919",,0,0
"Destroyed by insects; Discarded",,0,0
"Destroyed by insects; Discarded 9 May 1917",,0,0
"Destroyed by moths while in Dept. of Tax. where it",,0,0
"Destroyed by pests",,0,0
"Destroyed by rats",,0,0
"Destroyed for aDNA",,0,0
"destroyed for radiocarbon",,0,0
"DESTROYED OR DISCARDED",,0,0
"Destroyed, Nov 1921",,0,0
"Destroyed: Jul 1920",,0,0
"DESTROYED?",,0,0
"Discard",,0,0
"Discard - Dr. Amadon 7/17/63",,0,0
"Discard 24 Sep 1954, J.F.(To: Carnegie Museum)",,0,0
"Discard 27 Apr 1953, D.A.",,0,0
"Discard 28-TX-54 J.F.",,0,0
"Discard, 28 Oct 1960",,0,0
"Discard, 6 Oct 1954, J.[illeg].",,0,0
"Discard. 27 Apr 1953, D.A.",,0,0
"Discarded",,0,0
"Discarded - 7 Dec 1960 'grease-burned'",,0,0
"Discarded - Dr. Amadon, 17 Jul 1963",,0,0
"Discarded - per field notes",,0,0
"Discarded 1 Mar 1948",,0,0
"discarded 13-X-54 J.F.",,0,0
"Discarded 15 May 1975",,0,0
"discarded 19-X-54 J.F.",,0,0
"Discarded 2/2/74",,0,0
"Discarded 21 Sep 1954 JF",,0,0
"Discarded 22 Feb 1962",,0,0
"discarded 28-6-55",,0,0
"Discarded 29 Jun 195[illeg]",,0,0
"Discarded 4 Feb 1959, Dr. Vaurie",,0,0
"Discarded 4/16/71 C.O.B.",,0,0
"Discarded 5/9/94 R.A.S.",,0,0
"Discarded 6 Nov 1957 D. Amadon",,0,0
"Discarded 6/24/64 D. Amadon",,0,0
"Discarded 6-X 54 J.F.",,0,0
"Discarded 6-X-54 JF",,0,0
"Discarded 7 Apr 1941",,0,0
"discarded 7/23/59",,0,0
"Discarded 9 Oct 1954 J.F.",,0,0
"Discarded 9-Oct-1954 JF",,0,0
"Discarded Apr. 4, 1979","discarded",0,1
"Discarded April 4, 1979","discarded",0,1
"Discarded Aug. 27, 1959","discarded",0,1
"Discarded by Charles OBrien, 24 Jul 1961",,0,0
"Discarded by D. Amadon, 23 Jun 1969",,0,0
"Discarded by D. Amadon, 29 Mar 1951",,0,0
"Discarded by Dr. Amadon 7/31/63; Gift to Rutgers U",,0,0
"Discarded by Dr. Amadon, 11 Jan 1960",,0,0
"Discarded by Dr. Amadon, 11 Mar 1957",,0,0
"Discarded by Dr. Amadon, 29 Aug 1958",,0,0
"Discarded by Dr. Amadon, Feb 11, 1963",,0,0
"Discarded by Dr. Amadon, Jul 1961",,0,0
"Discarded by Dr. Amadon, May 1963",,0,0
"Discarded by Dr. Amadon, Yuly 1961",,0,0
"Discarded by Dr. C. Vaurie, 24 Sep 1956",,0,0
"Discarded by Dr. C. Vaurie, Sept 24, '56",,0,0
"Discarded by Dr. Dean Amadon, 19 Feb 1957",,0,0
"Discarded by Dr. Dean Amadun, Feb 19, 1957",,0,0
"Discarded by Dr. Mayr, 1 Nov 1939",,0,0
"Discarded by Dr. Mayr, 23 Dec 1943",,0,0
"Discarded by Dr. Mayr, Dec 1936",,0,0
"Discarded by Dr. Mayr, Dec 1944",,0,0
"Discarded by Dr. Mayr, Feb 16, 1940",,0,0
"Discarded by Dr. Mayr, May 6, 1936",,0,0
"Discarded by Dr. Mayr, Nov 1, 1938",,0,0
"Discarded by Dr. Meyr, Dec 25, 1943",,0,0
"Discarded by Dr. Vaurie 5 March 1956",,0,0
"Discarded by Dr. Vaurie, 25 Mar 1956",,0,0
"Discarded by Dr. Vaurie, 5 Mar 1956",,0,0
"Discarded by Mr. OBrien, 15 Mar 1971",,0,0
"Discarded D. Amadon 7/17/63",,0,0
"Discarded damaged 8/91",,0,0
"Discarded from Coll. 21 Oct 1931. (Preparation Dep",,0,0
"Discarded from Coll., 21 Oct 1931",,0,0
"Discarded from Coll., 21 Oct 1931 (Preparation Dep",,0,0
"Discarded from Coll., 21 Oct 1931, (Preparation De",,0,0
"Discarded from Coll., 21 Oct 1931. (Preparation De",,0,0
"Discarded from Coll.: 21 Oct 1931. (Dept. of Prepa",,0,0
"Discarded from Coll.: 21 Oct 1931. (Preparation De",,0,0
"Discarded from Collection (Grease-burned), 10 May ",,0,0
"Discarded from collection, 23 Dec 1943, by Dr. May",,0,0
"Discarded July 8, 1953","discarded",0,1
"Discarded June 12, 1936",,0,0
"Discarded June 5 1936",,0,0
