verbatimDisposition	standardDisposition	standard	checked
 No	missing	0	1
 Yes	in collection	0	1
"Given to National Museum & exchanged Jan. '90 for	voucher elsewhere	0	1
"Presented to Mr. Ridgway, Curator of National Mus	voucher elsewhere	0	1
"Sent to Mr. Ridgway, Curator of National Museum, 	voucher elsewhere	0	1
"Sent to Mr. Rodgway, Curator of National Museum, 	voucher elsewhere	0	1
#149015-149215 sent to Field Museum; see remarks u	voucher elsewhere	0	1
#26290 Exchanged J.T. Nichols Feb. 1, 1907; Gift t	voucher elsewhere	0	1
#270045-270374 sent to M.C.Z. on behalf of Mr. Sid	voucher elsewhere	0	1
(discarded 13-10-54 JF)	discarded	0	1
(Exch. to Phelps - Aug. 1949)	voucher elsewhere	0	1
(exchange) Henry K. Coale, Jan 2, 1920	voucher elsewhere	0	1
(Gift to Hope College, Holland Mich., De. D.E. Gre	voucher elsewhere	0	1
(Gift to Hope College, Holland, Mich., Dr. de. Gre	voucher elsewhere	0	1
(Poor - discarded), 5 Jun 1905	discarded	0	1
(Poor), Discarded: 5 Jun 1905	discarded	0	1
(Returned by NJ Audubon 2002)	in collection	0	1
(Returned NJ Audubon 2002)	in collection	0	1
* Gift to Suffolk Museum	voucher elsewhere	0	1
? - Princeton Museum -1951	voucher elsewhere	0	1
[Given to Dr. E. Mayr, MCZ, Dec 1953	voucher elsewhere	0	1
[illeg]M. Chapman [illeg], 1925		0	1
[Not in collection 25 Feb '92]	missing	0	1
1965 - Exchange - Dr. Carlos Alberto Campas Seabra	voucher elsewhere	0	1
1965 Exch - Dr Carlos Alberto Campos Seabra	voucher elsewhere	0	1
1965 Exch. - Dr. Carlos Alberto Campos Seabra	voucher elsewhere	0	1
1965 Exch. Dr. Carlos Alberti - Campos Seabia	voucher elsewhere	0	1
1965 Exchange - Dr Carlos Alberto Campos Seabra	voucher elsewhere	0	1
1965 Exchange - Dr. Carlos Albert Campos Seabra	voucher elsewhere	0	1
1965 Exchange - Dr. Carlos Alberto Campos Seabra	voucher elsewhere	0	1
1965, Exchange - Dr. Carlos Alberto Campos Seabra	voucher elsewhere	0	1
67602 Exchanged RC Murphy July 1907	voucher elsewhere	0	1
691		0	1
absent	missing	0	1
Alexander Mus., Neth	voucher elsewhere	0	1
ancient DNA		0	1
Apparently it was this specimen sent to Cleveland.	voucher elsewhere	0	1
Attacked by insects, 1920		0	1
Australian Mus. 1953	voucher elsewhere	0	1
Australian Museum 1953	voucher elsewhere	0	1
B.P. Biahop Mus.	voucher elsewhere	0	1
B.P. Bishop	voucher elsewhere	0	1
B.P. Bishop Mus.	voucher elsewhere	0	1
B.P. Bishop Muse.	voucher elsewhere	0	1
B.P. Bishop Museum	voucher elsewhere	0	1
Bahia skin to LSU, 4/67	voucher elsewhere	0	1
Bat Cart Ex.	voucher elsewhere	0	1
being processed		0	1
Bell Jar		0	1
BROKEN		0	1
Buffalo Mus. of Sci.	voucher elsewhere	0	1
Buffalo Museum of Sci	voucher elsewhere	0	1
Buffalo Museum of Sci.	voucher elsewhere	0	1
Buffalo Museum of Science	voucher elsewhere	0	1
Buffalo, Museum of Sci.	voucher elsewhere	0	1
By exchange with M.C.Z.	voucher elsewhere	0	1
BYU	voucher elsewhere	0	1
C.Z. Eustargio Menchez Exchange to Corgas Mem. Lab	voucher elsewhere	0	1
CIBNOR	voucher elsewhere	0	1
Cleared and Stained		0	1
Cleared and StainedOn Loan		0	1
Cleared and StainedParatype		0	1
Collections	in collection	0	1
D		0	1
damaged for C4 sample		0	1
Deaccessioned	discarded	0	1
Dep. by L.I. Hist. Soc.	in collection	0	1
Dep. by L.I. Historical Soc.	in collection	0	1
DESTROYED	destroyed	0	1
Destroyed by insects	destroyed	0	1
Destroyed by insects 50017?	destroyed	0	1
Destroyed by insects 50026?	destroyed	0	1
Destroyed by insects 50029?	destroyed	0	1
Destroyed by insects 50031?	destroyed	0	1
Destroyed by insects, 13 Jul 1928	destroyed	0	1
Destroyed by insects, 1920	destroyed	0	1
Destroyed by insects, 1920, JPC	destroyed	0	1
Destroyed by insects, 1924	destroyed	0	1
Destroyed by insects, 28 Jul 1930	destroyed	0	1
Destroyed by insects, 7 Nov 1924	destroyed	0	1
Destroyed by insects, Aug 192[illeg]	destroyed	0	1
Destroyed by insects, Discarded	destroyed	0	1
Destroyed by insects, Discarded 9 May 1917	destroyed	0	1
Destroyed by insects, Discarded: 1920	destroyed	0	1
Destroyed by insects, Discarded: 1921	destroyed	0	1
Destroyed by insects, J.P.C.	destroyed	0	1
Destroyed by insects, Mar 1919	destroyed	0	1
Destroyed by insects; Discarded	destroyed	0	1
Destroyed by insects; Discarded 9 May 1917	destroyed	0	1
Destroyed by moths while in Dept. of Tax. where it	destroyed	0	1
Destroyed by pests	destroyed	0	1
Destroyed by rats	destroyed	0	1
Destroyed for aDNA	destroyed	0	1
destroyed for radiocarbon	destroyed	0	1
DESTROYED OR DISCARDED	destroyed	0	1
Destroyed, Nov 1921	destroyed	0	1
Destroyed: Jul 1920	destroyed	0	1
DESTROYED?	destroyed	0	1
Discard	discarded	0	1
Discard - Dr. Amadon 7/17/63	discarded	0	1
Discard 24 Sep 1954, J.F.(To: Carnegie Museum)	discarded	0	1
Discard 27 Apr 1953, D.A.	discarded	0	1
Discard 28-TX-54 J.F.	discarded	0	1
Discard, 28 Oct 1960	discarded	0	1
Discard, 6 Oct 1954, J.[illeg].	discarded	0	1
Discard. 27 Apr 1953, D.A.	discarded	0	1
Discarded	discarded	0	1
Discarded - 7 Dec 1960 'grease-burned'	discarded	0	1
Discarded - Dr. Amadon, 17 Jul 1963	discarded	0	1
Discarded - per field notes	discarded	0	1
Discarded 1 Mar 1948	discarded	0	1
discarded 13-X-54 J.F.	discarded	0	1
Discarded 15 May 1975	discarded	0	1
discarded 19-X-54 J.F.	discarded	0	1
Discarded 2/2/74	discarded	0	1
Discarded 21 Sep 1954 JF	discarded	0	1
Discarded 22 Feb 1962	discarded	0	1
discarded 28-6-55	discarded	0	1
Discarded 29 Jun 195[illeg]	discarded	0	1
Discarded 4 Feb 1959, Dr. Vaurie	discarded	0	1
Discarded 4/16/71 C.O.B.	discarded	0	1
Discarded 5/9/94 R.A.S.	discarded	0	1
Discarded 6 Nov 1957 D. Amadon	discarded	0	1
Discarded 6/24/64 D. Amadon	discarded	0	1
Discarded 6-X 54 J.F.	discarded	0	1
Discarded 6-X-54 JF	discarded	0	1
Discarded 7 Apr 1941	discarded	0	1
discarded 7/23/59	discarded	0	1
Discarded 9 Oct 1954 J.F.	discarded	0	1
Discarded 9-Oct-1954 JF	discarded	0	1
Discarded Apr. 4, 1979	discarded	0	1
Discarded April 4, 1979	discarded	0	1
Discarded Aug. 27, 1959	discarded	0	1
Discarded by Charles OBrien, 24 Jul 1961	discarded	0	1
Discarded by D. Amadon, 23 Jun 1969	discarded	0	1
Discarded by D. Amadon, 29 Mar 1951	discarded	0	1
Discarded by Dr. Amadon 7/31/63; Gift to Rutgers U	discarded	0	1
Discarded by Dr. Amadon, 11 Jan 1960	discarded	0	1
Discarded by Dr. Amadon, 11 Mar 1957	discarded	0	1
Discarded by Dr. Amadon, 29 Aug 1958	discarded	0	1
Discarded by Dr. Amadon, Feb 11, 1963	discarded	0	1
Discarded by Dr. Amadon, Jul 1961	discarded	0	1
Discarded by Dr. Amadon, May 1963	discarded	0	1
Discarded by Dr. Amadon, Yuly 1961	discarded	0	1
Discarded by Dr. C. Vaurie, 24 Sep 1956	discarded	0	1
Discarded by Dr. C. Vaurie, Sept 24, '56	discarded	0	1
Discarded by Dr. Dean Amadon, 19 Feb 1957	discarded	0	1
Discarded by Dr. Dean Amadun, Feb 19, 1957	discarded	0	1
Discarded by Dr. Mayr, 1 Nov 1939	discarded	0	1
Discarded by Dr. Mayr, 23 Dec 1943	discarded	0	1
Discarded by Dr. Mayr, Dec 1936	discarded	0	1
Discarded by Dr. Mayr, Dec 1944	discarded	0	1
Discarded by Dr. Mayr, Feb 16, 1940	discarded	0	1
Discarded by Dr. Mayr, May 6, 1936	discarded	0	1
Discarded by Dr. Mayr, Nov 1, 1938	discarded	0	1
Discarded by Dr. Meyr, Dec 25, 1943	discarded	0	1
