"verbatimGeodeticDatum","standardGeodeticDatum","epsg","checked","opinionBy","opinionDate","uri"
"'","not recorded",,1,"John Wieczorek","2017-08-25",
"-","not recorded",,1,"John Wieczorek","2020-05-12",
" WGS84","WGS 84",4326,1,"John Wieczorek","2020-04-29",
" WGS84","WGS 84",4326,1,"John Wieczorek","2020-04-24",
"
WGS84","WGS 84",4326,1,"John Wieczorek","2020-04-29",
"!196","not recorded",,1,"John Wieczorek","2020-04-24",
"""""Zaire""""","not recorded",,1,"John Wieczorek","2020-04-24",
"""International spheroid""","Unknown datum based upon the International 1924 el",4022,1,"John Wieczorek","2020-04-29",
"#D50","not recorded",,1,"John Wieczorek","2020-04-24",
"#N/D","not recorded",,1,"John Wieczorek","2020-05-12",
"(+/- 30 meters)","not recorded",,1,"John Wieczorek","2020-04-24",
"(AGD84)","AGD84",4203,1,"John Wieczorek","2020-05-12",
"(Atlas Fl. Eur.): MH2","not recorded",,1,"John Wieczorek","2020-04-24",
"(COPIED FROM UCR133714)","not recorded",,1,"John Wieczorek","2020-05-12",
"(GDA94)   (WGS84)","WGS84",4326,1,"John Wieczorek","2020-05-12",
"(GDA94) (AGDA84)","GDA94",4283,1,"John Wieczorek","2020-05-12",
"(GPS - WGS84).","WGS84",4326,1,"John Wieczorek","2020-05-12",
"(GPS)","not recorded",,1,"John Wieczorek","2020-04-24",
"(GPS, WGS 84)","WGS 84",4326,1,"John Wieczorek","2020-04-24",
"(NAD 27)","NAD27",4267,1,"John Wieczorek","2020-04-24",
"(NAD 83)","NAD83",4269,1,"John Wieczorek","2020-04-24",
"(NAD 84)","not recorded",,1,"John Wieczorek","2020-04-24",
"(NAD/WGS84)","WGS84",4326,1,"John Wieczorek","2020-05-12",
"(NAD27 CONUS)","NAD27",4267,1,"John Wieczorek","2020-04-24",
"(NAD27)","NAD27",4267,1,"John Wieczorek","2020-04-24",
"(NAD27) North American 1927","NAD27",4267,1,"John Wieczorek","2020-04-24",
"(NAD83)","NAD83",4269,1,"John Wieczorek","2017-08-25",
"(NAD83/WGS84)","WGS84",4326,1,"John Wieczorek","2020-05-12",
"(NAD83/WGS84))","WGS84",4326,1,"John Wieczorek","2020-05-12",
"(NAD83/WGS84).","WGS84",4326,1,"John Wieczorek","2020-05-12",
"(NAD83-WGS84)","WGS84",4326,1,"John Wieczorek","2020-05-12",
"(NAD84)","not recorded",,1,"John Wieczorek","2020-04-24",
"(UTM DATUM: NAD 27 CONUS)","NAD27",4267,1,"John Wieczorek","2020-05-12",
"(WGS 84 DATUM USED).","WGS84",4326,1,"John Wieczorek","2020-05-12",
"(WGS 84)","WGS 84",4326,1,"John Wieczorek","2020-04-29",
"(WGS66) World Geodetic System 1966","WGS 66",4760,1,"John Wieczorek","2020-04-29",
"(WGS72) World Geodetic System 1972","WGS 72",4322,1,"John Wieczorek","2020-04-29",
"(WGS84","WGS84",4326,1,"John Wieczorek","2020-05-12",
"(WGS84 USED).","WGS84",4326,1,"John Wieczorek","2020-05-12",
"(WGS84)","WGS 84",4326,1,"John Wieczorek","2020-04-29",
"(WGS84) World Geod","WGS 84",4326,1,"John Wieczorek","2020-04-24",
"(WGS84) World Geodetic System 1984","WGS 84",4326,1,"John Wieczorek","2020-04-29",
"(WSG 84)","WGS 84",4326,1,"John Wieczorek","2020-04-24",
".","not recorded",,1,"John Wieczorek","2020-04-24",
"/qfa84","not recorded",,1,"John Wieczorek","2020-04-24",
"?","not recorded",,1,"John Wieczorek","2017-08-25",
"?way off","not recorded",,1,"John Wieczorek","2020-04-24",
"@GS84","WGS84",4326,1,"John Wieczorek","2020-05-12",
"[ORNIS]GeodeticDatum]","not recorded",,1,"John Wieczorek","2017-08-25",
"[REDACTED]","not recorded",,1,"John Wieczorek","2020-05-12",
"[WGS 84] ca 1132 m (estimate)","WGS 84",4326,1,"John Wieczorek","2020-04-24",
"[WGS 84] ca 1157 m (estimate)","WGS 84",4326,1,"John Wieczorek","2020-04-24",
"\","not recorded",,1,"John Wieczorek","2020-05-12",
"`","not recorded",,1,"John Wieczorek","2020-04-24",
"`1q","not recorded",,1,"John Wieczorek","2020-04-30",
"=","not recorded",,1,"John Wieczorek","2020-04-24",
"± 100 m","not recorded",,1,"John Wieczorek","2020-04-24",
"±10 m","not recorded",,1,"John Wieczorek","2020-04-24",
"±100 m","not recorded",,1,"John Wieczorek","2020-04-24",
"±1000 m","not recorded",,1,"John Wieczorek","2020-04-24",
"±10m","not recorded",,1,"John Wieczorek","2020-04-24",
"0","not recorded",,1,"John Wieczorek","2020-04-24",
"0.00001","not recorded",,1,"John Wieczorek","2020-04-24",
"-0.32883","not recorded",,1,"John Wieczorek","2020-04-24",
"-0.444","not recorded",,1,"John Wieczorek","2020-04-24",
"-0.48205","not recorded",,1,"John Wieczorek","2020-04-24",
"-0.53115","not recorded",,1,"John Wieczorek","2020-04-24",
"-0.6057695","not recorded",,1,"John Wieczorek","2020-04-24",
"0.6289889","not recorded",,1,"John Wieczorek","2020-04-24",
"0.6339","not recorded",,1,"John Wieczorek","2020-04-24",
"0.7333333","not recorded",,1,"John Wieczorek","2020-04-24",
"-0.996812218","not recorded",,1,"John Wieczorek","2020-04-24",
"-0.9992","not recorded",,1,"John Wieczorek","2020-04-24",
"0588664E, 4465040N","not recorded",,1,"John Wieczorek","2020-05-12",
"0602338E, 4533089N","not recorded",,1,"John Wieczorek","2020-05-12",
"0602368E, 4532830N","not recorded",,1,"John Wieczorek","2020-05-12",
"0623918E, 4495836N","not recorded",,1,"John Wieczorek","2020-05-12",
"0731100 5178800","not recorded",,1,"John Wieczorek","2020-05-12",
"1","not recorded",,1,"John Wieczorek","2020-04-24",
"1.145875","not recorded",,1,"John Wieczorek","2020-04-24",
"1.176619","not recorded",,1,"John Wieczorek","2020-04-24",
"1.203175","not recorded",,1,"John Wieczorek","2020-04-24",
"1.253103","not recorded",,1,"John Wieczorek","2020-04-24",
"1.284692","not recorded",,1,"John Wieczorek","2020-04-24",
"-1.37898723","not recorded",,1,"John Wieczorek","2020-04-24",
"-1.5971","not recorded",,1,"John Wieczorek","2020-04-24",
"-1.7022","not recorded",,1,"John Wieczorek","2018-10-10",
"10","not recorded",,1,"John Wieczorek","2020-04-24",
"10 miles of Cartersville","not recorded",,1,"John Wieczorek","2020-04-24",
"10.03448","not recorded",,1,"John Wieczorek","2020-04-24",
"-10.06333","not recorded",,1,"John Wieczorek","2020-04-24",
"-10.0925","not recorded",,1,"John Wieczorek","2020-04-24",
"-10.10892","not recorded",,1,"John Wieczorek","2020-04-24",
"-10.12839","not recorded",,1,"John Wieczorek","2020-04-24",
"10.25088","not recorded",,1,"John Wieczorek","2020-04-24",
"10.26667","not recorded",,1,"John Wieczorek","2020-04-24",
"10.383333","not recorded",,1,"John Wieczorek","2020-04-24",
"10.42667","not recorded",,1,"John Wieczorek","2020-04-24",
"10.433333","not recorded",,1,"John Wieczorek","2020-04-24",
"-10.46667","not recorded",,1,"John Wieczorek","2020-04-24",
"10.5","not recorded",,1,"John Wieczorek","2020-04-24",
