verbatimGeodeticDatum	standardGeodeticDatum	epsg	standard	checked
'			0	1
"International spheroid"	International 1924 ellipsoid	7022	0	1
(NAD83)	NAD83	4269	0	1
(WGS 84)	WGS84	4326	0	1
(WGS66) World Geodetic System 1966	(WGS66) World Geodetic System 1966	6760	0	1
(WGS72) World Geodetic System 1972	(WGS72) World Geodetic System 1972	6322	0	1
(WGS84) World Geodetic System 1984	WGS84	4326	0	1
[ORNIS]GeodeticDatum]	not recorded		0	1
-110.854167			0	1
115.106995			0	1
153311.1			0	1
1628.192			0	1
1787.192	not recorded (forced WGS84)	6030	0	1
17938			0	1
1962 American Samoa	1962 American Samoa		0	1
2			0	1
22.211654			0	1
2267.192			0	1
3635.192			0	1
42.356157			0	1
5047			0	1
76.137987			0	1
Adams			0	1
ADG 66	AGD66	4202	0	1
Adindan	Adindan	6201	1	1
Afgooye	Afgooye	6205	1	1
AGD 66	AGD66	4202	0	1
AGD66	AGD66	4202	1	1
AGD84	AGD84	4203	1	1
Ain el Abd 1970	Ain el Abd 1970	6204	1	1
Airy 1830 ellipsoid	Airy 1830 ellipsoid	7001	1	1
American Samoa 1962	American Samoa 1962	6169	1	1
Amersfoort	Amersfoort		1	1
Angel			0	1
Anna 1 Astro 1965	Anna 1 Astro 1965	6708	1	1
Antigua Island Astro 1943	Antigua Island Astro 1943	6601	1	1
Arc 1950	Arc 1950	6209	1	1
Arc 1960	Arc 1960	6210	1	1
Ascension Island 1958	Ascension Island 1958	6712	1	1
Astro Beacon E 1945	Astro Beacon E 1945	6709	1	1
Astro DOS 71/4	Astro DOS 71/4	6710	1	1
Astro Tern Island (FRIG) 1961	Astro Tern Island (FRIG) 1961	6707	1	1
Astronomic Station No. 1 1951	Astronomic Station No. 1 1951		1	1
Astronomic Station No. 2 1951 (Truk Island)	Astronomic Station No. 2 1951 (Truk Island)		1	1
Astronomic Station Ponape (1951)	Astronomic Station Ponape (1951)		0	1
Astronomic Station Ponape 1951	Astronomic Station Ponape 1951		1	1
Astronomical Station 1952	Astronomical Station 1952	6711	1	1
AUA	AGD66	4202	0	1
Australian Geodetic 1966	AGD66	4202	0	1
Australian Geodetic Datum 1966	Australian Geodetic Datum 1966	6202	0	1
Australian Geodetic Datum 1984	Australian Geodetic Datum 1984	6203	0	1
Australian National ellipsoid	Australian National ellipsoid	7003	1	1
Ayabelle Lighthouse	Ayabelle Lighthouse	6713	1	1
Bekaa Valley 1920 (IGN)	Bekaa Valley 1920 (IGN)		1	1
Bellevue (IGN)	Bellevue (IGN)	6714	1	1
Bermuda 1957	Bermuda 1957	6216	1	1
Bessel 1841 ellipsoid	Bessel 1841 ellipsoid	7004	1	1
Bessel 1841 ellipsoid (Namibia)	Bessel 1841 ellipsoid (Namibia)	7046	1	1
BioGeomancer	WGS84	4326	0	1
Bissau	Bissau	6165	1	1
Bogota Observatory	Bogota Observatory	6218	1	1
Bukit Rimpah	Bukit Rimpah	6219	1	1
Camp Area Astro	Camp Area Astro	6715	1	1
Campo Inchauspe	Campo Inchauspe	6221	1	1
Canton Astro 1966	Canton Astro 1966	6716	1	1
Cape	Cape	6222	1	1
Cape Canaveral	Cape Canaveral	6717	1	1
Carthage	Carthage	6223	1	1
Chatham Island Astro 1971	Chatham Island Astro 1971	6672	1	1
Chua Astro	Chua Astro	6224	1	1
Clarke 1858	Clarke 1858		1	1
Clarke 1858 ellipsoid	Clarke 1858 ellipsoid	7007	1	1
Clarke 1866 ellipsoid	Clarke 1866 ellipsoid	7008	1	1
Clarke 1880 ellipsoid	Clarke 1880 ellipsoid	7034	1	1
Co-ordinate System 1937 of Estonia	Co-ordinate System 1937 of Estonia		1	1
Corrego Alegre	Corrego Alegre	6225	1	1
d			0	1
D. Hardcastle			0	1
D.Hardcastle			0	1
Dabola	Dabola		1	1
datum not recorded	not recorded (forced WGS84)	6030	0	1
Dave Lafever			0	1
Deception Island	Deception Island	6736	1	1
Decimal Degrees			0	1
Djakarta (Batavia)	Djakarta (Batavia)	6813	1	1
DL			0	1
DL &TJH			0	1
DL and TJH			0	1
DOS 1968	DOS 1968		1	1
Easter Island 1967	Easter Island 1967	6719	1	1
