verbatimGeoreferenceProtocol	standardGeoreferenceProtocol	standard	checked
 Georeferencing Quick Reference Guide Version 2012-10-08.	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
	Georeferencing Quick Reference Guide Version 2012-10-08	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
"Georeferencing Quick Reference Guide Version 2012-10-08."	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
"MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices"	VertNet Georeferencing Guidelines	0	1
[ORNIS]GeoreferenceProtocol	VertNet Georeferencing Guidelines	0	1
0914		0	1
1986 Rand McNally Road Atlas (location of mountains), TopoZone.com 1:250,000 (coordinates)		0	1
2931CC		0	1
3029CD		0	1
3030AB		0	1
3030BB		0	1
3030BC		0	1
3030DA		0	1
3318DD		0	1
3325CD		0	1
3325DA		0	1
Alexandria Digital Library Gazetteer		0	1
Alexandria Digital Library Gazetteer Server		0	1
All Topo Maps Alaska		0	1
aNIS/HerpNET/ORNIS Georeferencing Guidelines	VertNet Georeferencing Guidelines	0	1
ArcView GNIS		0	1
ArcView GNIS/DeLorme NV Gazetteer		0	1
ArcView GNS & Atlas of Namibia data		0	1
ArcView GNS data		0	1
assumed that heading was by air		0	1
atlas		0	1
AZ GNIS downloaded March 2003		0	1
BCGNIS downloaded April 2003/ SoftMap Oct 2003 (www.softmaptechnologies.com)		0	1
BCGNIS downloaded April 2003/ SoftMap Oct 2003 (www.softmaptechnologies.com)/ Topo USA 4.0 Delorme; degrees & minutes converted to dec lat/long for calculations; SoftMap uses same lat/long data		0	1
BCGNIS downloaded April 2003/ SoftMap Oct 2003 (www.softmaptechnologies.com); degrees & minutes converted to dec lat/long for calculations; SoftMap uses same lat/long data		0	1
BCGNIS downloaded April 2003/ SoftMap Oct 2003 (www.softmaptechnologies.com); degrees &amp; minutes converted to dec lat/long for calculations; SoftMap uses same lat/long data		0	1
Bigeomancer	VertNet Georeferencing Guidelines	0	1
Bigoeomancer	VertNet Georeferencing Guidelines	0	1
BioG	VertNet Georeferencing Guidelines	0	1
Biogeomancer	VertNet Georeferencing Guidelines	0	1
BioGeomancer 1.1.4	VertNet Georeferencing Guidelines	0	1
BioGeomancer 1.2.1	VertNet Georeferencing Guidelines	0	1
Biogeomancer, extent .7 mi, original location TRS		0	1
Biogeomancer, Point Radius	VertNet Georeferencing Guidelines	0	1
Biogeomancer, WGS84, extent .7 mi (for section)		0	1
BP Map of Tanzania.		0	1
Calle World Index Global Gazeteer http://www.calle.com/world/russia/index.html		0	1
Canada Center for Mapping, Energy, Mines and Resources Canada (1:250,000), 105-C		0	1
Canada Center for Mapping, Energy, Mines and Resources Canada (1:250,000), 105-D		0	1
Canada Center for Mapping, Energy, Mines and Resources Canada (1:250,000), 115-A		0	1
Canada Center for Mapping, Energy, Mines and Resources Canada (1:250,000), 115-I		0	1
Canada Center for Mapping, Energy, Mines and Resources Canada (1:250,000), 116-P		0	1
Canada Centre for Mapping. National Atlas Information Service. British Columbia. 1990. 1:2,000,000		0	1
Canada. Surveys and Mapping Branch. National topographic system 1:50,000		0	1
Canada. Surveys and Mapping Branch. National topographic system 1:50,000; degrees &amp; minutes converted to dec lat/long for calculations; SoftMap uses same lat/long data		0	1
Canadian Centre for mapping, National Resources Canada. Series 72-H, Edition 4.		0	1
Canadian Centre for mapping, National Resources Canada. Series 72-O, Edition 4.		0	1
Canadian Geonames Gazetteer		0	1
Canadian Geonet Gazetteer		0	1
Census 1992 TIGER/Line Data		0	1
Census 2000 TIGER/Line Data		0	1
Collector's notation		0	1
Colorado RGIS		0	1
coordinates approximated from m		0	1
De Lorme Topo USA		0	1
Decimal degrees		0	1
DeLorme Topo  USA 		0	1
DeLorme Topo USA		0	1
DeLorme Topo USA 6.0		0	1
DeLorme Topo USA 6.1		0	1
Dereferencing Quick Reference Guide Version 2012-10-08	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Dipolog map (PCGS 2538), published by the Philippine Coast and Geodetic Survey, ed. 3, Mar. 1983.		0	1
DMS-1		0	1
DMS-2		0	1
EDB		0	1
EDB-M1		0	1
EDG-M2		0	1
Energy, Mine and Natural Resources Canada 1:50,000		0	1
Energy, Mines and Resources Canada, Series A751, Westport, 31C09, 1:50,000, Edition 6, 1994		0	1
eoreferencing Quick Reference Guide Version 2012-10-08	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
estimation		0	1
extent .25 mi, WGS84, Google Maos		0	1
extent .25 mi, WGS84, Google Maps		0	1
field notes		0	1
FMNH catalog		0	1
from SpecLocality		0	1
G!		0	1
G. H. Swynnerton, F.Z.S., A Check List of the Land Mammals of the Tanganyika Territory and the Zanzibar Protectorate, Journal of the East Africa Natural History Society, 1950. Vol. 20, No. 6 & 7 (90).		0	1
G1		0	1
G2		0	1
Garmin		0	1
gazetteer		0	1
Geographical Survey Institute of Japan (GSIJ) 1:25,000 Topographic Maps Web Browsing System, 2000 (http://mapbrowse.gsi.go.jp/mapsearch.html)		0	1
GEOLocage		0	1
GEOLocate		0	1
Geological Survey of Canada : Mineral Map of British Columbia. 1951. 1:1,267,200		0	1
GeoNet Name Server gazetteer		0	1
Georeeferencing Quick Reference Guide Version 2012-10-08.	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeferecning Quick Reference Guide Version 2012-10-08.	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georefereincing Quick Reference Guide Version 2012-10-08.	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeference Quick Reference Guide Verion 2012-10-08	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeference Quick Reference Guide Version 2012-10-08	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeference Quick Reference Guide Version 2012-10-08.	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeference Quick Reference Guide Version 2012-10-12	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeference Quick Reference Guide Version2012-10-08	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeferenced Georeferencing Quick Reference Guide Version 2012-10-08	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeferencing  Quick Reference Guide Version 2012-10-08	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeferencing Guidelines Version 2012-10-08	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeferencing Quick Guide 2012-10-08	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeferencing Quick Guide Version 2012-10-08	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeferencing Quick Guide Version 2012-10-17	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeferencing Quick Guide Version 2012-11-13	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeferencing Quick Referance Guide Version 2012-10-08	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeferencing Quick Reference Guide 2012-10-08	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeferencing Quick Reference Guide Version 12-10-08	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeferencing Quick Reference Guide Version 2012-	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeferencing Quick Reference Guide Version 2012.10-08	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeferencing Quick Reference Guide Version 2012-08-10	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeferencing Quick Reference Guide Version 2012-10-08	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeferencing Quick Reference Guide Version 2012-10-08, Historical map of Stockton (1897)	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
Georeferencing Quick Reference Guide Version 2012-10-08, http://www.geographic.org/geographic_names/name.php?uni=-3321065&fid=4133&c=malaysia	Georeferencing Quick Reference Guide Version 2012-10-08	0	1
