verbatimGeoreferenceVerificationStatus	standardGeoreferenceVerificationStatus	standard	checked
'	requires verification	0	1
	Lindsey Mercer	verified by curator	0	1
[ORNIS]GeoreferenceVerificationS	requires verification	0	1
`	requires verification	0	1
7	requires verification	0	1
c hecked, kc	verified by curator	0	1
check KC	verified by curator	0	1
checked	verified by curator	0	1
checked  by KC	verified by curator	0	1
checked by collector	verified by collector	0	1
checked by curator	verified by curator	0	1
checked by KC	verified by curator	0	1
checked DEK	verified by curator	0	1
checked DEK, KC	verified by curator	0	1
checked JLW	verified by curator	0	1
checked KC	verified by curator	0	1
checked rc	verified by curator	0	1
checked RS	verified by curator	0	1
checked RS & KC	verified by curator	0	1
checked RS, KC	verified by curator	0	1
checked, JLW	verified by curator	0	1
checked, kc	verified by curator	0	1
checked, RS	verified by curator	0	1
checVerified by locality matchup	verified by curator	0	1
CoGe_corrected_2015-02-04	verified by curator	0	1
CoGe_skipped_2015-02-04	requires verification	0	1
collector verified	verified by collector	0	1
collector's input required	requires verification	0	1
curator verified	verified by curator	0	1
e=requires verification	requires verification	0	1
from BioGeomancer	requires verification	0	1
gVS		0	1
need verification	requires verification	0	1
Needs georeferencing		0	1
Needs georefrencing		0	1
needs validation	requires verification	0	1
needs verification	requires verification	0	1
no	requires verification	0	1
not georeferenced		0	1
not recorded	requires verification	0	1
not veridied	requires verification	0	1
not verified	requires verification	0	1
ORNIS georef data exists but has	requires verification	0	1
rchecked RS	verified by curator	0	1
Rebecca Gridley	verified by curator	0	1
requchecked DEK	verified by curator	0	1
Requires input	requires verification	0	1
requires verification	requires verification	1	1
requires verrification	requires verification	0	1
requres verification	requires verification	0	1
Tyner, Megan	verified by curator	0	1
unavailable	requires verification	0	1
unverfied	requires verification	0	1
unverifed	requires verification	0	1
unverified	requires verification	0	1
unverrifed	requires verification	0	1
unverrified	requires verification	0	1
unverrrified	requires verification	0	1
Vchecked, kc	verified by curator	0	1
verefied	verified by curator	0	1
verfied	verified by curator	0	1
verfied by kc	verified by curator	0	1
Verifed	verified by curator	0	1
verifed by locality matchup	verified by curator	0	1
verification required	requires verification	0	1
Verified	verified by curator	0	1
Verified 20030729	verified by curator	0	1
Verified by Allen Chartier	verified by curator	0	1
Verified by Collection Manager	verified by curator	0	1
verified by collector	verified by collector	1	1
verified by collector APR 2007	verified by collector	0	1
Verified by contributor	requires verification	0	1
verified by curator	verified by curator	1	1
Verified by data contributor	requires verification	0	1
Verified by data custodian	verified by curator	0	1
verified by institution	verified by curator	0	1
verified by kc	verified by curator	0	1
verified by locality lookup	verified by curator	0	1
verified by locality matchp	verified by curator	0	1
Verified by locality matchup	verified by curator	0	1
Verified by Match	verified by curator	0	1
Verified by Rene	verified by curator	0	1
verified by staff	verified by curator	0	1
verified by volunteer	requires verification	0	1
verified JLW	verified by curator	0	1
verified RS	verified by curator	0	1
verified, 20081023	verified by curator	0	1
verified, kc	verified by curator	0	1
verifiied	verified by curator	0	1
WGS84	requires verification	0	1
Y	verified by curator	0	1
