"verbatimIdentificationQualifier","standardIdentificationQualifier","uri","checked","opinionBy","opinionDate"
" B1001 TYPE of Pachycephala rufiventris minor, Zietz, 1914 (see SAOA 1(1):15",,,1,"John Wieczorek","2017-08-25"
" n. sp.","sp. nov.",,1,"John Wieczorek","2017-10-27"
" sp.","sp.",,1,"John Wieczorek","2017-08-25"
" SYNTYPE of Rhipidura mayi, Ashby, 1911 (see Emu 11:41)",,,1,"John Wieczorek","2017-08-25"
"""",,,1,"John Wieczorek","2017-08-25"
"""sp. 1""","sp.",,1,"John Wieczorek","2017-08-25"
"""sp. 2""","sp.",,1,"John Wieczorek","2017-08-25"
"(=Z. cornutus)",,,1,"John Wieczorek","2017-08-25"
"(Achirostomias)  n. sp.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"(Alburnops) sp.","sp.",,1,"John Wieczorek","2017-08-25"
"(Alburnops) sp. longirostris","sp.",,1,"John Wieczorek","2017-08-25"
"(Alvordius) sp.","sp.",,1,"John Wieczorek","2017-08-25"
"(aurulenta subsp.)","ssp.",,1,"John Wieczorek","2017-08-25"
"(Biradiostomias) sp.","sp.",,1,"John Wieczorek","2017-08-25"
"(budytes ?) sp.","sp.",,1,"John Wieczorek","2017-08-25"
"(Catonotus) sp.","sp.",,1,"John Wieczorek","2017-08-25"
"(cyprinella) sp.","sp.",,1,"John Wieczorek","2017-08-25"
"(Doration) sp.","sp.",,1,"John Wieczorek","2017-08-25"
"(Duméril & Bibron, 1839)",,,1,"John Wieczorek","2017-08-25"
"(Duméril & Bibron, 1841)",,,1,"John Wieczorek","2017-08-25"
"(Duméril, 1853)",,,1,"John Wieczorek","2017-08-25"
"(Etheostoma) sp.","sp.",,1,"John Wieczorek","2017-08-25"
"(gyroloides subsp.)","ssp.",,1,"John Wieczorek","2017-08-25"
"(Hapclonus) sp.","sp.",,1,"John Wieczorek","2017-08-25"
"(Loricariichthys)sp.","sp.",,1,"John Wieczorek","2017-08-25"
"(Nanostoma) sp.","sp.",,1,"John Wieczorek","2017-08-25"
"(Nominostomias ) n. sp.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"(Nominostomias) n. sp. A","sp. nov.",,1,"John Wieczorek","2017-08-25"
"(Nominostomias) n. sp. B","sp. nov.",,1,"John Wieczorek","2017-08-25"
"(Nominostomias) sp.","sp.",,1,"John Wieczorek","2017-08-25"
"(Nominostomias) sp. #1","sp.",,1,"John Wieczorek","2017-08-25"
"(Nominostomias) sp. (#2)","sp.",,1,"John Wieczorek","2017-08-25"
"(probably)","in question",,1,"John Wieczorek","2017-08-25"
