verbatimIdentificationQualifier	standardIdentificationQualifier	standard	checked
 B1001 TYPE of Pachycephala rufiventris minor, Zietz, 1914 (see SAOA 1(1):15		0	1
 sp.	sp.	0	1
 SYNTYPE of Rhipidura mayi, Ashby, 1911 (see Emu 11:41)		0	1
(=Z. cornutus)		0	1
(Achirostomias)  n. sp.	sp. nov.	0	1
(Alburnops) sp.	sp.	0	1
(Alburnops) sp. longirostris	sp.	0	1
(Alvordius) sp.	sp.	0	1
(aurulenta subsp.)	ssp.	0	1
(Biradiostomias) sp.	sp.	0	1
(budytes ?) sp.	sp.	0	1
(Catonotus) sp.	sp.	0	1
(cyprinella) sp.	sp.	0	1
(Doration) sp.	sp.	0	1
(Etheostoma) sp.	sp.	0	1
(gyroloides subsp.)	ssp.	0	1
(Hapclonus) sp.	sp.	0	1
(Loricariichthys)sp.	sp.	0	1
(Nanostoma) sp.	sp.	0	1
(Nominostomias ) n. sp.	sp. nov.	0	1
(Nominostomias) n. sp. A	sp. nov.	0	1
(Nominostomias) n. sp. B	sp. nov.	0	1
(Nominostomias) sp.	sp.	0	1
(Nominostomias) sp. #1	sp.	0	1
(Nominostomias) sp. (#2)	sp.	0	1
(probably)	in question	0	1
(Pteronotropist) sp.	sp.	0	1
(s.s.) sp.	sp.	0	1
(slhumops) sp. longinostris	sp.	0	1
(sp. nov)	sp. nov.	0	1
(sp.?)	sp.	0	1
(Ulocentra) sp.	sp.	0	1
*specimen lost		0	1
?	in question	0	1
? class	class in question	0	1
? class ?id	class in question	0	1
? fam	family in question	0	1
? fam & genus	family, genus in question	0	1
? fam order	order, family in question	0	1
? fam, ? gen	family, genus in question	0	1
? family	family in question	0	1
? fm	family in question	0	1
? gen	genus in question	0	1
? gen & sp.	genus, species in question	0	1
? gen ? sp	genus, species in question	0	1
? gen ?sp	genus, species in question	0	1
? gen.	genus in question	0	1
? gen. & sp.	genus, species in question	0	1
? gen+fam	family, genus in question	0	1
? gen+sp	genus, species in question	0	1
? genus	genus in question	0	1
? GN	genus in question	0	1
? id	id in question	0	1
? ord	order in question	0	1
? order	order in question	0	1
? order ? fam	order, family in question	0	1
? order ? family	order, family in question	0	1
? order ?fam	order, family in question	0	1
? order, fam	order, family in question	0	1
? order; tent. gen&sp.	order in question	0	1
? ordr	order in question	0	1
? ordr ? fam	order, family in question	0	1
? other id	id in question	0	1
? otherid	id in question	0	1
? sp	species in question	0	1
? sp.	species in question	0	1
? sp.; not available to GPW	species in question	0	1
? species	species in question	0	1
? subfam	subfamily in question	0	1
? subfamily	subfamily in question	0	1
? taxon	id in question	0	1
?, ?genus	genus in question	0	1
?, ?genus, ?sp	genus, species in question	0	1
?, ?sp	species in question	0	1
?, ?sp, worn	species in question	0	1
?, ?sp.	species in question	0	1
?, cf sp	species in question	0	1
?, worn	species in question	0	1
?cl	class in question	0	1
?class	class in question	0	1
?ele	id in question	0	1
?ele (DP4/), ?sp	species in question	0	1
?fam	family in question	0	1
?fam ?gen	family, genus in question	0	1
?family	family in question	0	1
?fm	family in question	0	1
?formosa?thomps.; (Weil 2004)	id in question	0	1
?ge	genus in question	0	1
?gen	genus in question	0	1
?gen ?sp	genus, species in question	0	1
?gen.	genus in question	0	1
?gen; L > 4mm (Weil 2004)	genus in question	0	1
?genus	genus in question	0	1
?genus, ?sp	genus, species in question	0	1
?genus, big	genus in question	0	1
?gn	genus in question	0	1
?gn ?sp	genus, species in question	0	1
?gn?sp	genus, species in question	0	1
?ord?fm	order, family in question	0	1
?order	order in question	0	1
?order ?gen	genus in question	0	1
?other id	id in question	0	1
?sp	species in question	0	1
?sp ?trochuus	species in question	0	1
?sp, ?genus	genus, species in question	0	1
?sp, big	species in question	0	1
?sp, small	species in question	0	1
?sp, worn	species in question	0	1
?sp.	species in question	0	1
?sp.; not available to GPW	species in question	0	1
?sp; big	species in question	0	1
?sp; M. seminoensis or E. browni	species in question	0	1
?sp; not available to GPW	species in question	0	1
?sp; small	species in question	0	1
?sp; very big	species in question	0	1
?species	species in question	0	1
?subfam	subfamily in question	0	1
[n. gen., n. sp.]	gen. nov.	0	1
`		0	1
{billsi n. sp.}	sp. nov.	0	1
{chilala n. sp.}	sp. nov.	0	1
{Congo n. sp.}	sp. nov.	0	1
{kalungwishi n. sp.}	sp. nov.	0	1
{L. Kyogo n. sp.}	sp. nov.	0	1
{Malagarasi n. sp.}	sp. nov.	0	1
{Mangula n. sp.}	sp. nov.	0	1
{Mottled n. sp. 2.}	sp. nov.	0	1
{ntumbachushi n. sp.}	sp. nov.	0	1
{Ruiki n. sp.}	sp. nov.	0	1
{Ruvu n. sp.}	sp. nov.	0	1
{Ruzizi n. sp.}	sp. nov.	0	1
{ubangi 1 n. sp.}	sp. nov.	0	1
{zakoni n. sp.}	sp. nov.	0	1
1(1):15. W.D. Dodd No. 559.		0	1
14.5 in. s.l.		0	1
155 m.m. s.l.		0	1
180mm s.l., (dried)		0	1
190 m.m. s.l.		0	1
200 m.m. s.l.		0	1
212 m.m. s.l.		0	1
215 m.m. s.l.		0	1
220 m.m. s.l.		0	1
225 m.m. s.l.		0	1
234 m.m. s.l.		0	1
243 m.m. s.l.		0	1
250 m.m. s.l.		0	1
255 m.m. s.l.		0	1
258 m.m. s.l.		0	1
260 m.m. s.l.		0	1
262 m.m. s.l.		0	1
294 m.m. s.l.		0	1
300 m.m. s.l.		0	1
310mm s.l.,Head=78mm		0	1
315mm s.l.,Head=84mm		0	1
344 m.m. s.l.		0	1
370 m.m. s.l.		0	1
4 SAMA paratypes (numbers unknown) missing		0	1
400 m.m. t.l.		0	1
435 m.m. s.l.		0	1
44.5 c.m. t.l.		0	1
451 m.m. s.l.		0	1
480 m.m. s.l.		0	1
490 m.m. t.l.		0	1
670 m.m. s.l.		0	1
740m.m.s.l.tip of tail ab		0	1
aegyptiaca X sp.	aegyptiaca X sp.	0	1
aff sp	aff.	0	1
aff.	aff.	1	1
Along with B548 & B549 SYNTYPE of Sericornis maculatus houtmanensis, Zietz, 1921, (see SAOA 6(2): 44-5). W.D. Dodd No. 119.		0	1
americana or crassidens	species in question	0	1
argyropleuron sp. 1	sp. nov.	0	1
argyropleuron sp. 2	sp. nov.	0	1
Arvicolinae		0	1
ash.sp.a	sp.	0	1
ash.sp.b	sp.	0	1
ash.sp.c	sp.	0	1
asper  n. gen,	gen. nov.	0	1
auriceps large black tailed sp.	sp.	0	1
B sp.	sp.	0	1
B1336 HOLOTYPE of Aprosmictus erythropterus melvillensis, Zietz, 1914 (see SAOA 1(1):14		0	1
B1365 TYPE SPECIMEN of Chalcophaps chrysochlora melvillensis, Zietz, 1914 (see SAOA 1(1):12). W.D. Dodd No. 630.		0	1
B2237 HOLOTYPE of Psephotus haematonotus caeruleus, Condon, 1941 (see Records SAM 7:141)		0	1
B2303 TYPE of Climacteris waitei,White, 1917 (see Emu 16:168-9); B2304 PARATYPE of Climacteris waitei, White, 1917 (see Emu 16:168-9)		0	1
B4506 HOLOTYPE of Zosterops westernensis flindersensis, Ashby, 1925 (see Emu 25:117)		0	1
B547,  B548 & B549 SYNTYPE of Sericornis maculatus houtmanensis, Zietz, 1921, (see SAOA 6(2): 44-5). W.D. Dodd No. 119.		0	1
B547, B548 & B549 SYNTYPE of Sericornis maculatus houtmanensis, Zietz, 1921, (see SAOA 6(2): 44-5). W.D. Dodd No. 119.		0	1
B5669 HOLOTYPE of Calamanthus fuliginosus suttoni, Condon, 1951 (see SAOA 20:51)		0	1
B5673  HOLOTYPE of Cinclosoma castanotusm morgani, Condon, 1951 (see SAOA 20:42)		0	1
baileyi n. sp.	sp. nov.	0	1
balsodichthys X sp.	balsodichthys X sp.	0	1
BELLENDENENSIS N.SP.	sp. nov.	0	1
big		0	1
broken		0	1
Bufo sp.	sp.	0	1
c		0	1
C sp.1	sp.	0	1
C. sp. X G. nycthemerus	C. sp. X G. nycthemerus	0	1
C. sp. X P. colchicus	C. sp. X P. colchicus	0	1
c.f. canadensis	cf. canadensis	0	1
c.f. Chaetodipus	cf. Chaetodipus	0	1
c.f. cinerea	cf. cinerea	0	1
c.f. Marmota flaviventris	cf. Marmota flaviventris	0	1
c.f. Neotoma	cf. Neotoma	0	1
c.f. Ovis c.f. canadensis	cf. canadensis	0	1
c.f. Spilogale	cf. Spilogale	0	1
c.f. tigris	cf. tigris	0	1
cactorum sp. nov.	sp. nov.	0	1
cf	cf.	0	1
cf Chaetodipus	cf. Chaetodipus	0	1
cf cinerea	cf. cinerea	0	1
cf cinereoargenteus	cf. cinereoargenteus	0	1
cf class	cf.	0	1
cf fam	cf.	0	1
cf fam cf gen	cf.	0	1
cf family	cf.	0	1
cf flaviventris	cf. flaviventris	0	1
cf fm	cf.	0	1
cf gen	cf.	0	1
cf gen + sp	cf.	0	1
cf gen cf sp	cf.	0	1
cf gen, ?sp	cf.	0	1
cf gen+sp	cf.	0	1
cf genus	cf.	0	1
cf genus and species	cf.	0	1
cf gn	cf.	0	1
cf gn cf sp	cf.	0	1
cf order	cf.	0	1
cf other_id	cf.	0	1
cf otherid	cf.	0	1
cf Ovis canadensis	cf. Ovis canadensis	0	1
cf Rhabdognathus rarus.	cf. Rhabdognathus rarus	0	1
cf sp	cf.	0	1
cf sp cf gn	cf.	0	1
cf sp, ?genus, worn	cf.	0	1
cf sp, very worn	cf.	0	1
cf sp, worn	cf.	0	1
cf sp.	cf.	0	1
cf sp; ?genus	cf.	0	1
cf species	cf.	0	1
cf Spilogale	cf. Spilogale	0	1
cf subfam	cf.	0	1
cf suborder	cf.	0	1
cf subsp	cf.	0	1
cf subspecies	cf.	0	1
cf, so,	cf.	0	1
cf.	cf.	0	1
cf. A. nobilis	cf. nobilis	0	1
cf. Aetiocetidae	cf. Aetiocetidae	0	1
cf. buroletti	cf. buroletti	0	1
cf. C. occidentalis	cf. occidentalis	0	1
cf. fam.	cf.	0	1
cf. family	cf.	0	1
cf. family, cf. genus	cf.	0	1
cf. family, ge. cf.	cf.	0	1
cf. family, subfamily	cf.	0	1
cf. G. moringa	cf. moringa	0	1
cf. gen	cf.	0	1
cf. gen.	cf.	0	1
cf. genus	cf.	0	1
cf. moretonensis (sp. b)	cf. moretonensis	0	1
cf. n. sp. F of Klapper	cf. n. sp. F of Klapper	0	1
cf. order	cf.	0	1
cf. other_id	cf.	0	1
cf. otherid	cf.	0	1
cf. sp	cf.	0	1
cf. sp, spp	cf.	0	1
cf. sp.	cf.	0	1
cf. sp., ?sp.	cf.	0	1
cf. sp.; worn	cf.	0	1
cf. species	cf.	0	1
cf. subfamily	cf.	0	1
cf.gn	cf.	0	1
cf.gn sp	cf.	0	1
cf.sp	cf.	0	1
cfsp	cf.	0	1
Chiasmocleis sp.	sp.	0	1
chrysocephala s	sp. nov.	0	1
chrysocephalus X sp.	chrysocephalus X sp.	0	1
cl ?	class in question	0	1
cl ? ;or ?	class, order question in order	0	1
cl cf	class in question	0	1
CL?	class in question	0	1
class ?	class in question	0	1
class cf	cf.	0	1
colchicus mongolicus X colchicus ssp.	colchicus mongolicus X colchicus ssp.	0	1
Cryptodira		0	1
curiosus sp. no	sp. nov.	0	1
cyanellus x L. sp.	cyanellus x L. sp.	0	1
cyanellus x sp.	cyanellus X sp.	0	1
DARWINI N.SP.	sp. nov.	0	1
dfh  sp. 18	sp.	0	1
dfh  sp. 34	sp.	0	1
dfh  sp. 36	sp.	0	1
dfh n.sp.	sp.	0	1
dfh sp. 12	sp.	0	1
dfh sp. 36	sp.	0	1
dfh sp.16	sp.	0	1
dfh sp.17	sp.	0	1
dfh sp.4	sp.	0	1
dfh sp.6	sp.	0	1
dfh sp.8	sp.	0	1
dfh sp.9	sp.	0	1
egregia or sp. nov.	species in question	0	1
EmydidC		0	1
Erinaceoidea		0	1
Eryops also		0	1
Euryodus also		0	1
fa ?	family in question	0	1
fa ? ;ge ?	family, genus in question	0	1
fa ? ;ge ? ;sp ?	family, genus, species in question	0	1
fa ? ;ge cf	cf.	0	1
fa ? ;oi ?	family in question	0	1
fa ? ;sp cf	cf.	0	1
fa cf	cf.	0	1
fa cf;ge ?	cf.	0	1
fam ?	family in question	0	1
Fam. ?	family in question	0	1
Female, 505m.m. s.l.		0	1
female?		0	1
fl=80m.m.		0	1
fm ?	family in question	0	1
fm cf	cf.	0	1
FM GN ?	family, genus in question	0	1
FM?	family in question	0	1
fusca n. sp.	sp. nov.	0	1
galbula ssp. bullockii	ssp.	0	1
gardineri n.sp.	sp. nov.	0	1
ge ?	genus in question	0	1
ge ? ;oi ?	genus in question	0	1
ge ? ;sp ?	genus, species in question	0	1
ge ? ;sp cf	genus, species in question	0	1
ge ? or Desmostylus?	genus in question	0	1
ge cf	cf.	0	1
ge cf.	cf.	0	1
ge cf;sp ?	cf.	0	1
ge cf;sp cf	cf.	0	1
ge nr	cf.	0	1
ge. cf.	cf.	0	1
ge. cf. sp. cf.	cf.	0	1
ge?	genus in question	0	1
gen	genus in question	0	1
gen cf.	cf.	0	1
gen in quotes	genus in question	0	1
gen indet	gen. indet.	0	1
gen nr	genus in question	0	1
gen. ?	genus in question	0	1
Gen. A sp. A	Gen. A sp. A	0	1
gen. A, sp. A	gen. A, sp. A	0	1
gen?	genus in question	0	1
genus ?	genus in question	0	1
Genus and Species uncertain, Family identified		0	1
Genus and Species unknown, Family identified		0	1
Genus identified, Species uncertain		0	1
Genus identified, Species unknown		0	1
genus in question	genus in question	0	1
genus in question, species in question	genus in question, species in question	1	1
genus in quotes	genus in question	0	1
genus in quotes and ?	genus in question	0	1
genus in quotes, cf gen	cf.	0	1
genus in quotes, cf sp	cf.	0	1
genus in quotes. ? Sp	genus, species in question	0	1
genus questioned	genus in question	1	1
Genus uncertain, Species unknown, Family identified		0	1
genus, ?sp	genus, species in question	0	1
Genus, Species and Family uncertain		0	1
gn ?	genus in question	0	1
gn ? sp ?	genus, species in question	0	1
gn cf	cf.	0	1
gn cf sg cf	cf.	0	1
gn cf sp cf	cf.	0	1
gn?	genus in question	0	1
gs ?	genus in question	0	1
gs cf	cf.	0	1
gulosus X sp.	gulosus X sp.	0	1
haematodus x Eos sp.	haematodus x Eos sp.	0	1
Holotype larger of 2 specimens in jar		0	1
HOLOTYPE of Aprosmictus erythropterus melvillensis, Zietz, 1914 (see SAOA 1(1):14		0	1
HOLOTYPE of Astur clarus robustus, Zietz, 1914; grey phase, see SAOA 1(1):13. W.D. Dodd No. 574.		0	1
HOLOTYPE of Chrysococcyx minutillus melvillensis, Zietz, 1914 (see SAOA 1(1):14. W.D. Dodd No. 666).		0	1
Holotype SAMA?? 300mm		0	1
Hyla sp.	sp.	0	1
I. sp. b	sp.	0	1
Identified		0	1
incertae sedis	incertae sedis	1	1
indet sp.	sp.	0	1
indet. sp.	sp.	0	1
indet. sp. 1	sp.	0	1
inornatus x sp. Uniparens		0	1
isolepis sp.1	sp.	0	1
isolepis sp.2	sp.	0	1
isp.	isp.	1	1
janitor n. sp.	sp. nov.	0	1
juvenile		0	1
juvenile?		0	1
kobelti n. sp.	sp. nov.	0	1
L=170m.m.		0	1
large		0	1
large sp.	sp.	0	1
Leposternon sp.	sp.	0	1
leuciodus X sp.	leuciodus X sp.	0	1
LJH magnolia sp.1	LJH magnolia sp.1	0	1
