"Waterbody","IslandGroup","Island"
,,"Anastasia"
,,"Avery"
,,"Bellows"
,,"Bird Rock"
,,"Captree"
,,"Cedar"
,,"Cockburn"
,,"De Horsey"
,,"Disko"
,,"Duck"
,,"Elrington"
,,"Emerald Isle"
,,"Evans (Bishop Rock)"
,,"Fidalgo"
,,"Fir"
,,"Flat Island"
,,"Goeree-Overflakkee"
,,"Greeenland"
,,"Green"
,,"Greenland"
,,"Guemes"
,,"Harker's"
,,"Hatteras"
,,"Ihla Grande"
,,"Isle of Sarkardlet"
,,"Jekyll"
,,"Little Galoo"
,,"Long Island"
,,"Longboat Key"
,,"Madagascar"
,,"Magdalena"
,,"Marion"
,,"Martha's Vineyard"
,,"Merrit"
,,"Midway"
,,"Monkey"
,,"Mud"
,,"New Guinea"
,,"Pelican"
,,"Phillip Island"
,,"Princess Royal"
,,"Radio"
,,"Ransom Point"
,,"Rock"
,,"Rothurst Island"
,,"Saint Helena"
,,"Samish"
,,"Sanibel"
,,"Shell"
,,"Shelter"
,,"Sumatra"
,,"Tasmania"
,,"Tholen"
,,"Tierra del Fuego"
,,"Treasure Island"
,,"Vancouver Island"
,,"Wainwright"
,,"Walpole"
,,"Whale"
,,"White Marsh"
,,"Willard"
,"Aasiaat Archipelago","Aasiaat"
,"Arquipélago do Marajó","Ilha de Marajó"
,"Berkeley Islands","Seymour"
,"British Isles","Hexham"
,"British Isles","Tiree"
,"Canadian Arctic Archipelago","Baffin"
,"Canadian Arctic Archipelago","Banks"
,"Canadian Arctic Archipelago","Southampton"
,"Canadian Arctic Archipelago","Victoria"
,"Islas de los Timbales","Timbales"
,"Long Island and New York City barrier Islands","East Fire Island"
,"Long Island and New York City barrier Islands","Fire Island"
,"Maritime Southeast Asia","New Guinea"
,"Queen Elizabeth Islands","Baillie-Hamilton"
,"Queen Elizabeth Islands","Bathurst"
,"Queen Elizabeth Islands","Cornwallis"
,"Queen Elizabeth Islands","Ellesmere"
,"San Juan Islands","Lopez"
,"San Juan Islands","Orcas"
,"San Juan Islands","San Juan"
,"San Juan Islands","Shaw"
,"San Juan Islands","Waldron"
,"Singapore","Palawan"
,"Singapore","Salu"
,"Singapore","Singapore"
,"Upernavik Archipelago","Kittorsaq"
,"Visayas","Negros"
"Adriatic Sea",,"Korčula"
"Adriatic Sea","North-Dalmation Archipelago","Pag"
"Aegean Sea",,"Falconera Island"
"Aegean Sea","Dodecanese","Kos"
"Amazonas",,"Caviana"
"Amazonas","Arquipélago do Marajó","Marajó"
"Aransas Bay",,"Lydia Ann"
"Arctic Ocean","Sverdrup Islands","Axel Heiberg"
"Back Bay",,"Cedar"
"Baffin Bay",,"Devon"
"Bahía Amortajada",,"San José"
"Bahía de los Angeles","Coronados","Coronado Norte"
"Bahía de los Angeles","Coronados","Pilón de Azúcar"
"Baltic Sea",,"Bornholm"
"Baltic Sea",,"Fehmarn"
"Baltic Sea",,"Lolland"
"Baltic Sea",,"Öland"
"Barents Sea","Svalbard","Bjørnøya"
"Barents Sea","Svalbard","Spitzbergen"
"Barkley Sound",,"Vancouver"
"Bay of Bengal","Andaman Islands","Middle Andaman"
"Bay of Bengal","Andaman Islands","Narcondam"
"Bay of Bengal","Andaman Islands","North Andaman"
"Bay of Bengal","Andaman Islands","North Andaman Island"
"Bay of Bengal","Andaman Islands","South Andaman"
"Bay of Bengal","Nicobar Islands","Car Nicobar"
"Bay of Bengal","Nicobar Islands","Great Nicobar"
"Bay of Fundy","Grand Manan Archipelago","Grand Manan"
"Bay of Fundy","Grand Manan Archipelago","Hay"
"Bay of Fundy","Grand Manan Archipelago","Kent"
"Bay of Fundy","Grand Manan Archipelago","Sheep"
"Bay of Fundy","Grand Manan Archipelago","Wood"
"Bay of Isles",,"Knight"
"Bay of Isles","South Georgia Islands","South Georgia"
"Beagle Channel","Archipiélago de Tierra del Fuego","Londonderry"
"Beagle Channel","Tierra del Fuego","Gable"
"Beaufort Sea",,"Cooper"
"Beaufort Sea",,"Herschel Island"
"Beaufort Sea",,"Langley Island"
"Beaufort Sea",,"Richards"
"Beaufort Sea",,"Richards Island"
"Behm Canal",,"Grant"
"Bellingham Bay",,"Eliza"
"Bering Sea",,"Kigigak"
"Bering Sea",,"King"
"Bering Sea",,"Nelson"
"Bering Sea",,"Nunivak"
"Bering Sea",,"Punuk"
"Bering Sea",,"Saint Lawrence"
"Bering Sea",,"Saint Matthew"
"Bering Sea",,"Seal"
"Bering Sea",,"Sledge"
"Bering Sea","Aleutian Islands","Igitkin"
"Bering Sea","Aleutian Islands","Ogliuga"
"Bering Sea","Pribilof Islands","Otter"
"Bering Sea","Pribilof Islands","Saint George"
"Bering Sea","Pribilof Islands","Saint Paul"
"Bering Sea","Pribilof Islands","Walrus"
"Bering Strait","Diomede Islands","Big Diomede"
"Bering Strait","Diomede Islands","Little Diomede"
