Waterbody	IslandGroup	Island
		Alexander
		Anticosti
		Aquidneck
		Artificial
		Artificial Island
		Avery
		Baillie-Hamilton
		Bakers
		Banty
		Barbonis
		Barren
		Belle
		Bellows
		Bermuda
		Big
		Billys
		Bird
		Bird Rock
		Borneo
		Boscawen
		Bread and Cheese
		Burdell
		Calumet
		Campbell
		Canyon
		Cape Breton
		Captree
		Carroll
		Cat
		Cedar
		Cedros
		Center
		Chañaral
		Channel
		Chimon
		Cobblestone
		Cochrane's
		Cockburn
		Contramaestre
		Cooper's
		Copper
		Cove
		Craig
		Cross
		Cypress
		Dauphin
		Davis
		De Horsey
		Dewees
		Disko
		Doame
		Dog
		Drayton
		Duck
		Duke of York
		East Timbalier
		Egg
		Eider
		Emerald Isle
		Fairfield
		Fidalgo
		Fir
		Fire
		Fisherman's
		Flat
		Flood
		Galveston
		Gillham
		Goeree-Overflakkee
		Goose
		Gorgona
		Grand
		Grand Isle
		Grassy
		Greeenland
		Green
		Greenland
		Griffith
		Guadalupe
		Guadelupe
		Harker's
		Heather
		Herschel
		Hilton Head
		Hispaniola
		Hog
		Hokkaido
		Honshu
		Hutchinson
		Hypluxo
		Ihla Grande
		Ilha de Maracá
		Ilha do Cardoso
		Isla de Pascua
		Isla Victoria
		Isle of Sarkardlet
		Itaparica
		James
		Jekyll
		Jones
		Jupiter
		Kiger
		Knotts
		Kuiu
		Kyushu
		Laguna Dam
		Little Galoo
		Little Land
		Little Pine
		Long
		Long Island
		Longboat Key
		Macaca
		Madagascar
		Magdalena
		Marion
		Marsh
		Merritt
		Mocha
		Mohawk
		Monkey
		Moosehead Treasure
		Mud
		Mustang
		New Guinea
		Nonamesset
		Nonsuch
		Norton
		Ocracoke
		Ono
		Otter
		Pelee
		Point Lobos
		Port George
		Prince Edward
		Princess Royal
		Pupuya
		Radio
		Ransom Point
		Rattlesnake
		Riverside
		Rock
		Sado
		Saint Helena
		Saint James
		Sakhalin
		Salicornia
		Samish
		San Esteban
		San José
		Sandy Hook
		Santa Rosa
		Santo
		Seal
		Seymour
		Shell
		Shelter
		Sicilia
		Sjælland
		Skidaway
		Socorro
		Staten
		Staten Island
		Stock
		Sullivan's
		Table
		Taipa
		Taiwan
		Tholen
		Tierra del Fuego
		Treasure Island
		Trinidad
		Tubbs
		Turr
		Upper Sugar Loaf
		Van Grachin
		Vancouver
		Vita Rocks
		Wainwright
		Walpole
		Wassaw
		Wendle
		Whale
		White Marsh
		Willard
		Willow
	Aasiaat Archipelago	Aasiaat
	ABC Islands	Curaçao
	Aldabra Atoll	Ile Picard
	Aleutian Islands	Aleun
	Alexander Archipeago	Noyes
	Alexander Archipelago	Canyon
	Alexander Archipelago	Castle
	Alexander Archipelago	Cat
	Alexander Archipelago	Prince of Wales
	Alor Islands	Alor
	Andaman Islands	Middle Andaman
	Andaman Islands	North Andaman
	Andaman Islands	North Andaman Island
	Andaman Islands	South Andaman
	Archipiélago de Chiloé	Chiloé
	Archipiélago de Chiloé	Isla Grande de Chiloé
	Archipiélago de Chiloé	Laitec
	Archipiélago de las Guaitecas	Elvira
	Archipiélago de las Guaitecas	Isla Gran Guaiteca
	Archipiélago de Tierra del Fuego	Desolación
	Archipiélago de Tierra del Fuego	Londonderry
	Archipiélago de Tierra del Fuego	Navarino
	Archipiélago de Tierra del Fuego	Noir
	Archipiélago Juan Fernández	Alejandro Selkirk
	Archipiélago Juan Fernández	Robinson Crusoe
	Archipiélago Juan Fernández	Santa Clara
	Bahamas	Grand Bahama
	Bahamas	Great Ragged Island
	Bahamas	Long Island
	Bahamas	Ragged Island
	Bahamas	San Salvador
	Banda Islands	Banda
	Banda Islands	Banda Besar
	Bangka-Belitung Islands	Bangka
	Berkeley Islands	Seymour
	Biak Islands	Biak
	Biak Islands	Yapen
	Bismarck Archipelago	New Britain
	British Isles	Hexham
	British Isles	Tiree
	Canadian Arctic Archipelago	Baffin
	Canadian Arctic Archipelago	Baillie
	Canadian Arctic Archipelago	Banks
	Canadian Arctic Archipelago	Bantes
	Canadian Arctic Archipelago	Beloeil
	Canadian Arctic Archipelago	Southampton
	Canadian Arctic Archipelago	Victoria
	Cape Breton Islands	Bird
	Cape Breton Islands	Cape Breton
	Channel Islands	Catalina
	Dry Tortugas	Loggerhead Key
	Florida Keys	Key West
	Fox Islands	Sanak
	Gorong Islands	Gorom
	Greater Antilles	Culebra
	Greater Antilles	Culebrita
	Greater Antilles	Desecheo
	Greater Antilles	Hispaniola
	Greater Antilles	Jamaica
	Greater Antilles	Luis Peña
	Greater Antilles	Magueyes
	Greater Antilles	Mona
	Greater Antilles	Puerto Rico
	Greater Antilles	Rat
	Greater Antilles	Vieques
	Greater Sunda Islands	Java
	Greater Sunda Islands	Sulawesi
	Greater Sunda Islands	Sumatra
	Greater Sunda Islands	Togian
	Guadeloupe	Grand-Terre
	Hoorn Islands	Alofi
	Islas Coronados	Coronado
	Islas de las Perlas	Pedro González
	Islas de los Timbales	Timbales
	Islas Desventuradas	San Ambrosio
	Japanese Archipelago	Hokkaido
	Japanese Archipelago	Honshu
	Japanese Archipelago	Kyushu
	Japanese Archipelago	Yaku
	Juan Fernández Islands	Alejandro Selkirk
	Juan Fernández Islands	Robinson Crusoe
	Kai Islands	Kai Besar
	Kai Islands	Kai Kecil
	Kai Islands	Taam
	Kepulauan Banggai	Peling
	LaHave Islands	Indian
	Leeward Antilles	Curaçao
	Lesser Sunda Islands	Bali
	Lesser Sunda Islands	Flores
	Lesser Sunda Islands	Komodo
	Lesser Sunda Islands	Lembata
	Lesser Sunda Islands	Lombok
	Lesser Sunda Islands	Nusa Penida
	Lesser Sunda Islands	Savu
	Lesser Sunda Islands	Sumba
	Lesser Sunda Islands	Sumbawa
	Lesser Sunda Islands	Timor
	Long Island and New York City Barrier Islands	East Fire Island
	Long Island and New York City Barrier Islands	Fire Island
	Malay Archipelago	Papua
	Maluku Islands	Ambon
	Maluku Islands	Batjan
	Maluku Islands	Buru
	Maluku Islands	Halmahera
	Maluku Islands	Haruku
	Maluku Islands	Molucca
	Maluku Islands	Seram
	Maluku Islands	Seram Laut
	Maluku Islands	Teor
	Maluku Islands	Ternate
	Maluku Islands	Timur Laut
	Marshall Islands	Janet
	Marshall Islands	Rongelap Atoll
	Maurelle Islands	Anguilla
	Mindanao	Mindanao
	Natuna Islands	Natuna Besar
	Newfoundland	Newfoundland
	Nias Islands	Nias
	North Atlantic Ocean	Sea Islands
	Outer Banks	Hatteras
	Puget Sound	Whidbey
	Queen Elizabeth Islands	Baillie-Hamilton
	Queen Elizabeth Islands	Bathurst
	Queen Elizabeth Islands	Cornwallis
	Queen Elizabeth Islands	Ellesmere
	Queen Elizabeth Islands	Melville
	Queen Elizabeth Islands	Pim
	Queen Elizabeth Islands	Prince of Wales
	Raja Ampat Islands	Batanta
	Raja Ampat Islands	Misool
	Raja Ampat Islands	Waigeo
	Riau Islands	Batam
	Sammish Bay	Sammish
	San Juan Islands	Bird Rock
	San Juan Islands	Blakely
	San Juan Islands	Brown
	San Juan Islands	Colville
	San Juan Islands	Decatur
	San Juan Islands	Flattop
	San Juan Islands	Johns
	San Juan Islands	Jones
	San Juan Islands	Lopez
	San Juan Islands	Orcas
	San Juan Islands	Penguin
	San Juan Islands	Shaw
	San Juan Islands	Waldron
	Sangihe Islands	Sangir Besar
	São Tomé and Príncipe	Príncipe
	São Tomé and Príncipe	São Tomé
	Schouten Islands	Yapen
	Sea Islands	Amelia
	Sea Islands	Edisto
	Selayar Islands	Tanah Jampea
	Singapore	Palawan
	Singapore	Salu
	Singapore	Singapore
	Sula Islands	Mangole
	Sula Islands	Sula Besi
	Sula Islands	Taliabu
	Sverdrup Islands	Ellef Ringnes
	Texas Barrier Islands	Padre
	Tierra del Fuego	Isla Grande de Tierra del Fuego
	Upernavik Archipelago	Kittorsaq
	Visayas	Negros
	Windward Islands	Dominica
Adriatic Sea		Korčula
Adriatic Sea	North-Dalmation Archipelago	Pag
Aegean Sea		Falconera Island
Aegean Sea	Cyclades	Naxos
Aegean Sea	Dodecanese	Kos
Ais River	Bismarck Archipelago	New Britain
Amazonas		Caviana
Amazonas		Marajó
Amazonas	Arquipélago do Marajó	Marajó
Arabian Sea	Khuriya Muriya Islands	Al-Hasikiyah
Aransas Bay		Lydia Ann
Arcata Bay		Daby
Arctic Ocean	Anzhu Islands	New Siberia
Arctic Ocean	Sverdrup Islands	Axel Heiberg
Arep River	Bismarck Archipelago	New Britain
Back Bay		Cedar
Baffin Bay		Devon
Bahía Amortajada		San José
Bahía Independencia		Isla de las Viejas
Bahía Paria		Isla de Patos
Baltic Sea		Bornholm
Baltic Sea		Fehmarn
Baltic Sea		Lolland
Baltic Sea		Öland
