verbatimLicense	standardLicense	uri	standard	checked
CC0	CC0	http://creativecommons.org/publicdomain/zero/1.0	1	1
CC-BY	CC-BY	https://creativecommons.org/licenses/by/4.0	1	1
CC-BY-NC	CC-BY-NC	https://creativecommons.org/licenses/by-nc/4.0	1	1
http://creativecommons.org/publicdomain/zero/1.0	CC0	http://creativecommons.org/publicdomain/zero/1.0	0	1
http://creativecommons.org/publicdomain/zero/1.0/	CC0	http://creativecommons.org/publicdomain/zero/1.0	0	1
http://creativecommons.org/publicdomain/zero/1.0/legalcode	CC0	http://creativecommons.org/publicdomain/zero/1.0	0	1
https://creativecommons.org/licenses/by/4.0	CC-BY	https://creativecommons.org/licenses/by/4.0	0	1
https://creativecommons.org/licenses/by/4.0/	CC-BY	https://creativecommons.org/licenses/by/4.0	0	1
https://creativecommons.org/licenses/by/4.0/legalcode	CC-BY	https://creativecommons.org/licenses/by/4.0	0	1
https://creativecommons.org/licenses/by-nc/4.0	CC-BY-NC	https://creativecommons.org/licenses/by-nc/4.0	0	1
https://creativecommons.org/licenses/by-nc/4.0/	CC-BY-NC	https://creativecommons.org/licenses/by-nc/4.0	0	1
https://creativecommons.org/licenses/by-nc/4.0/legalcode	CC-BY-NC	https://creativecommons.org/licenses/by-nc/4.0	0	1
