"verbatimLifeStage","standardLifeStage","uri","checked","opinionBy","opinionDate"
" ",,,1,"John Wieczorek","2017-08-25"
"-",,,1,"John Wieczorek","2017-08-25"
"--",,,1,"John Wieczorek","2017-08-25"
"---",,,1,"John Wieczorek","2017-08-25"
"-----",,,1,"John Wieczorek","2017-08-25"
"  Juv.","juvenile",,1,"John Wieczorek","2017-08-25"
" ?  Juv.","juvenile",,1,"John Wieczorek","2017-08-25"
" 1/4",,,1,"John Wieczorek","2017-08-25"
" 2 or 3 days",,,0,"John Wieczorek","2018-10-10"
" 4 or 5 days",,,0,"John Wieczorek","2018-10-10"
" Adult","adult",,1,"John Wieczorek","2017-08-25"
" adv",,,0,"John Wieczorek","2017-08-25"
" all advanced",,,0,"John Wieczorek","2017-08-25"
" began",,,0,"John Wieczorek","2017-08-25"
" BURSA 4 X 4 MM",,,0,"John Wieczorek","2017-08-25"
" BURSA 9 X 7 MM",,,0,"John Wieczorek","2017-08-25"
" BURSA NOT FOUND",,,0,"John Wieczorek","2017-08-25"
" DEF. ADULT MALE PLUMAGE; NO BUR",,,0,"John Wieczorek","2017-08-25"
" fresh",,,0,"John Wieczorek","2017-08-25"
" fresh - commenced",,,0,"John Wieczorek","2017-08-25"
" fresh, begun",,,0,"John Wieczorek","2017-08-25"
" HY",,,0,"John Wieczorek","2017-08-25"
" HY; BURSA 3.5 X 2.5 MM",,,0,"John Wieczorek","2017-08-25"
" Immature","immature",,1,"John Wieczorek","2017-08-25"
" NO BURSA; SKULL 100% OSS.",,,0,"John Wieczorek","2017-08-25"
" no data given","unknown",,1,"John Wieczorek","2017-08-25"
" not indicated","unknown",,1,"John Wieczorek","2017-08-25"
" Not recorded","unknown",,1,"John Wieczorek","2017-08-25"
" Not recorded.",,,0,"John Wieczorek","2018-10-10"
" one fourth",,,1,"John Wieczorek","2017-08-25"
" or Juv.","juvenile",,1,"John Wieczorek","2017-08-25"
" over one-half",,,0,"John Wieczorek","2017-08-25"
" showing blood, fresh",,,0,"John Wieczorek","2017-08-25"
