verbatimLifeStage	standardLifeStage	standard	checked
 		0	1
-		0	1
--		0	1
---		0	1
-----		0	1
  Juv.	juvenile	0	1
 ?  Juv.	juvenile	0	1
 1/4		0	0
 Adult	adult	0	1
 adv		0	0
 all advanced		0	0
 began		0	0
 BURSA 4 X 4 MM		0	0
 BURSA 9 X 7 MM		0	0
 BURSA NOT FOUND		0	0
 DEF. ADULT MALE PLUMAGE; NO BUR		0	0
 fresh		0	0
 fresh - commenced		0	0
 fresh, begun		0	0
 HY		0	0
 HY; BURSA 3.5 X 2.5 MM		0	0
 Immature	immature	0	1
 NO BURSA; SKULL 100% OSS.		0	0
 no data given	unknown	0	1
 not indicated	unknown	0	1
 Not recorded	unknown	0	1
 one fourth		0	0
 or Juv.	juvenile	0	1
 over one-half		0	0
 showing blood, fresh		0	0
 showing blood, small  embryo		0	0
 small embryos	embryos	0	1
 stale& slight		0	0
! F chick banded. 1/2 had a smal		0	0
! F chick banded. 1/2 had a small embryo, 2/2 had 		0	0
"	unknown	0	1
"5/6 j" (5-6 days)		0	0
"a few incubated" (? few days)		0	0
"about 5 Days In All"		0	0
"ad"	adult	0	1
"Ad." [= Im.]	adult	0	1
"ADULT" PLUMAGE; BURSA 2 X 2 MM;		0	0
"ADULT?"	adult	0	1
"Bird mature"	adult	0	1
"check"	unknown	0	1
"couves"		0	0
"FEMALE: PLUMAGED; BURSA 4 X 4 M		0	0
"Few incubated" (? Few days)		0	0
"Fresh enough to blow"		0	0
"Fresh to one"		0	0
"Friska" needs translation		0	0
"im"	immature	0	1
"im"[ad?]	immature	0	1
"IM."		0	0
"immature" on tag; Adult		0	0
"incub."	incubated	0	1
"incubated eggs"	incubated	0	1
"incubated"	incubated	1	1
"just sat on"		0	0
"juv"	juvenile	0	1
"juv. By plumage"		0	0
"Juv."	juvenile	0	1
"Juv." First winter of Juv.	juvenile	0	1
"Known" 8 days		0	0
"Mature or nearly so, at least 2	adult	0	1
"Mature"	adult	0	1
"New"		0	0
"no incubation"		0	0
"Old"		0	0
"Piped" "Hatching"		0	0
"slightly inc"		0	0
"small"		0	0
"started"		0	0
"TYPE"		0	0
"very wave"		0	0
"y. of y."		0	0
"yg"	young	0	1
"yg"[?]	young	0	1
"yng of year"	young	0	1
"yng"	young	0	1
#1 & #2: Large embryo, #3: Small		0	0
#1 & #2: Large embryo, #3: Small embryo		0	0
#1 & #3 Medium embryos, #2 Infer		0	0
#1 & #3 Medium embryos, #2 Infertile		0	0
#1 Addled, #2 Large Embryo		0	0
#1 and #2: trace of blood; #3: v		0	0
#1 and #2: trace of blood; #3: very small embryo		0	0
#1 broke in nest, fragments only		0	0
#1 broke in nest, fragments only; #2 addled, broke		0	0
#1 broke in nest, fragments; #2 		0	0
#1 broke in nest, fragments; #2 addled, broken		0	0
#1 eyes formed; #2 small embryo		0	0
#1 fresh, #2 & 3 showing blood		0	0
#1 Fresh, #2 Developed Embryo		0	0
#1 fresh, #2 large embryo		0	0
#1 fresh, #2 showing blood		0	0
#1 fresh, #2,3 trace of blood		0	0
#1 Fresh, #3, 4, 5 Very slight t		0	0
#1 Fresh, #3, 4, 5 Very slight trace of blood, #2,		0	0
#1 fresh, 2,3 &4 Full grown		0	0
#1 fresh; #2 showing blood		0	0
#1 infertile #2 embryo		0	0
#1 Infertile, #2 infertile, #3 s		0	0
#1 infertile, fragments; #2 crus		0	0
#1 infertile, fragments; #2 crushed, fragments, em		0	0
#1 large embryo, #2 infertile, #		0	0
#1 large embryo, #2 infertile, #3 medium embryo		0	0
#1 Large embryo; #2 Infertile		0	0
#1 medium embryo; #2 small embry		0	0
#1 medium embryo; #2 small embryo; #3 small embryo		0	0
#1 No inc, #2 No yolk. Nest cont		0	0
#1 No inc, #2 No yolk. Nest contained 1 young		0	0
#1- rotten, #2- no inc, 1 young 		0	0
#1- rotten, #2- no inc, 1 young in nest		0	0
#1&2 fresh, #3 trace of blood		0	0
#1&2 small embryo, #3 fresh		0	0
#1, #2, #3, #4: fresh		0	0
#1, fragments only, eggshell thi		0	0
#1, fragments only, eggshell thickness measured		0	0
#1,2,5: fresh, #3,4,6: trace		0	0
#1,3 Slight trace of blood, #2,4		0	0
#1,3 Slight trace of blood, #2,4 Trace of blood, #		0	0
#1,3,4 Fresh, #2 Slight trace of blood		0	0
#1,3,4,6,7,8 Fresh, #2,5 Slight 		0	0
#1,3,4,6,7,8 Fresh, #2,5 Slight trace of blood.		0	0
#1,3,5,6,7 Fresh, #2,4 Slight tr		0	0
#1,3,5,6,7 Fresh, #2,4 Slight trace of blood		0	0
#1,4 fresh; #2,3 trace of blood		0	0
#1,4 Slight trace of blood, #2,3		0	0
#1,4 Slight trace of blood, #2,3 Trace of blood,		0	0
#1: 1.640g (medium); #2: 1.617g 		0	0
#1: 1.640g (medium); #2: 1.617g (slight); #3: 1.73		0	0
#1: almost fresh, #2: slightly, 		0	0
#1: fresh; #s 2 & 3: trace (show		0	0
#1: fresh; #s 2 & 3: trace (showing blood)		0	0
#1: fully formed chick #2: Large		0	0
#1: fully formed chick #2: Large embryo #3: Small 		0	0
#1: Large embryo. #2 Not recorde		0	0
#1: Large embryo. #2 Not recorded. Nest contained 		0	0
#1: medium embryo, #2: fresh, #3		0	0
#1: medium embryo, #2: fresh, #3: showing blood, #		0	0
#1: No inc., #2: Small embryo. N		0	0
#1: No inc., #2: Small embryo. Neither egg was "so		0	0
#1: showing blood; #2: small emb		0	0
#1: showing blood; #2: small embryo		0	0
#1: small eyeballs; #2 & 4: tiny		0	0
#1: small eyeballs; #2 & 4: tiny embryos; #3: fres		0	0
#1: very small embryo; # 2 & 3: 		0	0
#1:embryo ~ 5mm, #2: clear		0	0
#1:very slight trace of blood, #2,#3:slight trace 		0	0
#1; eggshell fragment		0	0
#11; eggshell fragments collecte		0	0
#11; eggshell fragments collected from two sites		0	0
#120,121,122 Hatched, #123 Infer		0	0
#120,121,122 Hatched, #123 Infertil		0	0
#1-3 Large Embryos, #4 Infertile		0	0
#1-3 trace of blood; #4 fresh		0	0
#14 fragments only, eggshell thi		0	0
#14 fragments only, eggshell thickness measured		0	0
#15, fragments only, eggshell th		0	0
#15, fragments only, eggshell thickness measured		0	0
#15; eggshell fragments from 1-2		0	0
#15; eggshell fragments from 1-2 eggs		0	0
#16; eggshell fragments collecte		0	0
#16; eggshell fragments collected from 3 sites wit		0	0
#17, fragments only, eggshell th		0	0
#17, fragments only, eggshell thickness measured		0	0
#17; hatched eggshell fragments;		0	0
#17; hatched eggshell fragments; found with chick		0	0
#18; eggshell fragments from one		0	0
#18; eggshell fragments from one site within cave 		0	0
#19; eggshell fragments from one		0	0
#19; eggshell fragments from one site within cave 		0	0
#1large embryo, 2 and not record		0	0
#1large embryo, 2 and not recorded		0	0
#1large embryo, 2,3,4,5,6,7 and 		0	0
#1large embryo, 2,3,4,5,6,7 and 8 small embryos		0	0
#1medium embryo, 2 and 3 small e		0	0
#1medium embryo, 2 and 3 small embryos		0	0
#1-slight, #2-slight, 3#-small-m		0	0
#1-slight, #2-slight, 3#-small-medium embryo		0	0
#1small embryo, 2 and 3 not reco		0	0
#1small embryo, 2 and 3 not recorded		0	0
#2 Fresh, #1 Slight Traace of bl		0	0
#2 Fresh, #1 Slight Traace of blood, #3 Trace of b		0	0
#2 Fresh, #1,3 Slight trace of b		0	0
#2 Fresh, #1,3 Slight trace of blood		0	0
#2 Fresh, #3 Slight trace of blo		0	0
#2 Fresh, #3 Slight trace of blood, #4 Trace of bl		0	0
#2 Fresh, #4 Slight trace of blo		0	0
#2 Fresh, #4 Slight trace of blood, #1,3 Trace of 		0	0
#2 Large embryo		0	0
#2 Slight trace of blood, #1 Tra		0	0
#2 Slight trace of blood, #1 Trace of blood.		0	0
#2 Trace of blood, #1, 6 Very sm		0	0
#2 Trace of blood, #1, 6 Very small embryo, #3,4,5		0	0
#2: Fresh; #3: Slight Trace Of B		0	0
#2: Fresh; #3: Slight Trace Of Blood; #1: Trace Of		0	0
#20; about 25 feet high on rock		0	0
#21; eggshell fragment collected		0	0
