"verbatimPrep","StandardPrep","standard","checked"
"",,0,1
" 70% EtOH","70% alcohol",0,1
" Ca. half tibiofibula.",,0,0
" L",,0,0
" N",,0,0
" Partial palate M1/ M2/.",,0,0
" Proximal half L tibia.",,0,0
" R c/1.",,0,0
" R DENTARY WITH ALL TEETH EXC I/1",,0,0
" R DENTARY WITH M/1",,0,0
" R DENTARY WITH M/2-3",,0,0
" R TIBIOTARSUS CENTRAL TWO-THIRDS SHAFT.",,0,0
" skull","skull",0,1
"R M2/.",,0,0
"Skull, Fluid","fluid, skull",0,1
"""Mount, Blood""","mount, blood",0,1
"""Mount, Tissue""","mount, tissue",0,1
"""Par Skeleton, Wing, Skin, DNA""","partial skeleton, wing, skin, DNA",0,1
"""Par. Skeleton, Wing, DNA""","partial skeleton, wing, DNA",0,1
"""Par.Skel, Wing, DNA""","partial skeleton, wing, DNA",0,1
"""Par.Skeleton, Wing, DNA""","partial skeleton, wing, DNA",0,1
"""Partial Skel, Wing, DNA""","partial skeleton, wing, DNA",0,1
"""Partial Skeleton, Wing, DNA""","partial skeleton, wing, DNA",0,1
"""Partial Skeleton, Wing, Tissue""","partial skeleton, wing, tissue",0,1
"""Skeleton, Wing (02), Tissue""","skeleton, wing, tissue",0,1
"""Skeleton, Wing (2), Tissue""","skeleton, wing, tissue",0,1
"""Skin & Wing, DNA,  partial skel in freerer""","skin, wing, DNA, partial skeleton (frozen)",0,1
"""Skin, Par Skeleton, Wing, DNA""","skin, partial skeleton, wing, DNA",0,1
"""skin, wing & DNA""","skin, wing, DNA",0,1
"""Skin, Wing""","skin, wing",0,1
"""skin, wing, DNA & partial skeleton""","skin, wing, DNA, partial skeleton",0,1
"""wing, par skeleton""","wing, partial",0,1
"###############################################################################################################################################################################################################################################################",,0,0
"&",,0,0
"(1 mounted)",,0,0
"(broken)",,0,0
"(damaged)",,0,0
"(enclosed in flint)",,0,0
"(fragments)",,0,0
"(in formalin)",,0,0
"(in glycerine)",,0,0
"(in spirit)",,0,0
"(in spirit, one dissected)",,0,0
"(mounted slide)",,0,0
"(mounted)",,0,0
"(mounted, in ?glycerine)",,0,0
"(mounted, in formalin)",,0,0
"(mounted, in glycerine)",,0,0
"(mounted, in glycerol)",,0,0
"(mounted, in spirit)",,0,0
"(part mounted)",,0,0
", tissue","tissue",0,1
",C,R dentary w M1-M3,MAXILLA FRAGS,L DENTARY FRAG W M1-R P4M3,R P4-M3/,L M1-M3/",,0,0
"/ ANTERIOR TOOTH",,0,0
"/ CHEEK TOOTH",,0,0
"/ DP4 ?",,0,0
"/ M",,0,0
"/ M2",,0,0
"/ M3",,0,0
"/ P3",,0,0
"/ P4",,0,0
"/ P4-M3",,0,0
"/ R M",,0,0
"/ R M3",,0,0
"/2 TEETH",,0,0
"/2R M",,0,0
"/9 M2",,0,0
"/A1",,0,0
"/AN 1",,0,0
"/AN 2",,0,0
"/C",,0,0
"/C ?",,0,0
"/C fragment",,0,0
"/C OR /P2",,0,0
"/C OR P2",,0,0
"/C ROOT+P2+M2",,0,0
"/C,/M1",,0,0
"/C+P2+M1",,0,0
"/C1",,0,0
"/C1,/P1,I",,0,0
"/CHEEK TEETH",,0,0
"/CHEEK TEETH FRAG",,0,0
"/CHEEK TEETH FRAGS",,0,0
"/CHEEK TEETH,CHEEK TEETH/",,0,0
"/CHEEK TEETH,CHEEK TOOTH/",,0,0
"/CHEEK TEETH,I",,0,0
"/CHEEK TOOTH",,0,0
"/CHEEK TOOTH FRAG",,0,0
"/CHEEK TOOTH FRAGS",,0,0
"/CHEEK TOOTH,/CHEEK TOOTH FRAG,CHEEK TOOTH FRAG/,I FRAG",,0,0
"/CHEEK TOOTH,C",,0,0
"/CHEEK TOOTH,CHEEK TOOTH FRAG",,0,0
"/CHEEK TOOTH,CHEEK TOOTH/",,0,0
"/CHOOK TEETH",,0,0
"/C-M1",,0,0
"/D P2 ?",,0,0
"/D P4",,0,0
"/D TEETH",,0,0
"/D TEETHTH",,0,0
"/D TOOTH",,0,0
"/D TUSK",,0,0
"/DENTARY FRAG",,0,0
"/DENTARY W P3-M1",,0,0
"/DENTITION",,0,0
"/DM",,0,0
"/DM3",,0,0
"/DM4",,0,0
"/DM4-M1",,0,0
"/DP",,0,0
"/DP ?",,0,0
"/DP,TOOTH FRAG",,0,0
"/DP1",,0,0
"/DP1-DP2",,0,0
"/DP1-DP2 ?",,0,0
"/DP2",,0,0
"/DP2 ?",,0,0
"/DP2,M2/",,0,0
"/DP2-3+DP3/",,0,0
"/DP2-4",,0,0
"/DP2-DP4",,0,0
"/DP2-DP4,/M1",,0,0
"/DP2-DP4+M1",,0,0
"/DP2-M1",,0,0
"/DP2-M2",,0,0
"/DP3",,0,0
"/DP3 ?",,0,0
"/DP3 ?-M1",,0,0
"/DP3 FRAG",,0,0
"/DP3 FRAG ?",,0,0
"/DP3 OR /DP4",,0,0
"/dp3 or 4",,0,0
"/DP3-4",,0,0
"/DP3-4 FRAG",,0,0
"/DP3-DP4",,0,0
"/DP3-DP4+M2-M3",,0,0
"/DP3-M1",,0,0
"/DP3-M2",,0,0
"/DP3-M3 ?",,0,0
"/DP4",,0,0
"/DP4 ?",,0,0
"/DP4 FRAG",,0,0
"/DP4 FRAG ?",,0,0
"/DP4 OR /DP3",,0,0
"/DP4 OR /P2",,0,0
"/DP4 OR P4",,0,0
"/DP4,/DP3",,0,0
"/DP4,/M3",,0,0
"/DP4,/P3-P4,/M1-M2",,0,0
"/DP4,SQUAMOSAL",,0,0
"/DP4?",,0,0
"/DP4-M1",,0,0
"/DP4-M2",,0,0
"/DP4-M3",,0,0
"/DP4S",,0,0
"/I",,0,0
"/I ?",,0,0
"/I frag",,0,0
"/I FRAG ?",,0,0
"/I frags",,0,0
"/I OR /C OR /P",,0,0
"/I OR C",,0,0
"/I,/L P4",,0,0
"/I,DIST L TIBIA,CUBOID,DIST METATARSAL 4",,0,0
"/I,I/",,0,0
"/I+P4-M1",,0,0
"/I1",,0,0
"/I1 FRAG",,0,0
"/I1,/M",,0,0
"/I1-M3",,0,0
"/I2",,0,0
"/I2 FRAG",,0,0
"/I2-3",,0,0
"/I2-C",,0,0
"/I3",,0,0
"/incompl cheek tooth",,0,0
"/incompl L P4",,0,0
"/incompl P or M",,0,0
"/incompl P or M's",,0,0
"/incompl P4",,0,0
"/incompl P4-M2, M3",,0,0
"/INCOMPL R M2 OR M3",,0,0
"/INCOMPL TEETH",,0,0
"/JUV TEETH",,0,0
"/L",,0,0
"/L ANT TOOTH",,0,0
"/L ANTERO-LATERAL TOOTH",,0,0
"/L ANT-LAT TOOTH",,0,0
"/L C",,0,0
"/L C1",,0,0
"/L C1 FRAG",,0,0
"/L CHEEK TOOTH",,0,0
"/L CHEEK TOOTH FRAG",,0,0
"/L C-M3,/L P2-P3",,0,0
"/L C-M4",,0,0
"/L C-P2",,0,0
"/L C-P4",,0,0
"/L DM3-DM4",,0,0
"/L DP",,0,0
"/L DP ?",,0,0
"/L DP1-DP2+DP4",,0,0
"/L DP1-DP4",,0,0
"/L DP1-M1+M3",,0,0
"/L DP2",,0,0
"/L DP2-4",,0,0
"/L DP2-DP3",,0,0
"/L DP2-DP4",,0,0
"/L DP2-DP4,/R DP2-P4",,0,0
"/L DP2-M1",,0,0
"/L DP2-M2",,0,0
"/L DP3",,0,0
"/L DP3 or DP4",,0,0
"/L DP3-DP4",,0,0
"/L DP3-DP4,/M1-M2",,0,0
"/L DP3-M1",,0,0
"/L DP4",,0,0
"/L DP4 ?",,0,0
"/L DP4 OR M1",,0,0
"/L DP4,/M1-M2",,0,0
"/L DP4-M1",,0,0
"/L DP4-M1+/R M1",,0,0
"/L I",,0,0
"/L I FRAG",,0,0
"/L I,CAUDAL VERTEBRA",,0,0
"/L I+P4+M2-M3",,0,0
"/L I1",,0,0
"/L I1 FRAG",,0,0
"/L I1,/R I1",,0,0
"/L I1,R I1-I3/,R I1/",,0,0
"/L I1-C+M1-M3,/R I1-M3,FEMALE",,0,0
"/L I2",,0,0
"/L I2,/R I2",,0,0
"/L I3",,0,0
"/L I3-M2",,0,0
"/L LAT TOOTH",,0,0
"/L M",,0,0
"/L M ?",,0,0
"/L M FRAG",,0,0
"/L M FRAG,/R M FRAG,L M/",,0,0
"/L M FRAGS,/R M FRAG, /P",,0,0
"/L M OR P",,0,0
"/L M TALONID",,0,0
"/L M TRIGONID",,0,0
"/L M,/R M",,0,0
