"verbatimReproductiveCondition","standardReproductiveCondition","uri","checked","opinionBy","opinionDate"
" ",,,1,"John Wieczorek","2017-08-25"
"'",,,1,"John Wieczorek","2017-08-25"
"-",,,1,"John Wieczorek","2017-08-25"
"--",,,1,"John Wieczorek","2017-08-25"
"---","unknown",,1,"John Wieczorek","2017-08-25"
"--------------------------------------------------",,,1,"John Wieczorek","2017-08-25"
"-----------------------------------------------------------------------------------------------------------------",,,1,"John Wieczorek","2017-08-25"
" Testes abdominal",,,0,"John Wieczorek","2017-08-25"
" Testes abdominal, subadult","subadult",,1,"John Wieczorek","2017-08-25"
" Testes scrotal, large",,,0,"John Wieczorek","2017-08-25"
"",,,0,"John Wieczorek","2017-08-25"
"""n.b.""",,,0,"John Wieczorek","2017-08-25"
"""t.e.""",,,0,"John Wieczorek","2017-08-25"
"""t.n.e.""",,,0,"John Wieczorek","2017-08-25"
"(1 hemipene everted)",,,0,"John Wieczorek","2017-08-25"
"(96 x 98 mm*see comments), testes = L 9 x 4mm, R 8 x 4mm.",,,0,"John Wieczorek","2017-08-25"
"(by blood test)",,,0,"John Wieczorek","2017-08-25"
"(by dissection)",,,0,"John Wieczorek","2017-08-25"
"(by plumage & meas)",,,0,"John Wieczorek","2017-08-25"
"(by plumage)",,,0,"John Wieczorek","2017-08-25"
"(by plumage) testes? =11mm",,,0,"John Wieczorek","2017-08-25"
"(by pouch)",,,0,"John Wieczorek","2017-08-25"
"(calling)",,,0,"John Wieczorek","2017-08-25"
"(croaking)",,,0,"John Wieczorek","2017-08-25"
"(emb = 25), 2 r, 2 l",,,0,"John Wieczorek","2017-08-25"
"(external)",,,0,"John Wieczorek","2017-08-25"
"(externally male)",,,0,"John Wieczorek","2017-08-25"
"(hemipenes everted)",,,0,"John Wieczorek","2017-08-25"
"(hemipenes extended)",,,0,"John Wieczorek","2017-08-25"
"(hemipenes extruded)",,,0,"John Wieczorek","2017-08-25"
"(hemipenes present)",,,0,"John Wieczorek","2017-08-25"
"(hemipenes)",,,0,"John Wieczorek","2017-08-25"
