verbatimSex	standardSex	standard	checked
 		0	1
-		0	1
--		0	1
---		0	1
----		0	1
—		0	1
 ?	in question	0	1
-- [apparantly F]	female	0	1
-- [apparantly M]	male	0	1
 F	female	0	1
 M	male	0	1
"		0	1
"?"	in question	0	1
"?"[=M]	in question	0	1
"[illeg]"	unknown	0	1
"[illeg]" [app M]	male	0	1
"[illeg]" [presumably =F]	female	0	1
"F ? *	in question	0	1
"F ? M"	in question	0	1
"F [M]	unknown	0	1
"F I think"	in question	0	1
"F M"	unknown	0	1
"F"	female	0	1
"F" & "M" [app.=F]	unknown	0	1
"F" ?	in question	0	1
"F" ? [=M]	in question	0	1
"F" ?[=M]	in question	0	1
"F" [=app.M]	unknown	0	1
"F" [=M ?]	in question	0	1
"F" [=M prob.]	unknown	0	1
"F" [=M?]	in question	0	1
"F" [=M]	unknown	0	1
"F" [=M]*	unknown	0	1
"F" [=M]?	in question	0	1
"F" [app. M]	unknown	0	1
"F" [M]	unknown	0	1
"F" M	unknown	0	1
"F"(M)	unknown	0	1
"F"[=app. M]	unknown	0	1
"F"[=M?[im]]	in question	0	1
"F"[=M?]	in question	0	1
"F"[=M]	unknown	0	1
"F"[Bill scratch indicates M]	unknown	0	1
"F"[from size is a M]	unknown	0	1
"F"[is size of M]	unknown	0	1
"F"[M*]	unknown	0	1
"F"[M]	unknown	0	1
"F(?)"	in question	0	1
"F?"	in question	0	1
"F?"[=F]	in question	0	1
"F?"[=M]	in question	0	1
"hor, F'	female	0	1
"Im. F"; Sex ambiguous	in question	0	1
"M (?) [=M]	in question	0	1
"M [F]	unknown	0	1
"M or F ?"	in question	0	1
"M"	male	0	1
"M" ?	in question	0	1
"M" [=F ?]	in question	0	1
"M" [=F app.]	unknown	0	1
"M" [=F surely]	female	0	1
"M" [=F?]	in question	0	1
"M" [=F]	unknown	0	1
"M" [app. F]	unknown	0	1
"M" [app. M]	unknown	0	1
"M" [little doubt =F]	female	0	1
"M" app.[=F]	unknown	0	1
"M"[=F?]	in question	0	1
"M"[=F]	unknown	0	1
"M"[F?]	in question	0	1
"M"=F ?	in question	0	1
"M"F	unknown	0	1
"M: [apparently =F]	unknown	0	1
"M?"	in question	0	1
"M?"[=M]	in question	0	1
"M?"[=underlined M]	in question	0	1
"Male"	male	0	1
"O"	unknown	0	1
"O"[=F]	female	0	1
"t		0	1
"upside down F symbol"	female	0	1
("M ad")No! is juv	male	0	1
(?)	in question	0	1
(?) six	in question	0	1
(F ?)	in question	0	1
(F)	female	0	1
(F) ?	in question	0	1
(F)=[M]	unknown	0	1
(F?)	in question	0	1
(Female)	female	0	1
(Female?)	in question	0	1
(M ?)	in question	0	1
(M ?) [F]	in question	0	1
(M =)[F]	unknown	0	1
(M apparantly)	male	0	1
(M Im ?)	in question	0	1
(M)	male	0	1
(M) ?	in question	0	1
(M) ?)	in question	0	1
(m) see note	male	0	1
(M)=(F)	unknown	0	1
(M)=F	unknown	0	1
(M/F?)	in question	0	1
(M?)	in question	0	1
(M?)=[F]	in question	0	1
(Male or Female ?)	in question	0	1
(Male)	male	0	1
(Male)?	in question	0	1
(N)	unknown	0	1
(not determined)	unknown	0	1
(not determined), juvenile	unknown	0	1
(Sex Unknown)	unknown	0	1
(sex?)	in question	0	1
(undetermined)	unknown	0	1
(undetermined), juvenile	unknown	0	1
(unsexed)	unknown	0	1
*	unknown	0	1
--*	unknown	0	1
,		0	1
.		0	1
/	unknown	0	1
?	in question	0	1
--?	in question	0	1
-?-	in question	0	1
? - HY		0	1
? (F)	in question	0	1
? (M)	in question	0	1
? (sign blurred)	in question	0	1
? *	in question	0	1
? [=F]	in question	0	1
? [=M?]	in question	0	1
? [=M]	in question	0	1
? [M]	in question	0	1
? [Male]	in question	0	1
? [surely F]	in question	0	1
? = F	in question	0	1
? = M	in question	0	1
? 1971HY		0	1
? 2nd yr.		0	1
? AD.	in question	0	1
? age 2 days		0	1
? age 6 days		0	1
? br.	in question	0	1
? chick		0	1
? chick 3 days old		0	1
? chick, 3 days old		0	1
? chick, almost fledged		0	1
? F	in question	0	1
? IMM	unknown	0	1
? Imm.		0	1
? JUV	in question	0	1
? juv.	unknown	0	1
? M	in question	0	1
? M.	in question	0	1
? young		0	1
?*	in question	0	1
?, adult	in question	0	1
?, immature	in question	0	1
?, juvenile	in question	0	1
?. Adult	in question	0	1
?/5 days old		0	1
?/imm.		0	1
?/juv.		0	1
??	in question	0	1
--?[=F]	in question	0	1
?[=Female]	in question	0	1
--?[=M]	in question	0	1
?[F]	in question	0	1
?[Female]	in question	0	1
?[illeg] [M]	in question	0	1
?[M]	in question	0	1
?=F	in question	0	1
?=M	in question	0	1
?F	in question	0	1
?Female	in question	0	1
?M	in question	0	1
?M*	in question	0	1
?Male	in question	0	1
["M" or F ?]	in question	0	1
[?]	in question	0	1
[?F]	in question	0	1
[?Female]	in question	0	1
[[illeg]]	unknown	0	1
[=F?]M	in question	0	1
--[=F]	female	0	1
[=M ?]	in question	0	1
[=M]	male	0	1
--[=M]	male	0	1
[=M] F	unknown	0	1
[=M]F	unknown	0	1
[1st spring Male]	male	0	1
[Ad.]	unknown	0	1
[ADM]	unknown	0	1
[Adult ?] [Female ?]	in question	0	1
[Adult ?] Female	female	0	1
[Adult ?] Male	male	0	1
[Adult Female ?]	in question	0	1
[Adult] Female	female	0	1
[Age ?] [Sex ?]	in question	0	1
[Age ?] Male	male	0	1
[almost surely a F]	female	0	1
[app F]	female	0	1
--[app. F]	female	0	1
[F ?]	in question	0	1
[F ?] M	in question	0	1
[F ]	female	0	1
[F M]	unknown	0	1
[F or M]	unknown	0	1
--[F or M]	unknown	0	1
[F pract. certainly]	female	0	1
[F?]	in question	0	1
--[F?]	in question	0	1
[f]	female	0	1
--[F]	female	0	1
[F]-	female	0	1
[F] "M"	unknown	0	1
[F] ?	in question	0	1
[F] ? M	in question	0	1
[F] [M]	unknown	0	1
[F] F	female	0	1
[F] M	unknown	0	1
[F] see Collector's notes	female	0	1
[f], adult	female	0	1
[f], immature	female	0	1
[F]?	in question	0	1
[F]=(M)	unknown	0	1
[F]M	unknown	0	1
[F]sic	female	0	1
[F}	female	0	1
[Female ?]	in question	0	1
[Female?]	in question	0	1
[Female?] by plumage	in question	0	1
[Female]	female	0	1
[Female]?	in question	0	1
[illeg.]	unknown	0	1
[illeg]	unknown	0	1
[illeg] F	female	0	1
[illeg] light pencil markings	unknown	0	1
[illeg].	unknown	0	1
[illeg]?	in question	0	1
[illeg]F	female	0	1
--[illeg]F	female	0	1
[illeg]M	male	0	1
[Im.]	unknown	0	1
[Immature ?] [Sex ?]	unknown	0	1
[Immature ?] Female	female	0	1
[Immature ?] Male	male	0	1
[Immature Male ?]	in question	0	1
[juv. chick]	unknown	0	1
[juv. Male]	male	0	1
[Juv.]	unknown	0	1
[Juvenile ?] Female	female	0	1
[Juvenile ?] Male	male	0	1
[M	male	0	1
[M ?]	in question	0	1
[M ?] (illeg.)	in question	0	1
[M imm.]F	unknown	0	1
[M imm]	male	0	1
[M pract. certainly]	male	0	1
[M?]	in question	0	1
[m]	male	0	1
--[M]	male	0	1
[M] ?	in question	0	1
[M] F	unknown	0	1
[M] see Collector's notes	male	0	1
[M]"F"	unknown	0	1
[m], adult	male	0	1
[M]?	in question	0	1
[M]F	unknown	0	1
[M]ns	male	0	1
[M=] F	unknown	0	1
[Male ?]	in question	0	1
[Male?]	in question	0	1
[Male]	male	0	1
[Male] by plumage	male	0	1
[Sex ?]	in question	0	1
[size Female]	female	0	1
[Subadult ?] Male	male	0	1
[Sub-adult Female ?]	in question	0	1
[surely F]	female	0	1
[u]	unknown	0	1
]	unknown	0	1
_	unknown	0	1
`	unknown	0	1
{F}	female	0	1
{Female}	female	0	1
{M]	male	0	1
{M}	male	0	1
{Male}	male	0	1
~	unknown	0	1
<	unknown	0	1
=[F]M	unknown	0	1
>		0	1
♀	female	0	1
♀ imm.	female	0	1
♀ immature	female	0	1
♀ young	female	0	1
♀&♂	female | male	0	1
♀?	in question	0	1
♂	male	0	1
♂ immature	male	0	1
