"verbatimTaxonRank","standardTaxonRank","uri","checked","opinionBy","opinionDate"
"(Duméril & Bibron, 1836)",,,"-1","John Wieczorek","2017-08-25"
"(Merrem, 1820)",,,"-1","John Wieczorek","2017-08-25"
"Animalia","kingdom",,"-1","John Wieczorek","2017-08-25"
"bicolor",,,"-1","John Wieczorek","2017-08-25"
"Clase","class",,"-1","John Wieczorek","2017-08-25"
"class","class",,"-1","John Wieczorek","2017-08-25"
"Especie","species",,"-1","John Wieczorek","2017-08-25"
"Familia","family",,"-1","John Wieczorek","2017-08-25"
"family","family",,"-1","John Wieczorek","2017-08-25"
"Filo","phylum",,"-1","John Wieczorek","2017-08-25"
"Género","genus",,"-1","John Wieczorek","2017-08-25"
"genus","genus",,"-1","John Wieczorek","2017-08-25"
"gigas",,,"-1","John Wieczorek","2017-08-25"
"hybrid sp","species",,"-1","John Wieczorek","2017-08-25"
"hybrid species","species",,"-1","John Wieczorek","2017-08-25"
"hybrid subspecies","subspecies",,"-1","John Wieczorek","2017-08-25"
"indicus",,,"-1","John Wieczorek","2017-08-25"
"infrafrenata",,,"-1","John Wieczorek","2017-08-25"
"Infraorder","infraorder",,"-1","John Wieczorek","2017-08-25"
"Orden","order",,"-1","John Wieczorek","2017-08-25"
"order","order",,"-1","John Wieczorek","2017-08-25"
"papuensis",,,"-1","John Wieczorek","2017-08-25"
"phylum","phylum",,"-1","John Wieczorek","2017-08-25"
"Reino","kingdom",,"-1","John Wieczorek","2017-08-25"
"species","species",,"-1","John Wieczorek","2017-08-25"
"subclass","subclass",,"-1","John Wieczorek","2017-08-25"
"subespecie","subspecies",,"-1","John Wieczorek","2017-08-25"
"subfamily","subfamily",,"-1","John Wieczorek","2017-08-25"
"suborder","suborder",,"-1","John Wieczorek","2017-08-25"
"Subphylum","subphylum",,"-1","John Wieczorek","2017-08-25"
"subspecies","subspecies",,"-1","John Wieczorek","2017-08-25"
"superfamily","superfamily",,"-1","John Wieczorek","2017-08-25"
"tRank",,,"-1","John Wieczorek","2017-08-25"
"Tribe","tribe",,"-1","John Wieczorek","2017-08-25"
"undefinable",,,"-1","John Wieczorek","2017-08-25"
"unspecified",,,"-1","John Wieczorek","2017-08-25"
"var.","variety",,"-1","John Wieczorek","2017-08-25"
