verbatimTaxonRank	standardTaxonRank	standard	checked
class	class	1	1
family	family	1	1
genus	genus	1	1
hybrid sp	species	0	1
hybrid species	species	0	1
hybrid subspecies	subspecies	0	1
Infraorder	infraorder	1	1
order	order	1	1
phylum	phylum	1	1
species	species	1	1
subclass	subclass	1	1
subespecie	subspecies	0	1
subfamily	subfamily	1	1
suborder	suborder	1	1
Subphylum	subphylum	1	1
subspecies	subspecies	1	1
superfamily	superfamily	1	1
tRank		0	1
Tribe	tribe	1	1
undefinable		0	1
unspecified		0	1
var.	variety	0	1
