"verbatimTypeStatus","standardTypeStatus","uri","checked","opinionBy","opinionDate"
"-",,,1,"John Wieczorek","2017-08-25"
"--",,,1,"John Wieczorek","2017-08-25"
"""",,,1,"John Wieczorek","2017-08-25"
"""Type México""","type",,1,"John Wieczorek","2017-08-25"
"""Type""","type",,1,"John Wieczorek","2017-08-25"
"(= Type of P. plumbeiceps Lawr.)","type",,1,"John Wieczorek","2017-08-25"
"(A type of cearensis Bd)","type",,1,"John Wieczorek","2017-08-25"
"(Cotype) Syntype of baroni","cotype",,1,"John Wieczorek","2017-08-25"
"(Syntype)","syntype",,1,"John Wieczorek","2017-08-25"
"(Syn-Type)","syntype",,1,"John Wieczorek","2017-08-25"
"(Type","type",,1,"John Wieczorek","2017-08-25"
"(Type of Buarremon ocai Lawr.)","type",,1,"John Wieczorek","2017-08-25"
"(Type of C. gundlachi Lawr.","type",,1,"John Wieczorek","2017-08-25"
"(Type of C. ornatum Lawr.)","type",,1,"John Wieczorek","2017-08-25"
"(Type of Empidonax atrirostris)","type",,1,"John Wieczorek","2017-08-25"
"(Type of Icterus affinis Lawr.)","type",,1,"John Wieczorek","2017-08-25"
"(Type of leucura Lawr.)","type",,1,"John Wieczorek","2017-08-25"
"(Type of macilvainii)","type",,1,"John Wieczorek","2017-08-25"
"(Type of Mellisuga merritti Lawr.)","type",,1,"John Wieczorek","2017-08-25"
"(Type of P. atrimentalis Lawr.)","type",,1,"John Wieczorek","2017-08-25"
"(Type of P. melanura)","type",,1,"John Wieczorek","2017-08-25"
"(Type of Petrochelidon aequatorialis Lawr)","type",,1,"John Wieczorek","2017-08-25"
"(Type of S. pikei Lawr.)","type",,1,"John Wieczorek","2017-08-25"
"(Type of saulae)","type",,1,"John Wieczorek","2017-08-25"
"(Type of Spermophila schistacea Lawr.)","type",,1,"John Wieczorek","2017-08-25"
"(Type of T. superciliaris)","type",,1,"John Wieczorek","2017-08-25"
"(Type of Thamnoph[illeg]s leucopygius)","type",,1,"John Wieczorek","2017-08-25"
