verbatimTypeStatus	standardTypeStatus	standard	checked
-		0	1
--		0	1
"		0	1
"Type México"	type	0	1
"Type"	type	0	1
(= Type of P. plumbeiceps Lawr.)	type	0	1
(A type of cearensis Bd)	type	0	1
(Cotype) Syntype of baroni	cotype	0	1
(Syntype)	syntype	0	1
(Syn-Type)	syntype	0	1
(Type	type	0	1
(Type of Buarremon ocai Lawr.)	type	0	1
(Type of C. gundlachi Lawr.	type	0	1
(Type of C. ornatum Lawr.)	type	0	1
(Type of Empidonax atrirostris)	type	0	1
(Type of Icterus affinis Lawr.)	type	0	1
(Type of leucura Lawr.)	type	0	1
(Type of macilvainii)	type	0	1
(Type of Mellisuga merritti Lawr.)	type	0	1
(Type of P. atrimentalis Lawr.)	type	0	1
(Type of P. melanura)	type	0	1
(Type of Petrochelidon aequatorialis Lawr)	type	0	1
(Type of S. pikei Lawr.)	type	0	1
(Type of saulae)	type	0	1
(Type of Spermophila schistacea Lawr.)	type	0	1
(Type of T. superciliaris)	type	0	1
(Type of Thamnoph[illeg]s leucopygius)	type	0	1
(Type of Vireosyl[illeg] atripennis Lawr.)	type	0	1
(Type of Vireosyl[illeg] virginalis Lawr.)	type	0	1
(Type)	type	0	1
(Type) ?Type of brachyuros	type	0	1
(Type) Calandra megarhynchos	type	0	1
(Type) of albistriata	type	0	1
(Type) of angustistriata	type	0	1
(Type) of Apetzii	type	0	1
(Type) of assimilis	type	0	1
(Type) of fasciata	type	0	1
(Type) of gallica	type	0	1
(Type) of Hypolais arigonis	type	0	1
(Type) of itala	type	0	1
(Type) of karinthiaca	type	0	1
(Type) of L. brachyuros	type	0	1
(Type) of lutea	type	0	1
(Type) of megarhynchus	type	0	1
(Type) of Melanocorypha b. immaculata	type	0	1
(Type) of Melanocorypha elegans	type	0	1
(Type) of meridionalis	type	0	1
(Type) of obscura	type	0	1
(Type) of obsoletus	type	0	1
(Type) of saxorum?	type	0	1
(Type) of superciliaris	type	0	1
(Type) of tenuirostris	type	0	1
(Type) of undulata	type	0	1
(Type) of viarum (1831) and pagorum (1841)	type	0	1
(Type) of vierthaleri	type	0	1
(Type) paradoxus	type	0	1
(Type) viarum (1841)	type	0	1
(Type? -); Type	type	0	1
(Type?)	type	0	1
.		0	1
? status		0	1
? Type	type	0	1
?Co-Type	cotype	0	1
?Figured		0	1
?holotype	holotype	0	1
?holotype or syntype	type	0	1
?Neotype	neotype	0	1
?Possible Type	type	0	1
?syntype	syntype	0	1
?Type	type	0	1
[?Type]	type	0	1
[Co-type]	cotype	0	1
[Holotype]	holotype	0	1
[illeg] Type of D.Orbigny	type	0	1
[Paratype]	paratype	0	1
[Paratypes]	paratype	0	1
[SYNTYPE]	syntype	0	1
[Type]	type	0	1
<No data>		0	1
= (type of idoneus Ridgway)	type	0	1
= TYPE: C. walteri	type	0	1
2 SYNTYPES in U.S.N.M.		0	1
21 Oct 2004		0	1
A	allotype	0	1
A type	type	0	1
A. helice cited		0	1
A. m.-n. sp. paratype, cited; A. h.-cited; P. l.-cited	paratype	0	1
A. m.-paratype, figured and cited; A. h.-cited	paratype	0	1
Abronia		0	1
allotype	allotype	1	1
ALLOTYPE OF DEIROCHELYS RETICULARIA CHRYSEA	allotype	0	1
ALLOTYPE OF EURYCEA NANA	allotype	0	1
ALLOTYPE OF NECTURUS MACULOSUS STICTUS	allotype	0	1
ALLOTYPE OF PLETHODON LONGICRUS	allotype	0	1
ALLOTYPE OF PSEUDEMYS FLORIDANA SUWANNIENSIS	allotype	0	1
ALLOTYPE OF SYNCOPE ANTENORI	allotype	0	1
ALLOTYPE OF TRITURUS GRANULOSUS TWITTYI	allotype	0	1
ALLOTYPE OF TRITURUS PERSTRIATUS	allotype	0	1
authentic		0	1
authentic material		0	1
C.-n. sp. paratype; figured and cited; A.-cited	paratype	0	1
Cast of Figured Specimen		0	1
Cast of holotype	plastotype	0	1
Cast of lectotype	lectotype	0	1
Cast of paralectotype	paralectotype	0	1
Cast of Paratype	paratype	0	1
Cast of syntype	syntype	0	1
Chapin TYPE	type	0	1
Cited		0	1
Cited; Cited; Cited		0	1
Cited; Holotype	holotype	0	1
cited-H. and A.; figured and cited-P; both n. comb.		0	1
Co - Type	cotype	0	1
Co TYPE	cotype	0	1
Cotype	cotype	1	1
'Cotype'	cotype	0	1
Co-Type	cotype	0	1
Cotype ?	cotype	0	1
Cotype [=Paratype]	cotype	0	1
Co-TYPE of Oestrelata nigripennis	cotype	0	1
Co-Type specimen	cotype	0	1
Cotype, Syntype	cotype	0	1
COTYPE?	cotype	0	1
Co-type?	cotype	0	1
cotypes	cotype	0	1
Co-types	cotype	0	1
Cotypes (Holotype and Paratype)	type	0	1
DM Harris		0	1
drawing of type		0	1
DRAWINGOFTYPE		0	1
DUPICADO BPI, LIL		0	1
DUPLICADO BPI		0	1
DUPLICADO LIL		0	1
ecotype (from Oberlin label)	ecotype	0	1
epitype	epitype	1	1
ex Holotype	type	0	1
ex MS Holotype	type	0	1
ex MS Paratype(s)	paratype	0	1
ex Paratype	paratype	0	1
FHOLOTYPE	holotype	0	1
FIG		0	1
Figured		0	1
figured and cited		0	1
figured and cited (8946A)		0	1
figured, hypotype	hypotype	0	1
Figured; Cited		0	1
Figured; Figured		0	1
from Type Locality	topotype	0	1
G		0	1
G.incrassatus and genus  Sphoerocephalus		0	1
Genotype, Holotype	holotype	0	1
H	holotype	0	1
HOLO	holotype	0	1
HOLO*	holotype	0	1
holotip	holotype	0	1
HOLOTIPO	holotype	0	1
Holotye of Dryobates villosus scrippsae	holotype	0	1
holotype	holotype	1	1
Holotype (at USNM)	holotype	0	1
Holotype (MS)	holotype	0	1
holotype fragment	holotype	0	1
HOLOTYPE HYLA RIVEROI, COCHRAN AND GOIN, 1970, U.S. NATL. MUS. BULL., 288:284	holotype	0	1
Holotype Limnotragus selousi	holotype	0	1
HOLOTYPE NOTES	holotype	0	1
HOLOTYPE OF	holotype	0	1
HOLOTYPE OF  LEPIDODACTYLUS NAUJANENSIS, TAYLOR, 1919, PHILIPPINE JOUR. SCI., 14:113	holotype	0	1
HOLOTYPE OF  TYPHLOPS DENDROPHIS, TAYLOR, 1922, PHILIPPINE BUR. SCI., PUBL. 16:60	holotype	0	1
HOLOTYPE OF ABRONIA ANZUETOI	holotype	0	1
HOLOTYPE OF ACANTHAGENYS RUFOGULARIS PARKERI, PARKES, K. C. 1980. A NEW SUBSPECIES OF THE SPINY-CHEEKED HONEYEATER ACANTHAGENYS RUFOGULARIS, WITH NOTES ON GENERIC RELATIONSHIPS. BULL. BRIT. ORN. CLUB, 143-147. PAGE 144, PUBLISHED 20 JUNE 1980.	holotype	0	1
Holotype of Accentor erythropygius (Swinhoe, 1870)	holotype	0	1
Holotype of Accentor talifuensis	holotype	0	1
Holotype of Acomys russatus	holotype	0	1
HOLOTYPE OF ACRIS GRYLLUS BLANCHARDI, HARPER, 1947, PROC. BIOL. SOC. WASHINGTON, 60:39	holotype	0	1
HOLOTYPE OF ADELPHICOS VERAEPACIS	holotype	0	1
Holotype of Aepeomys fuscatus	holotype	0	1
Holotype of Aepeomys lugens (The Coryndon Museum)	holotype	0	1
Holotype of Aethomys kaiseri vernayi (Hill & Carter)	holotype	0	1
Holotype of Aethomys namaquensis ((Smith))	holotype	0	1
HOLOTYPE OF AGELAIUS CYANOPUS XENICUS, PARKES, K. C. 1966. GEOGRAPHIC VARIATION IN AZARA'S MARSH BLACKBIRD, AGELAIUS CYANOPUS. PROC. BIOL. SOC. WASH., 1-12. PAGE 8, PUBLISHED 23 MAY 1966.	holotype	0	1
HOLOTYPE OF AGELAIUS THILIUS ALTICOLA, TODD, W. E. C. 1932. SEVEN APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 215-220. PAGE 219, PUBLISHED 26 NOVEMBER 1932.	holotype	0	1
HOLOTYPE OF AGKISTRODON MOKASEN LATICINCTUS	holotype	0	1
