"verbatimVerbatimCoordinateSystem","standardVerbatimCoordinateSystem","uri","checked","opinionBy","opinionDate"
"""degrees minutes seconds, nearest minute""","degrees minutes seconds",,1,"John Wieczorek","2017-08-25"
"""Township, section, range""","PLSS",,1,"John Wieczorek","2017-08-25"
"#NAME?",,,1,"John Wieczorek","2017-08-25"
"1/5/2012",,,1,"John Wieczorek","2017-08-25"
"14276",,,1,"John Wieczorek","2017-08-25"
"2012/01/05",,,1,"John Wieczorek","2017-08-25"
"4094.192",,,1,"John Wieczorek","2017-08-25"
"41763",,,1,"John Wieczorek","2017-08-25"
"4507.192 m",,,1,"John Wieczorek","2017-08-25"
"9319.192",,,1,"John Wieczorek","2017-08-25"
"9334",,,1,"John Wieczorek","2017-08-25"
"Aquadilla",,,1,"David Bloom","2018-06-13"
"Cartografa Digital del Laboratorio de SIG'S y PR, Instituto de Geografa, UNAM.  Incluye: INEGI, 2000; IMT2000.  Escala 1:250,000",,,1,"John Wieczorek","2017-08-25"
"Cartografía Digital del Laboratorio de SIG'S y PR, Instituto de Geografía, UNAM.  Incluye: INEGI, 2000; IMT2000.  Escala 1:250,000",,,1,"John Wieczorek","2017-08-25"
"dcimal degrees","decimal degrees",,1,"John Wieczorek","2017-08-25"
"DD","decimal degrees",,1,"John Wieczorek","2017-08-25"
"DD.DDD","degrees decimal minutes",,1,"John Wieczorek","2017-08-25"
"DD.DDDD","degrees decimal minutes",,1,"John Wieczorek","2017-08-25"
"DDM","degrees minutes seconds",,1,"John Wieczorek","2017-08-25"
"dec degrees","decimal degrees",,1,"John Wieczorek","2017-08-25"
"decima degrees","decimal degrees",,1,"John Wieczorek","2017-08-25"
"Decima ldegrees","decimal degrees",,1,"John Wieczorek","2017-08-25"
"decimal decimal minutes","degrees decimal minutes",,1,"John Wieczorek","2017-08-25"
"decimal degree","decimal degrees",,1,"John Wieczorek","2017-08-25"
"decimal degreees","decimal degrees",,1,"John Wieczorek","2017-08-25"
"decimal degrees","decimal degrees",,1,"John Wieczorek","2017-08-25"
"-Decimal Degrees","decimal degrees",,1,"John Wieczorek","2017-08-25"
"Decimal degrees and Degrees","decimal degrees",,1,"John Wieczorek","2017-08-25"
"Decimal degrees and Degrees minutes seconds","degrees minutes seconds",,1,"John Wieczorek","2017-08-25"
"decimal degrees`","decimal degrees",,1,"John Wieczorek","2017-08-25"
"decimal degres","decimal degrees",,1,"John Wieczorek","2017-08-25"
"decimal degress","decimal degrees",,1,"John Wieczorek","2017-08-25"
"decimal degrrees","decimal degrees",,1,"John Wieczorek","2017-08-25"
"decimal minutes","degrees decimal minutes",,1,"John Wieczorek","2017-08-25"
"decimal minutes seconds","degrees minutes seconds",,1,"John Wieczorek","2017-08-25"
"Decimall degrees","decimal degrees",,1,"John Wieczorek","2017-08-25"
"Deciman degrees","decimal degrees",,1,"John Wieczorek","2017-08-25"
"Decimla Degrees","decimal degrees",,1,"John Wieczorek","2017-08-25"
"decmal degrees","decimal degrees",,1,"John Wieczorek","2017-08-25"
"deg. min. sec.","degrees minutes seconds",,1,"John Wieczorek","2017-08-25"
"degdecmn","degrees decimal minutes",,1,"John Wieczorek","2017-08-25"
