verbatimVerbatimCoordinateSystem	standardVerbatimCoordinateSystem	standard	checked	incorrectable	error
"degrees minutes seconds, nearest minute"	degrees minutes seconds	0	1	0	
"Township, section, range"	PLSS	0	1	0	
#NAME?		0	1	0	
1/5/2012		0	1	0	
14276		0	1	0	
2012/01/05		0	1	1	Not a coordinate system.
4094.192		0	1	0	
41763		0	1	0	
4507.192 m		0	1	0	
9319.192		0	1	0	
9334		0	1	0	
Cartografa Digital del Laboratorio de SIG'S y PR, Instituto de Geografa, UNAM.  Incluye: INEGI, 2000; IMT2000.  Escala 1:250,000		0	1	0	
Cartografía Digital del Laboratorio de SIG'S y PR, Instituto de Geografía, UNAM.  Incluye: INEGI, 2000; IMT2000.  Escala 1:250,000		0	1	0	
dcimal degrees	decimal degrees	0	1	0	
DD	decimal degrees	0	1	0	
DD.DDD	degrees decimal minutes	0	1	0	
DD.DDDD	degrees decimal minutes	0	1	0	
DDM	degrees minutes seconds	0	1	0	
dec degrees	decimal degrees	0	1	0	
decima degrees	decimal degrees	0	1	0	
Decima ldegrees	decimal degrees	0	1	0	
decimal decimal minutes	degrees decimal minutes	0	1	0	
decimal degree	decimal degrees	0	1	0	
decimal degreees	decimal degrees	0	1	0	
decimal degrees	decimal degrees	1	1	0	
-Decimal Degrees	decimal degrees	0	1	0	
Decimal degrees and Degrees	decimal degrees	0	1	0	
Decimal degrees and Degrees minutes seconds	degrees minutes seconds	0	1	0	
decimal degrees`	decimal degrees	0	1	0	
decimal degres	decimal degrees	0	1	0	
decimal degress	decimal degrees	0	1	0	
decimal degrrees	decimal degrees	0	1	0	
decimal minutes	degrees decimal minutes	0	1	0	
decimal minutes seconds	degrees minutes seconds	0	1	0	
Decimall degrees	decimal degrees	0	1	0	
Deciman degrees	decimal degrees	0	1	0	
Decimla Degrees	decimal degrees	0	1	0	
decmal degrees	decimal degrees	0	1	0	
deg. min. sec.	degrees minutes seconds	0	1	0	
degdecmn	degrees decimal minutes	0	1	0	
degees decimal minutes	degrees decimal minutes	0	1	0	
degree decimal	degrees decimal minutes	0	1	0	
degree decimal minutes	degrees decimal minutes	0	1	0	
degree minutes	degrees minutes seconds	0	1	0	
degree minutes seconds	degrees minutes seconds	0	1	0	
degreees decimal minutes	degrees decimal minutes	0	1	0	
degrees  decimal minutes	degrees decimal minutes	0	1	0	
degrees & minutes converted to dec lat/long for calculations; SoftMap uses same lat/long data	degrees minutes seconds	0	1	0	
Degrees and decimal minutes	degrees decimal minutes	0	1	0	
degrees dec. minutes	degrees decimal minutes	0	1	0	
degrees deciimal minutes	degrees decimal minutes	0	1	0	
degrees decima minutes	degrees decimal minutes	0	1	0	
degrees decimal degrees	degrees decimal minutes	0	1	0	
degrees decimal m inutes	degrees decimal minutes	0	1	0	
degrees decimal mintes	degrees decimal minutes	0	1	0	
degrees decimal minteus	degrees decimal minutes	0	1	0	
degrees decimal mintues	degrees decimal minutes	0	1	0	
degrees decimal mintutes	degrees decimal minutes	0	1	0	
degrees decimal minues	degrees decimal minutes	0	1	0	
degrees decimal minuetes	degrees decimal minutes	0	1	0	
degrees decimal minutaes	degrees decimal minutes	0	1	0	
degrees decimal minute	degrees decimal minutes	0	1	0	
degrees decimal minuters	degrees decimal minutes	0	1	0	
degrees decimal minutes	degrees decimal minutes	1	1	0	
degrees decimal minutesdegrees decimal minutes	degrees decimal minutes	0	1	0	
degrees decimal minutesw	degrees decimal minutes	0	1	0	
degrees decimal minutesZ	degrees decimal minutes	0	1	0	
degrees decimal minutew	degrees decimal minutes	0	1	0	
degrees decimal minutres	degrees decimal minutes	0	1	0	
degrees decimal minuts	degrees decimal minutes	0	1	0	
degrees decimal minuutes	degrees decimal minutes	0	1	0	
degrees decimal mnutes	degrees decimal minutes	0	1	0	
degrees decimalminutes	degrees decimal minutes	0	1	0	
degrees decimela minutes	degrees decimal minutes	0	1	0	
degrees deciml minutes	degrees decimal minutes	0	1	0	
degrees decimla minutes	degrees decimal minutes	0	1	0	
degrees decimlal minutes	degrees decimal minutes	0	1	0	
degrees degrees	decimal degrees	0	1	0	
degrees deicmal minutes	degrees decimal minutes	0	1	0	
degrees minute seconds	degrees minutes seconds	0	1	0	
degrees minutes	degrees minutes seconds	0	1	0	
Degrees minutes and seconds	degrees minutes seconds	0	1	0	
degrees minutes second	degrees minutes seconds	0	1	0	
degrees minutes seconds	degrees minutes seconds	1	1	0	
degrees minutes seconds, nearest minute	degrees minutes seconds	0	1	0	
Degrees, minutes	degrees minutes seconds	0	1	0	
degres decimal minutes	degrees decimal minutes	0	1	0	
degres minutes seconds	degrees minutes seconds	0	1	0	
degreses decimal minutes	degrees decimal minutes	0	1	0	
degress minutes	degrees minutes seconds	0	1	0	
degress minutes seconds	degrees minutes seconds	0	1	0	
degrrees decimal minutes	degrees decimal minutes	0	1	0	
degrres decimal minutes	degrees decimal minutes	0	1	0	
Deimal Degrees	decimal degrees	0	1	0	
Digital Degrees	decimal degrees	0	1	0	
DMS	degrees decimal minutes	0	1	0	
GPS		0	1	1	Not a coordinate system.
GPS coordinates		0	1	1	Not a coordinate system.
GPS UTM	UTM	0	1	0	
GPS-WGS84		0	1	1	Not a coordinate system.
In_Progress		0	1	0	
Line		0	1	1	Not a coordinate system.
NAD27		0	1	1	Not a coordinate system.
not recorded		0	1	1	Not a coordinate system.
Point		0	1	1	Not a coordinate system.
Rijksdriehoeksmeeting	Rijksdriehoeksmeeting	1	1	0	
Township, section, range	PLSS	0	1	0	
TRS	PLSS	0	1	0	
TSR	PLSS	0	1	0	
Univ. Trans.  Mercator	UTM	0	1	0	
Univ. Trans. Mercator	UTM	0	1	0	
Univ. Transv. Merc.	UTM	0	1	0	
Univ. Transv. Mercator	UTM	0	1	0	
Univ. Trnsvs.  Mercator	UTM	0	1	0	
Universal Transverse Mercator	UTM	0	1	0	
unknown		0	1	0	
unknownDecimal degrees	decimal degrees	0	1	0	
unkown	unknown	0	1	0	
USGS 1:24,000		0	1	1	Not a coordinate system.
UTM	UTM	1	1	0	
UTM to dec. deg.	UTM	0	1	0	
UTM WGS84	UTM	0	1	0	
vCS		0	1	0	
WGS 1984		0	1	1	Not a coordinate system.
WGS 84	WGS84	0	1	0	
WGS84		0	1	1	Not a coordinate system.
